// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	死からの	招待		
200029	Lv29	聖なる抵抗	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200030	Lv30	神々の攻防	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>付与
200031	Lv31	神々の逆襲	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200032	Lv32	神々の反撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200033	Lv33	神々の逆転	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200034	Lv34	神々の逆攻	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200035	Lv35	神々の迎撃	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200036	Lv36	神々の応戦	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200037	Lv37	神々の対抗	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200038	Lv38	神々の抗敵	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200039	Lv39	神々の対敵	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
200040	Lv40	神々の抗戦	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>弱点防御</color><color=ffc400>▼</color>、<color=ff7b02>弱点攻撃</color><color=ffc400>▲</color>、\<color=ff7b02>スキルチャージ加速</color>付与
20100001	Lv1	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100002	Lv2	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100003	Lv3	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100004	Lv4	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100005	Lv5	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100006	Lv6	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100007	Lv7	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100008	Lv8	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100009	Lv9	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100010	Lv10	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100011	Lv11	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100012	Lv12	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100013	Lv13	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100014	Lv14	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100015	Lv15	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100016	Lv16	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100017	Lv17	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100018	Lv18	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100019	Lv19	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100020	Lv20	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100021	Lv21	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100022	Lv22	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100023	Lv23	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100024	Lv24	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100025	Lv25	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100026	Lv26	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100027	Lv27	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100028	Lv28	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100029	Lv29	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20100030	Lv30	オロラキング	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200001	Lv1	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200002	Lv2	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200003	Lv3	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200004	Lv4	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200005	Lv5	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200006	Lv6	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200007	Lv7	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200008	Lv8	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200009	Lv9	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200010	Lv10	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200011	Lv11	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200012	Lv12	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200013	Lv13	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200014	Lv14	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200015	Lv15	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200016	Lv16	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200017	Lv17	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200018	Lv18	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200019	Lv19	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200020	Lv20	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200021	Lv21	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200022	Lv22	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200023	Lv23	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200024	Lv24	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200025	Lv25	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200026	Lv26	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200027	Lv27	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200028	Lv28	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200029	Lv29	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20200030	Lv30	オロラキング	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300001	Lv1	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300002	Lv2	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300003	Lv3	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300004	Lv4	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300005	Lv5	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300006	Lv6	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300007	Lv7	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300008	Lv8	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
20300009	Lv9	ゴールデンチャリン	空欄	<color=ff0000>敵チーム</color>に<color=ff7b02>スキルゲージチャージ速度</color><color=ffc400>▲</color>\<color=ff7b02>デバフ回避率</color><color=ffc400>▲</color>、<color=ff7b02>デバフ持続時間</color><color=ffc400>▼</color>付与
