// key	CHAT_SPA_
sc001_spa_1	ふぅ…\心も体もしっかりケアしなくちゃですよね♥
sc029_spa_3	温かいお湯に浸かっていると\時間が経つのも忘れて、\ぼーっとしてしまいますね。\なので、わたくしにたくさん\話しかけてくださいね。
sc029_spa_4	ご主人様がおすすめするだけあって、\ここはとても良い所ですね。\次、外に出かける時はここに来ることに\します。前もってお伝えしたのですから、\お小言はなしにしてくださいね。
sc029_spa_max	今日はなんだが元気がありませんね。\さあ、わたくしにご主人様の心の中の闇を\お見せください…わたくしが明るく\照らしてみせますから。\どうやって？…ふふ。それは秘密です。
sc030_spa_1	ふむ、難しい事件だね。\このまま迷宮入りかな…
sc030_spa_2	ふむ、ちょっと待って。\ちゃんと集中しよう。\社会問題を扱うのは難しいんだ。\時代の一歩先を読まないといけないから…
sc030_spa_3	助手君。さっきから、なんでずっと\聞き耳を立てているの？\名探偵の心は、興味深い事件が起きない限り\動かないよ！
sc030_spa_4	助手君。ボクたちは知り合ってから\どれくらいだっけ？\そろそろ一緒に行動をしても、\大丈夫な頃合いだと思うんだ！
sc030_spa_max	両親を失った探偵がいた。\探偵は親を殺した犯人を探す。\そして犯人は悪魔だと結論付けた。\その後、探偵は復讐をするために\自ら悪魔になる。どう？面白いでしょう？
sc031_spa_1	フレイニャは…猫…\でも…あったかいお湯が好きだニャン…
sc031_spa_2	ご主人さミャ、悲しいとしっぽが落ちるニャ。\フレイニャとおそろいニャ。\だから、ご主人さミャの気持ち、\フレイニャはよく分かるニャ！
sc031_spa_3	フレイニャは、熱いお湯…好きニャけど～\普通の猫は好きじゃないニャ。\だから、猫がご主人さミャと一緒に\お風呂に入るのは、ご主人さミャのことが\好きってことニャから。
sc031_spa_max	フレイニャは、モニャからたくさん\教えてもらったニャ。\フレイニャは…チャ、チャイルドだから\ご主人さミャを助けてあげるニャ！
sc032_spa_1	ご主人様のために用意した温泉たまごです。
sc032_spa_2	また来たんですか？\え？迷惑そうな表情だなんて…そんなことは…\でも、休憩中にまで来られるのは\ちょっと気になっちゃいます。
sc032_spa_3	疲れた時は、いつでも言ってくださいね。\ご主人様のために、アレクトは常にお側で\待機中ですよ～
sc032_spa_max	最高のメイドとは、\ご主人様の前に決して出ないんです！\大丈夫！分かってくれる人がいなくても、\ご主人様さえ分かってくださっているなら\それで十分です。
sc033_spa_1	心が洗われるようです。
sc033_spa_2	今日はどうされたのでしょう？\まさか、私を監視しに来られたのですか？\心配しないでください。\おとなしく温泉を楽しんでますから。
sc033_spa_3	お待ちしておりました、ご主人様。\いついらっしゃるのかと心待ちに\しておりました。\こうして、ゆっくりとご主人様と\お話する時間は楽しいですからね。
sc033_spa_max	ここにいるチャイルドたちは、\みな、ご主人様に愛されている…\もちろん、私も含めて。
sc034_spa_1	ふ、ふん…やはり悪魔だな。\恥というものを知らぬようだ。
sc034_spa_2	どうした？\少し疲れているようだが…\たまには休むことも必要だぞ。
sc034_spa_3	こんなにゆっくりするのは久しぶりだ。\たまには、こんな時間を楽しむのも悪くない。\お前も、そう思うだろう？
sc034_spa_max	お前が私を大事にしてくれているのは\知っているつもりだ。\だから私をここに連れて来たんだろう？\…感謝している。
sc035_spa_1	この温泉のオーナーと…交渉したい…
sc035_spa_2	こんな素敵な場所に来られるのが、\限られたチャイルドだけだなんて、\本当に不公平ね。\幸せの総量には限界がある…\ということかしら。
sc035_spa_3	ご主人様が私に好意を見せるということは、\今度は一体どんなミスを犯したのかと\思ってしまうのですが…\今回はそのような意図のある\好意ではないですよね？
sc035_spa_4	誰もがご主人様のことを\好きになってくれたらと思います。\こんなにも良い方なのに、\なぜいじめたがるのでしょうか？
sc035_spa_max	ご期待ください。\歴史上最も素晴らしい魔界を\ご主人様にプレゼントするわ。
sc036_spa_1	ぬいぐるみだからってバカにするな！\クマクマもお風呂が好きなんだよ。\ね～っ！
sc036_spa_2	こんないい所を独り占めするなんて、\信じられないよ。\言わなきゃ、ボクにバレないとでも思った？\ホント、卑怯な悪魔だよね～
sc036_spa_3	ねぇ、この温泉っていくら？\チャイルド専用の温泉なんて、\すっごいレアじゃん？\これ、欲しい、欲～し～い～！
sc036_spa_4	キミの部屋に心惹かれる物が\たくさんあるんだけど、\それをボクに売る気はないか？\ボクが高く買い取ってあげるよ！
sc036_spa_5	ボクの願いは、この世に二つと無い珍しい物を\手に入れることだ。\それは何かって？\さぁ…まだそこまで考えたことはないかな。
sc036_spa_max	ふん、キミにあまりこういうことを\言うつもりは無かったけど…\キミは、ちょっとクマクマに入れるには\大きすぎるみたいだから、\少しダイエットをしてみないか？
sc037_spa_1	来いよ、小僧。\この程度じゃまだ燃えねえよ。
sc037_spa_2	お前が魔王争奪戦に参加しようが、しまいが\俺様には関係ない。\どうせ、俺様の気に障るものは\壊しちまうんだからな。
sc037_spa_3	おい、小僧。\そんなに白い顔で人の顔色を探ったりするな。\俺様の家来になれば可愛がってやるぞ？
sc037_spa_max	その時が来れば、\誰が本当の王になるか決まる…\こんな気持ちになったのは、初めてだぜ。\俺様とお前、どっちがこの戦いの\勝者になるのか。
sc038_spa_1	あ～れ～？\いつからそこで見てたのですか～？
sc038_spa_2	も～何なのここ～？\みんな、好き勝手に自分の主人を\自慢しまくってうるさいし…\まぁ、私も自慢のご主人様がいるから\気持ちはわかるけど…
sc038_spa_3	ご主人様～もっとこっち来てくださいよ～\ご主人様と一緒に温泉デートなんて最高！
sc038_spa_4	ねぇねぇ、見て見て♥\温泉にいっぱい入ったから、お肌ツルツル♥\もっと、可愛くなっちゃうかも～♥
sc038_spa_5	ん～、温泉デートもいいけど～…\たまには、他のところにも行きたいな～\そうだ！温泉に連れてきてもらったお礼に、\今度は私が、ご主人様をおすすめスポットに\連れてってあげるね♥
sc038_spa_max	ご主人様♥今日は何の日か知ってます？\今日は～ご主人様と私が出会った記念日ですよ♥\だから、今日は特別な日だから\私から離れちゃダメですからね？
sc039_spa_1	そんなに見ると、な、殴るわよ…
sc039_spa_2	優しい一言でも期待したの？\笑わせないでよね！\つまらないこと考えてないで\さっさと消えて！
sc039_spa_3	あたしの素顔は、\許しを与えた相手にしか見せない！\こんなところにいないで、あっち…\あっちの隅っこで待ってなさいよ！\じろじろ見ないで！
sc039_spa_4	勘違いしているみたいだけど、\あたしが会う度に怒っているからって、\アンタのことが嫌いだとか\そういうことじゃないのよ？\ちょっと恥ずかしいからなの！
sc039_spa_max	また来た…\いくら怒鳴っても諦めずに、雨が降っても、\雪が降っても私の顔色を伺いにくる変態野郎が！\ふん。あたしが一体何をしたっていうのよ…\もう来ないでいいから、あっちに行ってよ。
sc040_spa_1	入浴姿を覗き見るなんて…\やっぱり悪魔は悪魔だ。
sc040_spa_2	願い？特にないわ。\強いて言えば、ご主人様にもっと、\ご主人様らしくなって欲しいくらいかしら。\特別なことじゃないでしょ？
sc040_spa_3	チャイルドが思うように\ついて来てくれないから心配なのね。\でも、あまり心配する必要はないわ。\私のように…忠実なチャイルドもいるから。
sc040_spa_max	私の表情に何か問題でもある？\まぁ、少し無愛想かもしれないけど…\でも、心まで無愛想ってわけじゃないから\心配しないで。
sc041_spa_1	うーん、チュッ。
sc041_spa_2	良く吠えるやつほど\大したことないのよ。\本来、猛獣っていうのは、\静かにその時を待って一気に\獲物の首を仕留めるの。
sc041_spa_3	私をチャイルドとして手に入れるなんて…\かなり運がいいのね？\もしかしたら、私を手に入れることで\おチビさんの運を全部使い果たしたかも\しれないわよ？
sc041_spa_max	聞いたわよ、この前かなり手強い敵に\出会ったんですって？\どうして、私を連れて行かなかったのよ。\私を戦いに出していれば、\素晴らしい活躍を見せてあげられたのに…
sc043_spa_1	Ohmygod！\たまんなーい！
sc043_spa_2	こんなところに連れてくるなんて、\悪魔くんもいいところあるのね。\Hey！そんな嬉しそうな顔しないで。
sc043_spa_3	今まで色んなChildを見てきたけど、\やっぱりわたしが一番Cute！\わたしをChildにできた悪魔くんは、\Lucky Boy♪
sc043_spa_4	HaHa…大人になったら強くなれる。\そう思っていたけど、\相変わらず弱い自分を見ると…\わたしは、まだまだ大人にはなれて\いないのかな。
sc043_spa_5	今日も大変なBATTLEだったね。\温かい温泉でゆっくり休みなさい。\お疲れ様！
sc043_spa_max	What？気に入っているかですって？\当然じゃない！\こんな素敵な場所ならいつでも大歓迎よ！\だから、これからもよろしくね。\悪魔くん★
sc044_spa_1	あ、熱くて…け、血圧が上がりそうです…
sc044_spa_2	おや？ここできみに会ったのも\なにかの縁ですかね。\正直、永遠にご縁はこないと\思っていましたが。\はは、言ってみただけです。
sc044_spa_3	ぼくはきみを信じていますよ。\ええ。もっとも、信じられる人が\きみしかいないから、なんですが…
sc044_spa_4	こういう熱いお湯に身体を入れていると、\こんなぼくでも生き返ったような\気分になります。\うん、悪くないですね。
sc044_spa_5	なんというか。\皆さんなにを競い合っているんですかね？\我慢大会のつもりですか？\どうせ全て予定通りなのに。\え？どういう意味かって？さぁどうでしょう。
sc044_spa_max	今日もサキュバス達に小言を言われてましたね。\落ち込んでいるようですが大丈夫です。\きみは思ったよりも素晴らしい候補生です。\自信を持ってください。
sc045_spa_1	元気が湧きあがってくるかもっ！
sc045_spa_2	うう…\ここには、ライバルがたくさんいますね。\あの子も、あの子も…\気を引き締めていかないと！
sc045_spa_3	マスター！温泉ではお静かに！\マスターがアリアのファンだってことは\わかっていますが、ここでそんな態度を\見せるのはダサいですよー。
sc045_spa_4	聞いて聞いて！\今、アリアのファンがいたんです。\サインも受け取ってくれました！あれ？\さてはマスター、信じていないですね？\う…ぐすっ…こんなに頑張っているのにな。
sc045_spa_5	温泉に浸かることも、\最高のアイドルになるために必要ですよね？\だから今も大事なレッスンの真っ最中！\…のはずなんだけど、とっても幸せな\時間ですねー。
sc045_spa_max	マスター、いつか必ず一緒に行きましょう。\たくさんの笑顔と大歓声に包まれた、\感動と興奮のステージへ…
sc047_spa_1	水は…ホント嫌いなの。\蒸発させちゃおうかしら…
sc047_spa_2	ちょっと！\チャイルド専用温泉って聞いてたから、\期待してたのに、ただのぬるま湯じゃない！
sc047_spa_3	わざわざ、ここまで追いかけてきたわけ？\本当嫌な奴ね…
sc047_spa_4	はぁ…久しぶりに感じる自由！\誰にも邪魔され…あ、あんたいたのね。\あんたは見なかったことにしてあげるから、\おとなしく帰って。
sc047_spa_5	なに気分良さそうな顔してるわけ？\ふ、ふぅ～ん…え、笑顔は悪くないわね。\さ、さっきのは取り消すわ。
sc047_spa_max	ちょこちょこ訪ねてきては、\色々口うるさく言われるのは面倒なの。\…でも、あたいはあんたのチャイルドで、\あんたはあたいの主人なのも事実。\…だから、それくらいは我慢してあげるわよ。
sc048_spa_1	こんなので喜ぶとでも？フフ…
sc048_spa_2	…なんですか？\どうしてそんな顔をするのですか？\なにか勘違いしていませんか？\せっかく温泉を楽しんでいるんですから、\邪魔しないで。むしろ消えてください…
sc048_spa_3	今日に限ってなんの御用ですか？\私はサキュバスではありませんので、\残業は一切しません。\分かったらおとなしく、\あっちへ行ってください。
sc048_spa_4	少し、勘違いをしました。\この雰囲気…\あまり好きではないかもしれません。\ふん…こんな面倒なイベントは、\さっさと飛ばしてしまいましょう。
sc048_spa_max	今日は気分がよくありませんでした。\いや、昨日も一昨日も…\ずっと気分がよくありません。\きっと、私はいつもそうなんでしょうね。\本当は、こんな気分になりたくないのですが…
sc049_spa_1	はあ……\これもまた、安らぎでしょうか……
sc049_spa_2	鼻を突く硫黄の匂い…\ここは地獄の底ですね。\例えそうだとしても、我が信仰を\揺るがすことはできません。
sc049_spa_3	我が主がおっしゃるように、\《海の上に汝の手を差し出せ。》\《私が風を呼んで陸を…》\む、水遊びをしているのではありません！
sc049_spa_4	悪魔の誘惑には、絶対に負けません。\でも、たまに施すその親切は…\誘惑じゃないから良いでしょう。
sc049_spa_5	こんな所に放っておくとは…\私がこのまま逃げるとは思わないのか…\のんきな悪魔ですね。\しかし、だからなのでしょうか…警戒心が\少しずつなくなっていくのを感じます。
sc049_spa_max	貴方の親切は、善良な心から始まったもの。\ですから、貴方の善良さを否定しないで\ください。悪魔でも救いを得ることはできる。\さぁ、手を組んで…祈りましょう。\貴方のために…
sc051_spa_1	…ぬるくないかコレ？
sc051_spa_2	なぁ、こうなった以上楽しもうぜ！\まぁ、お前にはそんな余裕なんて\ないだろうけどな！\あはははは！
sc051_spa_3	俺も、よ～く考えてみたんだけどさ、\やっぱりお前…これ以上の成長はなさそうだな。あれ？怒った？今、怒っただろ？
sc051_spa_4	ったく…お前も本当にしつこいヤツだな。\こんなところで親睦とかしてる暇があるなら\契約者を探したほうがいいんじゃないのか？\まぁ、何も知らないから、こんなところで\ウロウロしてんだろうけどな。
sc051_spa_5	悪魔らしいって何かって？\そんなの俺が答えるはずないだろ？\なぜかって？お前は俺の…敵？\違うな…そう！ライバル！\お前と俺はライバルだからだ！
sc051_spa_max	暇そうだな。時間あるか？\そっか、そしたらちょっと俺の話を\聞いてくれよ。俺の未来計画！\その1！魔王になる。その2！改革！\どんな改革かは未定だけど面白そうだろ？
sc052_spa_1	僕があまりに魅力的だからって、\そんなに見つめられたら恥ずかしいな…
sc052_spa_2	うふふ…\無邪気な顔をした羊がいっぱいだね～？\上手くいったらベリト教の信徒を\増やすことができるな。
sc052_spa_3	本当に理解できないよ～\このベリト様の話術が効かないはずないのに…\なんで、ここにいるチャイルドたちは、\みんな《可愛い》ばっかり言ってるのかな？
sc052_spa_max	あれ？ご主人、どこに行ってたんだい？\ベリト様を待たせるなんて、\いい度胸じゃないか。次にやったら呪うよ？\まぁ、ご主人なら、そんなヘマはしないと\思うけど。
sc053_spa_1	今、変なこと考えたでしょう？
sc053_spa_2	しっ。何も考えないで、うっとうしいから。
sc053_spa_3	くだらないことを悩みすぎなのよ。\悩めば悩むほど、\心の中がそれでいっぱいになって\うるさいの。\お願いだから静かにしてくれない？
sc053_spa_4	あなたが今何を考えてるか当ててみろって？\嫌よ。心の中を読むんじゃなくて…\直接聞きたいの。
sc053_spa_5	温泉の事？気に入ったわ。\いま、《社交辞令》だって思ったでしょう？\私の言葉を信じなさい。\私は、嘘はつかないから。
sc053_spa_max	ここは、他のところより少し静かなのね。\また、今度来てもいいわ…
sc054_spa_1	安全と思う時が最も危険な時。\気を抜くなでござる。
sc054_spa_2	む…！湯の中に、ずいぶんと多くの\チャイルドが潜んでいる様子…！\さっきから、ずっと湯が溢れているのが、\その証拠でござる。\静かに始末するでござる。
sc054_spa_3	勇気を出すでござる。\いつか、きっと魔王になる日が\来るでござるよ。
sc054_spa_max	戦いの最中に結ばれた縁ほど大事なものは\ないでござる。主君は拙者の大事な縁。\大事なものを守る方法は…\拙者、嫌というほど知ってるのでござる。
sc056_spa_1	力が湧いてくる！今度こそ思い知らせてやる！
sc056_spa_2	私の主人になる方は、ただ1人。\全能であるあの方だけ…\悪魔は、誅伐の対象です。
sc056_spa_3	私に構いすぎなのではありませんか？\そうやって油断して、浄化されても\知りませんよ？…冗談です。
sc056_spa_max	悪魔よ、俗世の欲を捨て、聖なる使命を\受け入れるのです。そうすれば、悪魔でも\神の救いを得られるかもしれません。
sc057_spa_1	たまには…こんな余興も、いいですね…
sc057_spa_2	こんにちは…可愛いお客様。\わざわざ時間を割いてくださったんですか…？\まぁ、嬉しい…さあ、それでは…今日は…\どういう話を？ふふふ。
sc057_spa_3	あらあら…これはまた…\嬉しい顔がいらっしゃいますね…\ちょうど、アナタの顔を思い浮かべて\いたところです…何を考えていたかって？\ふふふ…。
sc057_spa_4	たまに…こうしてリラックスして…\ずーっと…何もせずに座っているのです…\何を考えているかって？\ふふふ…そうですね…悪魔信者ですから…\悪魔の考え…などでしょうか？
sc057_spa_5	今日も大変だったようですね…？ふふ。\隠そうとしても全部顔に出ておりますよ…？\これほど、読みやすいチビ悪魔なんて…\他にはおりませんから。…無邪気で青臭い、\アナタのようなチビ悪魔は、ね。
sc057_spa_max	こんにちは、可愛いお客様…\今日も、こっそり抜け出して来たのですね…\なぜ、知ってるのかって？\ふふ…だって、顔に書いてありますから…
sc058_spa_1	何事も怠ると業となる…
