// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Lost Hair	Each and every stand of this hair has spiritual traces on it.
1051015	Universe Wand	A magical wand that embodies its user's determination to escape.
1051023	Fire Spear	Let's get out of this Universe in an endless loop.
1051024	Fire Spear	Let's get out of this Universe in an endless loop.
1051025	Fire Spear	Let's get out of this Universe in an endless loop.
1051033	Winged Sword	A savior sword that can help you escape from the hellish Universe.
1051034	Winged Sword	A savior sword that can help you escape from the hellish Universe.
1051035	Winged Sword	A savior sword that can help you escape from the hellish Universe.
1051043	Roselenta Sword	This sword only exists to crush enemies.
1051044	Roselenta Sword	This sword only exists to crush enemies.
1051045	Roselenta Sword	This sword only exists to crush enemies.
1051053	Mona's Fan	The weapon which will protect Mona in the chaotic, topsy-turvy world.\It can also help cooling down during a hot day.
1051054	Mona's Fan	The weapon which will protect Mona in the chaotic, topsy-turvy world.\It can also help cooling down during a hot day.
1051055	Mona's Fan	The weapon which will protect Mona in the chaotic, topsy-turvy world.\It can also help cooling down during a hot day.
1051063	Samsara Valhalla	A weapon created during Arhat's cycle of\life, death, and rebirth. It embodies her philosophy.
1051064	Samsara Valhalla	A weapon created during Arhat's cycle of\life, death, and rebirth. It embodies her philosophy.
1051065	Samsara Valhalla	A weapon created during Arhat's cycle of\life, death, and rebirth. It embodies her philosophy.
1051083	Mic of Courage	A microphone that amplifies\Neptune♥'s exquisite, courageous singing voice.
1051084	Mic of Courage	A microphone that amplifies\Neptune♥'s exquisite, courageous singing voice.
1051085	Mic of Courage	A microphone that amplifies\Neptune♥'s exquisite, courageous singing voice.
1051093	Blue-Bladed Saber	Eve's sword, a gleam of blue in the battlefield.
1051094	Blue-Bladed Saber	Eve's sword, a gleam of blue in the battlefield.
1051095	Blue-Bladed Saber	Eve's sword, a gleam of blue in the battlefield.
1051103	Charlemagne's Sword	Bradamante's sword designed for quick\and deep stabbing attacks.
1051104	Charlemagne's Sword	Bradamante's sword designed for quick\and deep stabbing attacks.
1051105	Charlemagne's Sword	Bradamante's sword designed for quick\and deep stabbing attacks.
1051113	Rose Grenade	A deadly explosive weapon\shaped like a beautiful rose.
1051114	Rose Grenade	A deadly explosive weapon\shaped like a beautiful rose.
1051115	Rose Grenade	A deadly explosive weapon\shaped like a beautiful rose.
1051123	Artemisia's Gloves	Gloves specially made to kill.
1051124	Artemisia's Gloves	Gloves specially made to kill.
1051125	Artemisia's Gloves	Gloves specially made to kill.
1051133	Metal Belt	Wodan's cutting-edge weapon fully charged with mana.\The magazine pouch is a bonus.
1051134	Metal Belt	Wodan's cutting-edge weapon fully charged with mana.\The magazine pouch is a bonus.
1051135	Metal Belt	Wodan's cutting-edge weapon fully charged with mana.\The magazine pouch is a bonus.
1051143	Lassi Tail	A soft, fluffy tail\that hides mighty power within.
1051144	Lassi Tail	A soft, fluffy tail\that hides mighty power within.
1051145	Lassi Tail	A soft, fluffy tail\that hides mighty power within.
1051153	To Keika's Charm	A charm that Keika has created to\ward off evil and promote peace.
1051154	To Keika's Charm	A charm that Keika has created to\ward off evil and promote peace.
1051155	To Keika's Charm	A charm that Keika has created to\ward off evil and promote peace.
1051163	Boreas's Shoes	Boreas's secret weapon that maximizes her speed.
1051164	Boreas's Shoes	Boreas's secret weapon that maximizes her speed.
1051165	Boreas's Shoes	Boreas's secret weapon that maximizes her speed.
1051173	Cross Saber	Krsnik's sword shaped like a cross\for the swift execution of vampires.
1051174	Cross Saber	Krsnik's sword shaped like a cross\for the swift execution of vampires.
1051175	Cross Saber	Krsnik's sword shaped like a cross\for the swift execution of vampires.
1051183	Philotes's Umbrella	Philotes's umbrella that summons mighty rain clouds.\Getting hit with it hurts.
1051184	Philotes's Umbrella	Philotes's umbrella that summons mighty rain clouds.\Getting hit with it hurts.
1051185	Philotes's Umbrella	Philotes's umbrella that summons mighty rain clouds.\Getting hit with it hurts.
1051193	Barbed Club	Duetsha's club, which has been wrapped in thorns\for more efficient attacks.
1051194	Barbed Club	Duetsha's club, which has been wrapped in thorns\for more efficient attacks.
1051195	Barbed Club	Duetsha's club, which has been wrapped in thorns\for more efficient attacks.
11000000	Furious_Fire Dragon Puppet	A puppet made from the flames of a raging Fire Dragon.
11000001	Cold-Blooded_Ice Dragon Puppet	A puppet made from the ice of a cruel Ice Dragon.
11000002	Tattered_Teddy Puppet	A puppet of the cursed doll Teddy.
11000003	Voice_Messenger Puppet	A puppet of Messenger, who whispers in the darkness.
11000004	Destructive_Kali Yuga Puppet	A puppet that really captures Kali Yuga's ferocity.
11000005	Standard_Chain Killer Puppet	A puppet that serves Chainkiller, out-of-control vices and all.
11000006	Desert_Basilisk Puppet	A puppet of Basilisk who has adapted to desert life.
11000007	Green Helmet_Bazooka Puppet	A puppet made from Bazooka's sturdy hard hat.
11000008	Poison_Ampoule Puppet	A puppet of Ampoule, who powers up its allies.
11000009	Bowtie_Bellboy Puppet	A puppet of Bellboy in his top hat and bow tie.
11000010	Noise_Won Puppet	A puppet of Noise One, who really can't adjust its volume after all.
11000011	DJ_Hertz Puppet	A puppet of Hertz, a fan of the classics.
11000012	Bad Dream_Manti Puppet	A puppet modeled after Manty's nightmarish form.
11000013	Mad Bunny_Arms Puppet	A puppet modeled after the monster known as Madbunny.
11000014	Sneaker_Fighter Puppet	A puppet resembling Fighter's iron fist.
11000015	Startling_Mimic Puppet	A treasure puppet that will guard your most prized possession.
11000016	Hot-Blooded_Boxer Puppet	Boxer's puppet. Made with stolen treasure.
11000017	Yackety_Pompoms Puppet	Pompom's puppet. It's made with hand-plucked cat fur.
11000018	Blue_Watcher Puppet	A Watcher puppet, made from the chill of fresh snow.
11000019	Red_Watcher Puppet	A Watcher puppet, made from incessant hellfire.
11000020	Green_Watcher Puppet	A Watcher puppet, made from a cursed bog.
11000021	Light_Watcher Puppet	A Watcher puppet, made with the eyes of a demon.
11000022	Darkness_Watcher Puppet	A Watcher puppet, made from witch's cloth.
11000023	Blue_Revenge Girl Puppet	A blue puppet infused with an avenger's rage.
11000024	Red_Revenge Girl Puppet	A red puppet infused with an avenger's grief.
11000025	Green_Revenge Girl Puppet	A green puppet infused with an avenger's resentment.
11000026	Light_Revenge Girl Puppet	A golden puppet infused with an avenger's punishment.
11000027	Purple_Revenge Girl Puppet	A Purple puppet infused with an avenger's curse.
11000028	Water-Feathered_Charonn Puppet	A puppet of Charonn, born from stormy dreams.
11000029	Red-Feathered_Firon Puppet	A puppet of Firon, born from a dream of burning matches.
11000030	Green-Feathered_Gron Puppet	A puppet of Gron, born from a dream of the forest.
11000031	Light-Feathered_Liron Puppet	A puppet of Liron, born from a dream of moonlight.
11000032	Black-Feathered_Daron Puppet	A puppet of Daron, born from a dream of a dark night.
11000033	Ice King_Azure Dragon Puppet	A puppet of Azure Dragon, baptized in holy water.
11000034	Good Kid's_Gift Bag Puppet	A puppet of the Gift Bag that only eats those on the nice list.
11000035	_Mona Puppet	A puppet modeled after Mona, a lazy demon slave driver.
11000036	_Lisa Puppet	A puppet modeled after Lisa, a capable, super S-class succubus.
11000037	_Davi Puppet	Davi's so cute, even her puppet is adorable!
11000038	Bluffing_Demeter Puppet	A puppet for playing doctor modeled after Demeter, the nurse.
11000039	Volunteer_Deino Puppet	A puppet of Deino, made by mistake.
11000040	Guard Dog_Cu Sith Puppet	A puppet that resembles the guard dog's fighting spirit.
11000041	Frenzied_Eris Puppet	A puppet modeled after the merciless Eris.
11000042	Awakened_Cynthia Puppet	A puppet modeled after Cynthia, the hero.
11000043	Innocent_Freyja Puppet	A puppet of Freyja, prone to meowing.
11000044	Lively_Alecto Puppet	A perfect puppet modeled after the ultimate maid, Alecto.
11000045	Tranquil_Diana Puppet	A puppet modeled after Diana, ruler of the forest.
11000046	Lazy_Mnemosyne Puppet	A puppet modeled after Mnemosyne.
11000047	Spiteful_Calypso Puppet	A puppet resembling Calypso, the greatest gift for a date.
11000048	Lawful_Shamash Puppet	Shamash's puppet, modeled after a rabbit of justice.
11000049	Dramatic_Berit Puppet	A puppet modeled after a shallow priest.
11000050	Guardian_Legend Puppet	A puppet of Legend, filled with loyalty for her master.
11000051	Martyr_Jeanne d'Arc Puppet	A puppet of Jeanne d'Arc, said to bear good news for demons.
11000052	Restorative_Ptah Puppet	A puppet made from Restorative Ptah's wrench.
11000053	Disconnected_Themis Puppet	A puppet of Themis, dressed up as a nun.
11000054	Snarky_Paris Puppet	Paris's puppet, approved by the critic himself.
11000055	Seasoned_Goga Puppet	A puppet filled with Goga's sincerity.
11000056	Hotblooded_Vesta Puppet	A puppet of Vesta, who knows no fear.
11000057	Vengeful_Medeia Puppet	Medeia's puppet. It can't speak.
11000058	Glittering_Apollo Puppet	A puppet modeled after Apollo, the dancer.
11000059	Truth-Seeker_Elias Puppet	A puppet filled with Elias's philosophy.
11000060	Creative_Baphomet Puppet	Baphomet's puppet. It's futuristic and creative.
11000061	Your_Salmacis Puppet	A puppet of Salmacis. Won't find this one in a toy store.
11000062	Strategic_Genius Puppet	A puppet created to extol Genius, the peerless musician.
11000063	Warrior_Valkyrie Puppet	Valkyrie's puppet. A true warrior will always have it on!
11000064	Night Maiden_Hypnos Puppet	A puppet brought back from Hypnos's illusory world.
11000065	Night Festival_Medea Puppet	A top pick! A must-have puppet for witches.
11000066	Bound_Kratos Puppet	A puppet of Kratos, who surely broke out of prison. Report her if sighted.
