// key	CHARACTER_DUNGEON_NAME_	CHARACTER_DUNGEON_SECOND_NAME_	CHARACTER_DUNGEON_LOCATION_DESC_
221003	Niveau 3	Révélation divine II (difficile)	
221004	Niveau 4	Pactes et souvenirs (difficile)	
221005	Niveau 5	Révélation divine III (difficile)	
221006	Niveau 6	L'encens de la prière (difficile)	
221007	Niveau 7	Révélation divine IV (difficile)	
221008	Niveau 8	Révélation divine de Dieu (difficile)	
2400	Narratif	Histoire du Labo. de la renaissance	Le passé inconnu du Laboratoire de recherche alchimique démoniaque
240001	Niveau 1	Tablette démoniaque	none
240002	Niveau 2	Tout sur la beauté	none
240003	Niveau 3	Tablette démoniaque	none
240004	Niveau 4	Canon	none
240005	Niveau 5	Tablette démoniaque	none
240006	Niveau 6	Esthétisme	none
240007	Niveau 7	Tablette démoniaque	none
240008	Niveau 8	Laboratoire de la renaissance	none
2410	Narratif	Histoire du Labo. de la renaissance	Le passé inconnu du Laboratoire de recherche alchimique démoniaque
241001	Niveau 1	Tablette démoniaque (difficile)	none
241002	Niveau 2	Tout sur la beauté (difficile)	none
241003	Niveau 3	Tablette démoniaque (difficile)	none
241004	Niveau 4	Canon (difficile)	none
241005	Niveau 5	Tablette démoniaque (difficile)	none
241006	Niveau 6	Esthétisme (difficile)	none
241007	Niveau 7	Tablette démoniaque (difficile)	none
241008	Niveau 8	Laboratoire de la renaissance (difficile)	none
2500	Narratif	Donut perdu	Qui a volé le donut ?
250001	Niveau 1	La quête du donut 1	
250002	Niveau 2	Le coupable est proche	
250003	Niveau 3	La quête du donut 2	
250004	Niveau 4	Glaçage à la fraise	
250005	Niveau 5	La quête du donut 3	
250006	Niveau 6	Fête aux sources	
250007	Niveau 7	La quête du donut 4	
250008	Niveau 8	Trois dernières options	
2510	Narratif	Donut perdu	Qui a volé le donut ?
251001	Niveau 1	La quête du donut 1 (difficile)	
251002	Niveau 2	Le coupable est proche (difficile)	
251003	Niveau 3	La quête du donut 2 (difficile)	
251004	Niveau 4	Glaçage à la fraise (difficile)	
251005	Niveau 5	La quête du donut 3 (difficile)	
251006	Niveau 6	Fête aux sources (difficile)	
251007	Niveau 7	La quête du donut 4 (difficile)	
251008	Niveau 8	Trois dernières options (difficile)	
2600	Narratif	Collab. BBCF	L'histoire d'Azure... une histoire différente
260001	Niveau 1	Causalité 1	
260002	Niveau 2	À la recherche de quelqu'un	
260003	Niveau 3	Causalité 2	
260004	Niveau 4	Rencontre surprise(?)	
260005	Niveau 5	Causalité 3	
260006	Niveau 6	Haute Magister	
260007	Niveau 7	Causalité 4	
260008	Niveau 8	Volontés respectives	
2610	Narratif	Collab. BBCF	L'histoire d'Azure... une histoire différente
261001	Niveau 1	DIFFICILE : Causalité 1	
261002	Niveau 2	DIFFICILE : À la recherche de quelqu'un	
261003	Niveau 3	DIFFICILE : Causalité 2	
261004	Niveau 4	DIFFICILE : Rencontre surprise(?)	
261005	Niveau 5	DIFFICILE : Causalité 3	
261006	Niveau 6	DIFFICILE : Haute Magister	
261007	Niveau 7	DIFFICILE : Causalité 4	
261008	Niveau 8	DIFFICILE : Volontés respectives	
2700	Narratif	Mystère estival	Faites fuir la chaleur de l'été avec une expérience à glacer le sang !
270001	Niveau 1	Fais-moi peur 1	
270002	Niveau 2	Promenade en soirée	
270003	Niveau 3	Fais-moi peur 2	
270004	Niveau 4	Visiteurs nocturnes	
270005	Niveau 5	Fais-moi peur 3	
270006	Niveau 6	Apparition après l'école	
270007	Niveau 7	Fais-moi peur 4	
270008	Niveau 8	Mystère estival	
2710	Narratif	Mystère estival	Faites fuir la chaleur de l'été avec une expérience à glacer le sang !
271001	Niveau 1	Fais-moi peur 1 (difficile)	
271002	Niveau 2	Promenade en soirée (difficile)	
271003	Niveau 3	Fais-moi peur 2 (difficile)	
271004	Niveau 4	Visiteurs nocturnes (difficile)	
271005	Niveau 5	Fais-moi peur 3 (difficile)	
271006	Niveau 6	Apparition après l'école (difficile)	
271007	Niveau 7	Fais-moi peur 4 (difficile)	
271008	Niveau 8	Mystère estival (difficile)	
2800	Narratif	Aucun paradis	Le rideau se lève sur la fuite mouvementée du duo.
280001	Niveau 1	La fuite 1	
280002	Niveau 2	Mon soleil	
280003	Niveau 3	La fuite 2	
280004	Niveau 4	Le soleil ne se couche jamais	
280005	Niveau 5	La fuite 3	
280006	Niveau 6	Ténèbres	
280007	Niveau 7	La fuite 4	
280008	Niveau 8	Dans le labyrinthe	
2810	Narratif	Aucun paradis	Le rideau se lève sur la fuite mouvementée du duo.
281001	Niveau 1	La fuite 1 (difficile)	
281002	Niveau 2	Mon soleil (difficile)	
281003	Niveau 3	La fuite 2 (difficile)	
281004	Niveau 4	Le soleil ne se couche jamais (difficile)	
281005	Niveau 5	La fuite 3 (difficile)	
281006	Niveau 6	Ténèbres (difficile)	
281007	Niveau 7	La fuite 4 (difficile)	
281008	Niveau 8	Dans le labyrinthe (difficile)	
2900	<Narratif>	Halloween secret	Tout le monde a un secret qu'il ne souhaite jamais voir divulgué. \... C'est mon cas, à moi aussi.
290001	Niveau 1	Le secret de Laima	BLANK
290002	Niveau 2	Le secret divulgué	BLANK
290003	Niveau 3	Le secret de Laima	BLANK
290004	Niveau 4	Le vol de la caméra	BLANK
290005	Niveau 5	Le secret de Laima	BLANK
290006	Niveau 6	La poursuite de Typhon	BLANK
290007	Niveau 7	Le secret de Laima	BLANK
290008	Niveau 8	Pardon !	BLANK
2910	<Narratif>	Halloween secret	Tout le monde a un secret qu'il ne souhaite jamais voir divulgué. \... C'est mon cas, à moi aussi.
291001	Niveau 1	Le secret de Laima (difficile)	BLANK
291002	Niveau 2	Le secret divulgué (difficile)	BLANK
291003	Niveau 3	Le secret de Laima (difficile)	BLANK
291004	Niveau 4	Le vol de la caméra (difficile)	BLANK
291005	Niveau 5	Le secret de Laima (difficile)	BLANK
291006	Niveau 6	La poursuite de Typhon (difficile)	BLANK
291007	Niveau 7	Le secret de Laima (difficile)	BLANK
291008	Niveau 8	Pardon ! (difficile)	BLANK
3000	<Narratif>	Deuxième chance	Pas de deuxième chance ! Je n'hésiterai plus !
300001	Niveau 1	Chance supplémentaire	
300002	Niveau 2	Chance inattendue	
300003	Niveau 3	Chance supplémentaire	
300004	Niveau 4	Allons-y !	
300005	Niveau 5	Chance supplémentaire	
300006	Niveau 6	Chance	
300007	Niveau 7	Chance supplémentaire	
300008	Niveau 8	Pas de deuxième chance	
3010	<Narratif>	Deuxième chance	Pas de deuxième chance ! Je n'hésiterai plus !
301001	Niveau 1	Chance supplémentaire(diff)	
301002	Niveau 2	Chance inattendue(diff)	
301003	Niveau 3	Chance supplémentaire(diff)	
301004	Niveau 4	Allons-y !(diff)	
301005	Niveau 5	Chance supplémentaire(diff)	
301006	Niveau 6	Chance(diff)	
301007	Niveau 7	Chance supplémentaire(diff)	
301008	Niveau 8	Pas de deuxième chance(diff)	
3100	Narratif	Seul l'amour compte	Comment ça, c'était la panique à leur arrivée à la station ?
310001	Niveau 1	Au ski I	
310002	Niveau 2	Direction la station de ski	
310003	Niveau 3	Au ski II	
310004	Niveau 4	Nouvelle possibilité de pacte	
310005	Niveau 5	Au ski III	
310006	Niveau 6	La neige appelle à la confusion	
310007	Niveau 7	Au ski IV	
310008	Niveau 8	Feux d'artifice du réveillon	
3110	Narratif	Seul l'amour compte	Comment ça, c'était la panique à leur arrivée à la station ?
311001	Niveau 1	Au ski I (difficile)	
311002	Niveau 2	Direction la station de ski (difficile)	
311003	Niveau 3	Au ski II (difficile)	
311004	Niveau 4	Nouvelle possibilité de pacte (difficile)	
311005	Niveau 5	Au ski III (difficile)	
311006	Niveau 6	La neige appelle à la confusion (difficile)	
311007	Niveau 7	Au ski IV (difficile)	
311008	Niveau 8	Feux d'artifice du réveillon (difficile)	
3200	Narratif	Le Père Noël arrive en ville	Gloire au ciel et paix sur la terre.
320001	Niveau 1	L'arrivée du Père Noël	
320002	Niveau 2	Cadeau de Noël	
320003	Niveau 3	L'arrivée du Père Noël	
320004	Niveau 4	Gloire et paix	
320005	Niveau 5	L'arrivée du Père Noël	
320006	Niveau 6	Je déteste les sales mioches !	
320007	Niveau 7	L'arrivée du Père Noël	
320008	Niveau 8	Le vœu d'un enfant sage	
3210	Narratif	Le Père Noël arrive en ville	
321001	Niveau 1	DIFFICILE : L'arrivée du Père Noël	
321002	Niveau 2	DIFFICILE : Cadeau de Noël	
321003	Niveau 3	DIFFICILE : L'arrivée du Père Noël	
321004	Niveau 4	DIFFICILE : L'arrivée du Père Noël	
321005	Niveau 5	DIFFICILE : L'arrivée du Père Noël	
321006	Niveau 6	DIFFICILE : Sales mioches !	
321007	Niveau 7	DIFFICILE : L'arrivée du Père Noël	
321008	Niveau 8	DIFFICILE : Le vœu d'un enfant sage	
3300	Narratif	Déjà vu	Des chocolats faits par moi-même, la mignonne petite Pachet !
330001	Niveau 1	Déjà vuⅠ	
330002	Niveau 2	Le jour sans fin	
330003	Niveau 3	Déjà vuⅡ	
330004	Niveau 4	Chocolats spéciaux	
330005	Niveau 5	Déjà vuⅢ	
330006	Niveau 6	Aux côtés de Pachet	
330007	Niveau 7	Déjà vuⅣ	
330008	Niveau 8	La fin du rêve	
3310	Narratif	Déjà vu	Des chocolats faits par moi-même, la mignonne petite Pachet !
331001	Niveau 1	Déjà vuⅠ(difficile)	
331002	Niveau 2	Le jour sans fin(difficile)	
331003	Niveau 3	Déjà vuⅡ(difficile)	
331004	Niveau 4	Chocolats spéciaux(difficile)	
331005	Niveau 5	Déjà vuⅢ(difficile)	
331006	Niveau 6	Aux côtés de Pachet(difficile)	
331007	Niveau 7	Déjà vuⅣ(difficile)	
331008	Niveau 8	La fin du rêve(difficile)	
3400	Narratif	L'amour est aveugle	Des bonbons de la part de Maître ? Moi aussi, j'en veux !
340001	Niveau 1	Le White Day I	
340002	Niveau 2	Bonbon géant	
340003	Niveau 3	Le White Day II	
340004	Niveau 4	Je veux t'aider	
340005	Niveau 5	L'Opération Choco-Rêve	
340006	Niveau 6	Vous voulez des chocolats ?	
340007	Niveau 7	Rivales en amour	
340008	Niveau 8	Un bonbon très spécial	
3410	Narratif	L'amour est aveugle	Des bonbons de la part de Maître ? Moi aussi, j'en veux !
341001	Niveau 1	Le White Day I (difficile)	
341002	Niveau 2	Bonbon géant (difficile)	
341003	Niveau 3	Le White Day II (difficile)	
341004	Niveau 4	Je veux t'aider (difficile)	
341005	Niveau 5	L'Opération Choco-Rêve (difficile)	
341006	Niveau 6	Vous voulez des chocolats ? (difficile)	
341007	Niveau 7	Rivales en amour (difficile)	
341008	Niveau 8	Un bonbon très spécial (difficile)	
3500	<Narratif>	Fantôme contre les exorcistes	Je viendrai voler ton cœur à la tombée de la nuit.
350001	Niveau 1	Direction New York	
350002	Niveau 2	Préparations	
350003	Niveau 3	Déborah et Jonas	
350004	Niveau 4	Le jour J	
350005	Niveau 5	Désastre total	
350006	Niveau 6	Panique	
350007	Niveau 7	Victoire	
350008	Niveau 8	On ne bouge plus !	
3510	<Narratif>	Fantôme contre les exorcistes	Je viendrai voler ton cœur à la tombée de la nuit.
351001	Niveau 1	Direction New York (difficile)	
351002	Niveau 2	Préparations (difficile)	
351003	Niveau 3	Déborah et Jonas (difficile)	
351004	Niveau 4	Le jour J (difficile)	
351005	Niveau 5	Désastre total (difficile)	
351006	Niveau 6	Panique (difficile)	
351007	Niveau 7	Victoire (difficile)	
351008	Niveau 8	On ne bouge plus ! (difficile)	
3600	<Narratif>	Girls Be Ambitious!	L'honneur, la gloire, même vous... \Tout cela est à moi !
360001	Niveau 1	Les prémices de la jalousie	
360002	Niveau 2	Aidez-moi	
360003	Niveau 3	Restez en dehors de ça	
360004	Niveau 4	Suis-je suspecte ?	
360005	Niveau 5	L'idéal féminin I	
360006	Niveau 6	L'appât et le raisin	
360007	Niveau 7	L'idéal féminin II	
360008	Niveau 8	Vous ne m'échapperez pas	
3610	<Narratif>	Girls Be Ambitious!	L'honneur, la gloire, même vous... \Tout cela est à moi !
361001	Niveau 1	Les prémices de la jalousie (difficile)	
361002	Niveau 2	Aidez-moi (difficile)	
361003	Niveau 3	Restez en dehors de ça (difficile)	
361004	Niveau 4	Suis-je suspecte ? (difficile)	
361005	Niveau 5	L'idéal féminin I (difficile)	
361006	Niveau 6	L'appât et le raisin (difficile)	
361007	Niveau 7	L'idéal féminin II (difficile)	
361008	Niveau 8	Vous ne m'échapperez pas (difficile)	
3700	<Narratif>	Point de vue démoniaque	On va s'occuper d'eux avant que Torii l'apprenne.
370001	Niveau 1	Chanson originale	BLANK
370002	Niveau 2	Supernova de Harlem Street	BLANK
370003	Niveau 3	Événement surprise	BLANK
370004	Niveau 4	Ravie de vous rencontrer !	BLANK
370005	Niveau 5	Je compte sur vous !	BLANK
370006	Niveau 6	Faites du bruit !	BLANK
370007	Niveau 7	C'est l'hôpital qui se moque de la charité	BLANK
370008	Niveau 8	Un beau diable	BLANK
3710	<Narratif>	Point de vue démoniaque	On va s'occuper d'eux avant que Torii l'apprenne.
371001	Niveau 1	Chanson originale (difficile)	BLANK
371002	Niveau 2	Supernova de Harlem Street (difficile)	BLANK
371003	Niveau 3	Événement surprise (difficile)	BLANK
371004	Niveau 4	Ravie de vous rencontrer ! (difficile)	BLANK
371005	Niveau 5	Je compte sur vous ! (difficile)	BLANK
371006	Niveau 6	Faites du bruit ! (difficile)	BLANK
371007	Niveau 7	C'est l'hôpital qui se moque de la charité (difficile)	BLANK
371008	Niveau 8	Un beau diable (difficile)	BLANK
3800	<Narratif>	Formule démoniaque	Qui c'est, le meilleur pilote de l'île d'Amos ?
380001	Niveau 1	Une rumeur menaçante	
380002	Niveau 2	Un plan suspect	
380003	Niveau 3	Cheval sombre	
380004	Niveau 4	Préliminaires	
380005	Niveau 5	Course en plein ciel	
380006	Niveau 6	Foule en colère	
380007	Niveau 7	Keep Calm & Carry On	
380008	Niveau 8	La vérité, c'est que...	
3810	<Narratif>	Formule démoniaque	Qui c'est, le meilleur pilote de l'île d'Amos ?
381001	Niveau 1	Une rumeur menaçante(diff)	
381002	Niveau 2	Un plan suspect(diff)	
381003	Niveau 3	Cheval sombre(diff)	
381004	Niveau 4	Préliminaires(diff)	
381005	Niveau 5	Course en plein ciel(diff)	
381006	Niveau 6	Foule en colère(diff)	
381007	Niveau 7	Keep Calm & Carry On(diff)	
381008	Niveau 8	La vérité, c'est que...(diff)	
3900	Narratif	Fantasy island	Une rencontre inattendue sur les îles de Vénus... Vous pourriez trouver un bon partenaire.
390001	Niveau 1	Vacances fantaisie	
390002	Niveau 2	Lettre mystérieuse	
390003	Niveau 3	Vacances fantaisie	
390004	Niveau 4	À la poursuite d'un individu louche	
390005	Niveau 5	Vacances fantaisie	
390006	Niveau 6	Deux Kasumi ?	
390007	Niveau 7	Vacances fantaisie	
390008	Niveau 8	Trésor	
3910	Narratif	Fantasy island	Une rencontre inattendue sur les îles de Vénus... Vous pourriez trouver un bon partenaire.
391001	Niveau 1	Vacances fantaisie (difficile)	
391002	Niveau 2	Lettre mystérieuse (difficile)	
391003	Niveau 3	Vacances fantaisie (difficile)	
391004	Niveau 4	À la poursuite d'un individu louche (difficile)	
391005	Niveau 5	Vacances fantaisie (difficile)	
391006	Niveau 6	Deux Kasumi ? (difficile)	
391007	Niveau 7	Vacances fantaisie (difficile)	
391008	Niveau 8	Trésor (difficile)	
4000	<Narratif>	Vacances oniriques	Un pays imaginaire chaotique et sens dessus dessous !\Qu'ont-ils perdu dans le rêve ?
400001	Niveau 1	Une ville étrange	
400002	Niveau 2	Phénomène fantastique	
400003	Niveau 3	Malentendus et conseils	
400004	Niveau 4	Odeur de poivre noir	
400005	Niveau 5	Un étrange goûter	
400006	Niveau 6	Le jeu de la reine	
400007	Niveau 7	La duchesse et Sa Majesté	
400008	Niveau 8	Le jugement	
4010	<Narratif>	Vacances oniriques	Un pays imaginaire chaotique et sens dessus dessous !\Qu'ont-ils perdu dans le rêve ?
401001	Niveau 1	Une ville étrange (difficile)	
401002	Niveau 2	Phénomène fantastique (difficile)	
401003	Niveau 3	Malentendus et conseils (difficile)	
401004	Niveau 4	Odeur de poivre noir (difficile)	
401005	Niveau 5	Un étrange goûter (difficile)	
401006	Niveau 6	Le jeu de la reine (difficile)	
401007	Niveau 7	La duchesse et Sa Majesté (difficile)	
401008	Niveau 8	Le jugement (difficile)	
4100	Narratif	Un rêve de chien	Neptune♥ est à deux doigts de réaliser son rêve de devenir la plus grande pop star de tous les temps. \... Pourquoi ça n'a pas l'air de la rendre heureuse ?
410001	Niveau 1	Souvenirs de Neptune♥	
410002	Niveau 2	Malice de Vénus♥	
410003	Niveau 3	99 % d'efforts	
410004	Niveau 4	Dire la vérité	
410005	Niveau 5	Poser des questions	
410006	Niveau 6	Un indice	
410007	Niveau 7	J'attendais toujours	
410008	Niveau 8	Avec 1 % de courage !	
4110	Narratif	Un rêve de chien	Neptune♥ est à deux doigts de réaliser son rêve de devenir la plus grande pop star de tous les temps. \... Pourquoi ça n'a pas l'air de la rendre heureuse ?
411001	Niveau 1	Souvenirs de Neptune♥ (difficile)	
411002	Niveau 2	Malice de Vénus♥ (difficile)	
411003	Niveau 3	99 % d'efforts (difficile)	
411004	Niveau 4	Dire la vérité (difficile)	
411005	Niveau 5	Poser des questions (difficile)	
411006	Niveau 6	Un indice (difficile)	
411007	Niveau 7	J'attendais toujours (difficile)	
411008	Niveau 8	Avec 1 % de courage ! (difficile)	
