// key	SPECIAL_DUNGEON_NAME_	SPECIAL_DUNGEON_SECOND_NAME_	SPECIAL_DUNGEON_LOCATION_DESC_
300003	Stage 3	Judging & Awards	
300004	Stage 4	Theater & Understudies	
300005	Stage 5	Seiji & Eika	
300006	Stage 6	Vainglory & Intent	
300007	Stage 7	The Stage & the Show	
300008	Stage 8	A World for Two	
3100		Reincarnation	Please don't leave me. I exist because of you.
310001	Stage 1	Bound by Destiny	
310002	Stage 2	Good Friends	
310003	Stage 3	Susuri Sabaha	
310004	Stage 4	Karmic Hindrances	
310005	Stage 5	Foot of This World	
310006	Stage 6	Transmigration	
310007	Stage 7	Dark Karma	
310008	Stage 8	Karma Builder	
3200		Midsummer Night's Dream	One love, two warring hearts.\What's this love that you're talking about?
320001	Stage 1	Fragrance and Odor	
320002	Stage 2	The Secret between the Two	
320003	Stage 3	Weight of the Heart	
320004	Stage 4	Puppy Love	
320005	Stage 5	Here, There, and Everywhere	
320006	Stage 6	Round 2	
320007	Stage 7	Sweet Love	
320008	Stage 8	Ailill's Prophecy	
3300		Restoration	Memories can fade away; anger can't.
330001	Stage 1	A Match Made in Heaven	
330002	Stage 2	The Uninvited	
330003	Stage 3	Welcome	
330004	Stage 4	I'm Back	
330005	Stage 5	Declaration	
330006	Stage 6	Shadows of the Past	
330007	Stage 7	What Matters	
330008	Stage 8	Opportunity	
3400		Inferno	There's always enough time.\What's left is a decision.
340001	Stage 1	Demon's Trick	
340002	Stage 2	Unexpected Supporter	
340003	Stage 3	Freshman	
340004	Stage 4	Demon Den	
340005	Stage 5	Lost Fairy	
340006	Stage 6	Collar	
340007	Stage 7	What Matters	
340008	Stage 8	Fiery Serpent	
3500		Knight of Rose	My Beautiful One, Come Along
350001	Stage 1	Catch a Tail	
350002	Stage 2	Mea Culpa	
350003	Stage 3	Snake Tongue	
350004	Stage 4	Fiend's Grave	
350005	Stage 5	Swear Not	
350006	Stage 6	Rose of Sharon	
350007	Stage 7	In Your Blood	
350008	Stage 8	Iron Maiden	
3600		WOUNDED WINNER PART.1	Wise as Serpents, Harmless as Doves
360001	Stage 1	Dawn	
360002	Stage 2	Deserving of Gratitude	
360003	Stage 3	Psychometry Together	
360004	Stage 4	The Witch's House	
360005	Stage 5	The Apostates	
360006	Stage 6	Arhat and Mitra's World	
360007	Stage 7	Sinister Omen	
360008	Stage 8	Tathagata Awakened	
3700		WOUNDED WINNER PART.2	O Demon, Keeper of My Beginning and End.
370001	Stage 1	Observer	
370002	Stage 2	Universe Zombie	
370003	Stage 3	Universe Skill	
370004	Stage 4	Spear of Destiny	
370005	Stage 5	A Common Foe	
370006	Stage 6	Uninvited Saint 1	
370007	Stage 7	Uninvited Saint 2	
370008	Stage 8	Bartholomew Fair	
3800		WOUNDED WINNER PART.3	The great city, Sodom, where He was crucified.\From Revelation 11:8
380001	Stage 1	Ashram	
380002	Stage 2	The Elder's Account	
380003	Stage 3	Soul Seed 1	
380004	Stage 4	Soul Seed 2	
380005	Stage 5	Pursuing the Potion	
380006	Stage 6	Several Secrets	
380007	Stage 7	Unpleasant Magic	
380008	Stage 8	May We Meet Again	
3900		HEN TO PAN	Kill me. Save me.
390001	Stage 1	Black Phase	
390002	Stage 2	Arcanum Experiment	
390003	Stage 3	Antimony	
390004	Stage 4	Cibation	
390005	Stage 5	Ouroboros	
390006	Stage 6	Circle	
390007	Stage 7	Litharge	
390008	Stage 8	Coagulation	
4000		Close to Nirvana	You will not reach Nirvana.
400001	Stage 1	A Candle in the Wind	
400002	Stage 2	You Reap What You Sow	
400003	Stage 3	Worldly Desires	
400004	Stage 4	The Unexpected	
400005	Stage 5	Spirit of the Shrine Maiden	
400006	Stage 6	Waking From the Dream	
400007	Stage 7	Antipathy	
400008	Stage 8	The Path to Nirvana	
4100		Lifeblood	Death is but a minor event.\Life and red blood flow as one.
410001	Stage 1	No Ordinary Fellow	
410002	Stage 2	Easier to Act Than Worry	
410003	Stage 3	Filthy Once More	
410004	Stage 4	Only One Name	
410005	Stage 5	Inevitability	
410006	Stage 6	I Must Save My Friend	
410007	Stage 7	Doing It With Panache?	
410008	Stage 8	Celebrating Freedom	
4200	Angel of Light		Satan occasionally disguises himself\as an angel of light.
420001	Stage 1	Memories of that Day	
420002	Stage 2	A New Destination	
420003	Stage 3	Infiltration	
420004	Stage 4	His Friend	
420005	Stage 5	Lie	
420006	Stage 6	False Prophet	
420007	Stage 7	Reunion	
420008	Stage 8	Destined to Meet Again	
4300		Fate	Destiny is guidance. Guidance comes from sincerity.\And sincerity, from hope and trust.
430001	Stage 1	Reunion	
430002	Stage 2	Legend	
430003	Stage 3	Suffering	
430004	Stage 4	Revelation	
430005	Stage 5	State of Selflessness	
430006	Stage 6	Truth and Falsehood	
430007	Stage 7	Catastrophe	
430008	Stage 8	Fate	
4400		Ragna Break	The Infernal Realm's gate opens, and old gods descend.
440001		Stage 1	
440002		Stage 2	
440003		Stage 3	
440004		Stage 4	
440005		Stage 5	
440006		Stage 6	
440007		Stage 7	
440008		Stage 8	
4500		Ragna Break	The Infernal Realm's gate opens, and old gods descend.
450001		Stage 1	
450002		Stage 2	
450003		Stage 3	
450004		Stage 4	
450005		Stage 5	
450006		Stage 6	
450007		Stage 7	
450008		Stage 8	
4600		Inferno	There's always enough time.\What's left is a decision.
460001	Stage 1	Demon's Trick	
460002	Stage 2	Unexpected Supporter	
460003	Stage 3	Freshman	
460004	Stage 4	Demon Den	
460005	Stage 5	Lost Fairy	
460006	Stage 6	Collar	
460007	Stage 7	What Matters	
460008	Stage 8	Fiery Serpent	
4700		Demigod	Demigods are known for being born of gods and humans,\but they are the offspring of transcendental beings--demons--\and humans who can harbor life.
470001	Stage 1	Obedience	
470002	Stage 2	Solitude	
470003	Stage 3	Little Princess	
470004	Stage 4	Investigator	
470005	Stage 5	Performance Test	
470006	Stage 6	Unnatural Corpse	
470007	Stage 7	Decisive Battle	
470008	Stage 8	Flashback	
4800		The Demon Executioner	An unexpected visitor from the Infernal Realm. Belial, the third in command of the Infernal Realm.
480001	Stage 1	School Guide	
480002	Stage 2	Return to Tokyo	
480003	Stage 3	Strange Girl	
480004	Stage 4	Back to Japan after a Long Time	
480005	Stage 5	Scent of the Lily of the Valley	
480006	Stage 6	Financial Sense	
480007	Stage 7	Over Coffee	
480008	Stage 8	Executioner of the Infernal Realm	
4900		On Cloud Nine - I	I'm so happy these days I can't tell if this is real or a dream.\But if this is a dream, please don't wake me.
490001	Stage 1	A Favor	
490002	Stage 2	Sallos	
490003	Stage 3	Transfer	
490004	Stage 4	Rigorous Training	
490005	Stage 5	Magical Exhaustion	
490006	Stage 6	Elysion Island	
490007	Stage 7	Summer Scandal	
490008	Stage 8	Kick	
5000		On Cloud Nine - II	Sweet Dreams
500001	Stage 1	Meeting the Oneiroi	
500002	Stage 2	Leo's Jealousy	
500003	Stage 3	Nirrti's Pursuit	
500004	Stage 4	Neamhain's Suggestion	
500005	Stage 5	Rousing Party	
500006	Stage 6	Council of Infernal Realm Powers, Kurultai	
500007	Stage 7	Dear Mitra	
500008	Stage 8	Open Your Eyes	
5400		Christmas' Carol	Would you like to hear Carol's Christmas story?
540001	Stage 1	New Case	
540002	Stage 2	Working Holiday	
540003	Stage 3	Christmas Eve	
540004	Stage 4	Child of Past	
540005	Stage 5	House Break-in	
540006	Stage 6	Child of Present	
540007	Stage 7	Child of Future	
540008	Stage 8	Merry Christmas	
