// key	SCENARIO_SPEAKER_
NURSE	Infirmière
NURSE_01	Infirmière
NURSE_NEAMHAIN	La nourrice
OD	Ód
ODYSSEUS	Ulysse
OPHOIS	Ophois
OPHOIS_CONTRACTOR	Duoh Vera
ORCUS	Orcus
OWNER_OF_STRIGOY	Propriétaire du Strigoï
PAKHET	Pachet
PAL	Ami
PALENOTE	Œil de lynx
PANTHEON_CONTRACTOR	Hiroyuki Nishiyama
PAPA	Papa
PARK_MANAGER	Responsable de parc
PART TIME RUDOLF	Rudolphe, employé à mi-temps
PARTICIPANTA	Participant A
PARTICIPANTB	Participant B
PARTNER	Collègue
PART-TIMER	Employé(e) à temps partiel
PASSERSBY1	Passant 1
PASSERSBY2	Passant 2
PASSERSBY3	Passant 3
PASSERSBY4	Passant 4
PEOPLE	Citoyen(ne)
PEOPLE1	Villageois 1
PEOPLE2	Villageois 2
PEOPLE3	Villageois 3
PEPITA	Pépita
PHILIP	Philip
PIE CUBE	Cube pi
PILATES	Philotès
PLAYER_A	Joueur A
PLAYER_B	Joueur B
POI CUBE	Cube vénéneux
POLICE	Policier
POLICE_ZOMBIE	Policier zombie
POLICE1	Policier 1
POLICE2	Policier 2
PRIEST	Prêtre
PRINCIPAL SUHANA	Principale Suhana
PROCEL	Procel
PROFESSOR	Professeur
PTAH	Ptah
PUB_OWNER	Propriétaire du bar
PUNKA	Truand A
PUNKB	Truand B
PUNKC	Truand C
PUPPY	Chien du village
PUPPY1	Chien
RADIO	Radio
RAFFLES	Rafale
RAGARAJA	Ragaraja
RANI	Rani
RANI_CHILD	Child de Rani
RANI_FATHER	Père de Rani
REDCROSS	Croix Rouge
RENARD	Reynard
RENDAL	Rendal
REPORTER	Journaliste
RISA	Lisa
ROMEO	Roméo
ROSSANNA	Rosanna
ROSSANNA_CONTRACTOR	Tamaki Fumino
ROUSALKA	Roussalka
ROYAL_FAMILYA	Membre de la famille royale A
ROYAL_FAMILYB	Membre de la famille royale B
ROYAL_FAMILYC	Membre de la famille royale C
SABINA	Sabine
SAINT MICHAEL SCHOOL GIRL	Étudiante de Saint Michel
SAINTMICHAELSCHOOLGIRL	Écolière
SALADIN	Saladin
SALOONIST	Tenancière
SALUS	Saleos
SAMAEL	Samaël
SATURN	Saturne♥
SCHOOLBOY	Étudiant
SCHOOLBOY1	Étudiant 1
SCHOOLBOY2	Étudiant 2
SCHOOLGIRL	Lycéenne
SCHOOLGIRL1	Lycéenne 1
SCHOOLGIRL2	Lycéenne 2
SCHOOLGIRL3	Lycéenne 3
SCHOOLMAFIA	Boss
SECRET_CONTRACTOR	Passeur de pacte secret
SECURITY	Sécurité
SEMELE	Sémélé
SEOCHEON_SENSE	Première gardienne des fleurs
SERKET	Serket
SESHAT_CONTRACTOR	Masami Kajihara
SETH	Seth
SHAMAN_GHOST	To Keika démoniaque
SHINHJ	Hikaru Nijihara
SHIVAN SOLDIER	Soldat de Shivan Scimitar
SHOPASSISTANT	Employé(e)
SITRI	Sytry
SKQCLQJA	Ravisseur
SOLARSHADE_UNA	Yuna l'ombre solaire
SOLDIERA	Subalterne A
SOLDIERB	Subalterne B
SOLDIERC	Subalterne C
SOOJIN	Soo-jin
SOULBOW	Arc de grand prêtre
SPECTATOR1	Spectateur(trice) 1
SPECTATOR2	Spectateur(trice) 2
SPECTATORS	Spectateur(trice)
STAFF	Employé
STALKER	Harceleur
STOREANNOUNCE	Annonce du magasin
STORECLERK	Vendeuse
STOREOWNER	Commerçant
STREET_VENDOR	Marchand(e) de rue
STRIGOY	Strigoï
STUDENT	Étudiant
STUDENTA	Étudiant 1
STUDENTB	Étudiant 2
STUDENTCOUNCIL	Conseil de discipline
STUDENTS	Étudiant(e)s
SUCCUBUS	Succube
SUHANA	Suhana
SUHANA'S MOTHER	Mère de Suhana
SULHEE	Sulhee
SUNAH	Sunna
TAEKI	Taeki
TAMAKI	Tamaki
TEACHER	Professeur de classe
TEACHER_DEBORAH	Mme Déborah
TEACHER_MIRIAM	Professeur de Miriam
TERESA	Asagiri Thérésa
TERESA_SHORT	Thérésa
THE DUCHESS	Duchesse
THE KING OF HEARTS	Roi
THE QUEEN OF HEARTS	Reine
THEOPHANO_CONTRACTOR	Takuro Takuwa
THISBE_CONTRACTOR	Sonoda Hikari
THUGA	Truand A
THUGB	Truand B
THUGC	Truand C
THUGD	Truand D
THUGE	Truand E
THUGF	Truand F
TITANIA	Titania
TIWAZ	Tiwaz
TLSQN	Mariée
TRAINEE	Apprenti
TURAN	Turan
TYBALT	Tybalt
UBOHEE	Nakagawa Misaki
UNA	Yuna
UNIUSER1	Utilisateur d'Univers 1
UNIUSER2	Utilisateur d'Univers 2
UNIUSER3	Utilisateur d'Univers 3
UNIUSER4	Utilisateur d'Univers 4
UNIUSER5	Utilisateur d'Univers 5
UNIVERS_ZOMBIE	Zombie de l'espace
UNIVERSITY FOUNDER	Fondateur de l'Université Sudo
UNKNOWN_CONTRACTOR	Mystérieux passeur de pacte
UNKNOWN1	???
VAMPIRE	Vampire
VENDOR	Marchand
VENUS	Vénus♥
VENUS_UNA	Lumière d'espoir Yuna
VILLAGE_HEAD	Chef du village
VILLAGE_PEOPLE	Villageois
VILLAGEHEAD	Chef du village
VIRUPA	Viroupa
VLAD_3	Vlad III
VOLUNTEER	Bénévole
VOVO	Bobo
VOVO_TEACHER	Professeur de Bobo
WARDEN	Manager
WARDER	Gardien de prison
WATSON	Watson
WHITE RABBIT	Lapin blanc
WOLF	Loup
WOMAN	Femme
WOMAN_CONTRACTOR	Passeuse de pacte
WOMAN_EXORCIST	Femme exorciste
WOMAN1	Femme 1
WOMAN2	Femme 2
WOMANA	Femme A
WOMANB	Femme B
WOMEN_GEST	Invitée
WOOARI	Hideka Ebina
WOTAN	Odin
WYATT	Wyatt
WYATT_CONTRACTOR	Osamichi Okuno
WYVAN	Iâh
YAN	Jan Zizka
YEONYI	Yeoni
YMIR_CONTRACTOR	Ryou Hikawa
YOUNGMAN	Jeune homme
YOUNGPOLICE	Jeune détective
YOUTUBE	Vidéo NetTube
YOUTUBER	NetTuber
ZEPHYROS	Zephyros
