// key	ITEM_NAME_	ITEM_DESCRIPTION_
1030103	拳擊手套	亮紅色的拳擊手套。\被這玩意而打到的話，連惡魔都會被打倒。
1030104	拳擊手套	亮紅色的拳擊手套。\被這玩意而打到的話，連惡魔都會被打倒。
1030105	拳擊手套	亮紅色的拳擊手套。\被這玩意而打到的話，連惡魔都會被打倒。
1030113	溜溜球	溜小狗！\時鐘擺！
1030114	溜溜球	溜小狗！\時鐘擺！
1030115	溜溜球	溜小狗！\時鐘擺！
1040143	高速飛鏢	被改造成可以飛得更快的飛鏢…\但依然只是普通的飛鏢。
1040144	高速飛鏢	被改造成可以飛得更快的飛鏢…\但依然只是普通的飛鏢。
1040145	高速飛鏢	被改造成可以飛得更快的飛鏢…\但依然只是普通的飛鏢。
1040153	魔杖	按下它來射出花粉。\落在壞人手中的話，它將變為極度惹人厭的武器。
1040154	魔杖	按下它來射出花粉。\落在壞人手中的話，它將變為極度惹人厭的武器。
1040155	魔杖	按下它來射出花粉。\落在壞人手中的話，它將變為極度惹人厭的武器。
1040163	迷你巴祖卡	巴祖卡砲的小型模型。\但是拿著這個走在路上的話，有可能會因違反槍砲彈藥刀械管制條例被逮捕。
1040164	迷你巴祖卡	巴祖卡砲的小型模型。\但是拿著這個走在路上的話，有可能會因違反槍砲彈藥刀械管制條例被逮捕。
1040165	迷你巴祖卡	巴祖卡砲的小型模型。\但是拿著這個走在路上的話，有可能會因違反槍砲彈藥刀械管制條例被逮捕。
1040173	停止號誌	畫上了停止標示的告示牌。\由鐵製成，並有強大的制止力。
1040174	停止號誌	畫上了停止標示的告示牌。\由鐵製成，並有強大的制止力。
1040175	停止號誌	畫上了停止標示的告示牌。\由鐵製成，並有強大的制止力。
1050193	斧	無論是人類或是惡魔都能輕易斬斷的實用武器。\也很適合用來砍柴。
1050194	斧	無論是人類或是惡魔都能輕易斬斷的實用武器。\也很適合用來砍柴。
1050195	斧	無論是人類或是惡魔都能輕易斬斷的實用武器。\也很適合用來砍柴。
1050203	斧槍	從刀柄到刀刃的每一處都受到精心製作。\但要練習一陣子才能用得好。
1050204	斧槍	從刀柄到刀刃的每一處都受到精心製作。\但要練習一陣子才能用得好。
1050205	斧槍	從刀柄到刀刃的每一處都受到精心製作。\但要練習一陣子才能用得好。
1050213	膺品偃月刀	從長鬍子的老伯伯到美少女都喜歡選用這種武器。\雖然沒有刀刃，但是逼真的外型讓它成為了Cosplay中常用的道具。
1050214	膺品偃月刀	從長鬍子的老伯伯到美少女都喜歡選用這種武器。\雖然沒有刀刃，但是逼真的外型讓它成為了Cosplay中常用的道具。
1050215	膺品偃月刀	從長鬍子的老伯伯到美少女都喜歡選用這種武器。\雖然沒有刀刃，但是逼真的外型讓它成為了Cosplay中常用的道具。
1050223	雙節棍	阿恰～！來接接看我的雙截棍吧！\一不小心砸到臉上的話可就糗囉。
1050224	雙節棍	阿恰～！來接接看我的雙截棍吧！\一不小心砸到臉上的話可就糗囉。
1050225	雙節棍	阿恰～！來接接看我的雙截棍吧！\一不小心砸到臉上的話可就糗囉。
1050303	可愛掃帚	用來當做高級擺飾的掃帚。\實用性為零。
1050304	可愛掃帚	用來當做高級擺飾的掃帚。\實用性為零。
1050305	可愛掃帚	用來當做高級擺飾的掃帚。\實用性為零。
1050313	神社巫女的匕首	神社巫女所攜帶的護身匕首。\雖然以刀來說算小了，不過作為裝飾品還是過於笨重。
1050314	神社巫女的匕首	神社巫女所攜帶的護身匕首。\雖然以刀來說算小了，不過作為裝飾品還是過於笨重。
1050315	神社巫女的匕首	神社巫女所攜帶的護身匕首。\雖然以刀來說算小了，不過作為裝飾品還是過於笨重。
1050333	精萃燒瓶	有著神祕成分的神秘燒瓶。\因製造方法以遺失，所以無法再度製造。
1050334	精萃燒瓶	有著神祕成分的神秘燒瓶。\因製造方法以遺失，所以無法再度製造。
1050335	精萃燒瓶	有著神祕成分的神秘燒瓶。\因製造方法以遺失，所以無法再度製造。
1050343	聖誕老人的枴杖	充滿糖果的枴杖。\願好惡魔都得到祝福。
1050344	聖誕老人的枴杖	充滿糖果的枴杖。\願好惡魔都得到祝福。
1050345	聖誕老人的枴杖	充滿糖果的枴杖。\願好惡魔都得到祝福。
1050363	神聖懲罰之矛	從瑪亞特靈魂的一部分中所誕生的聖槍。\其槍刃可能會朝向自己。
1050364	神聖懲罰之矛	從瑪亞特靈魂的一部分中所誕生的聖槍。\其槍刃可能會朝向自己。
1050365	神聖懲罰之矛	從瑪亞特靈魂的一部分中所誕生的聖槍。\其槍刃可能會朝向自己。
1050373	邪惡之花	一把外型奇異的劍，是專門為阿斯塔蒂修改製作的。\被刺中後，這把劍不會簡單地拔出來。
1050374	邪惡之花	一把外型奇異的劍，是專門為阿斯塔蒂修改製作的。\被刺中後，這把劍不會簡單地拔出來。
1050375	邪惡之花	一把外型奇異的劍，是專門為阿斯塔蒂修改製作的。\被刺中後，這把劍不會簡單地拔出來。
1050383	狄蜜特針筒	流過血管的憤怒提供了力量。\一支充滿了狄蜜特之怒的針筒。
1050384	狄蜜特針筒	流過血管的憤怒提供了力量。\一支充滿了狄蜜特之怒的針筒。
1050385	狄蜜特針筒	流過血管的憤怒提供了力量。\一支充滿了狄蜜特之怒的針筒。
1050413	新娘捧花	永生花製成的捧花。\絕不凋謝的永恆誓言。
1050414	新娘捧花	永生花製成的捧花。\絕不凋謝的永恆誓言。
1050415	新娘捧花	永生花製成的捧花。\絕不凋謝的永恆誓言。
1050423	排球	崔斯坦的沙灘排球。有著非凡的彈性和耐久性。
1050424	排球	崔斯坦的沙灘排球。有著非凡的彈性和耐久性。
1050425	排球	崔斯坦的沙灘排球。有著非凡的彈性和耐久性。
1050433	鋼鐵玫瑰	因布麗姬的魔力而脹大或縮小的寶石。\裡面沒有玫瑰。
1050434	鋼鐵玫瑰	因布麗姬的魔力而脹大或縮小的寶石。\裡面沒有玫瑰。
1050435	鋼鐵玫瑰	因布麗姬的魔力而脹大或縮小的寶石。\裡面沒有玫瑰。
1050443	冥河聖杯	掌握麗塔命運的冥河聖杯。狂熱信徒的證明。
1050444	冥河聖杯	掌握麗塔命運的冥河聖杯。狂熱信徒的證明。
1050445	冥河聖杯	掌握麗塔命運的冥河聖杯。狂熱信徒的證明。
1050453	孤獨之羽	附著奇異魔力的羽毛。
1050454	孤獨之羽	附著奇異魔力的羽毛。
1050455	孤獨之羽	附著奇異魔力的羽毛。
1050463	哥德式陽傘	巴托里的哥德式陽傘。\特別能抵擋紫外線。有乾燥玫瑰的淡淡香氣。
1050464	哥德式陽傘	巴托里的哥德式陽傘。\特別能抵擋紫外線。有乾燥玫瑰的淡淡香氣。
1050465	哥德式陽傘	巴托里的哥德式陽傘。\特別能抵擋紫外線。有乾燥玫瑰的淡淡香氣。
1050473	鑽石麥克風	娜塔莉絲的特製採訪麥克風。\面對這支麥克風時，每個人都會忍不住坦白自己的秘密。
1050474	鑽石麥克風	娜塔莉絲的特製採訪麥克風。\面對這支麥克風時，每個人都會忍不住坦白自己的秘密。
1050475	鑽石麥克風	娜塔莉絲的特製採訪麥克風。\面對這支麥克風時，每個人都會忍不住坦白自己的秘密。
1050483	普拉帕螢光棒	Planet Party粉絲後援會的限量版螢光棒。\在演唱會中嗨起來不可或缺的物品。
1050484	普拉帕螢光棒	Planet Party粉絲後援會的限量版螢光棒。\在演唱會中嗨起來不可或缺的物品。
1050485	普拉帕螢光棒	Planet Party粉絲後援會的限量版螢光棒。\在演唱會中嗨起來不可或缺的物品。
1050493	新年玩具，毽子	聽說是傳統的冬日玩具。\曾被認為是造成副舟狀骨症候群的主因。
1050494	新年玩具，毽子	聽說是傳統的冬日玩具。\曾被認為是造成副舟狀骨症候群的主因。
1050495	新年玩具，毽子	聽說是傳統的冬日玩具。\曾被認為是造成副舟狀骨症候群的主因。
1050503	黛娜的權杖	黛娜用來引導迷失羔羊的權杖。
1050504	黛娜的權杖	黛娜用來引導迷失羔羊的權杖。
1050505	黛娜的權杖	黛娜用來引導迷失羔羊的權杖。
1050523	戴維洛伊德VI	紀錄許多真相的魔法拍立得相機。
1050524	戴維洛伊德VI	紀錄許多真相的魔法拍立得相機。
1050525	戴維洛伊德VI	紀錄許多真相的魔法拍立得相機。
1050533	麗莫斯的三叉戟	麗莫斯專用的短三叉戟，能讓她迅速且準確的\插起甜甜圈。也能拿來當叉子用。
1050534	麗莫斯的三叉戟	麗莫斯專用的短三叉戟，能讓她迅速且準確的\插起甜甜圈。也能拿來當叉子用。
1050535	麗莫斯的三叉戟	麗莫斯專用的短三叉戟，能讓她迅速且準確的\插起甜甜圈。也能拿來當叉子用。
1050543	魔槍：波爾福克	諾愛兒的事象兵器。\可用於攻擊所有她所想到的地點，\並無視其中的阻礙。
1050544	魔槍：波爾福克	諾愛兒的事象兵器。\可用於攻擊所有她所想到的地點，\並無視其中的阻礙。
1050545	魔槍：波爾福克	諾愛兒的事象兵器。\可用於攻擊所有她所想到的地點，\並無視其中的阻礙。
1050553	該隱之杖	象徵神聖權威的杖。
1050554	該隱之杖	象徵神聖權威的杖。
1050555	該隱之杖	象徵神聖權威的杖。
1050563	傳奇水槍	一把強大的水槍。\被人稱為「噴射龍」。
1050564	傳奇水槍	一把強大的水槍。\被人稱為「噴射龍」。
1050565	傳奇水槍	一把強大的水槍。\被人稱為「噴射龍」。
1050573	凱諾的剪刀	據說在鏡子前把咬住這把剪刀的話，\你就會看到未來的結婚對象。
1050574	凱諾的剪刀	據說在鏡子前把咬住這把剪刀的話，\你就會看到未來的結婚對象。
1050575	凱諾的剪刀	據說在鏡子前把咬住這把剪刀的話，\你就會看到未來的結婚對象。
1050583	緹絲貝的髮飾	色彩斑斕的花朵給人楚楚動人的印象。
1050584	緹絲貝的髮飾	色彩斑斕的花朵給人楚楚動人的印象。
1050585	緹絲貝的髮飾	色彩斑斕的花朵給人楚楚動人的印象。
1050593	暖男的羊角	癡迷文森特的羊角。
1050594	暖男的羊角	癡迷文森特的羊角。
1050595	暖男的羊角	癡迷文森特的羊角。
1050603	萊瑪的刺劍	萊瑪昔日愛人使用過的武器。
1050604	萊瑪的刺劍	萊瑪昔日愛人使用過的武器。
1050605	萊瑪的刺劍	萊瑪昔日愛人使用過的武器。
1050613	寂光寶劍	破邪顯正，斬妖除魔解救眾生的寶劍。
1050614	寂光寶劍	破邪顯正，斬妖除魔解救眾生的寶劍。
1050615	寂光寶劍	破邪顯正，斬妖除魔解救眾生的寶劍。
1050623	戰神的聖環	奧弗伊斯使用未知魔法製作的護身符。\她說這會帶來必定成功的好運。
1050624	戰神的聖環	奧弗伊斯使用未知魔法製作的護身符。\她說這會帶來必定成功的好運。
1050625	戰神的聖環	奧弗伊斯使用未知魔法製作的護身符。\她說這會帶來必定成功的好運。
1050633	滑雪組	艾修用來穿越雪白世界的滑雪板與滑雪杖。
1050634	滑雪組	艾修用來穿越雪白世界的滑雪板與滑雪杖。
1050635	滑雪組	艾修用來穿越雪白世界的滑雪板與滑雪杖。
1050643	月光紫晶之杖	神秘紫晶製成的魔杖。\寶石散發著極度危險的氣息。
1050644	月光紫晶之杖	神秘紫晶製成的魔杖。\寶石散發著極度危險的氣息。
1050645	月光紫晶之杖	神秘紫晶製成的魔杖。\寶石散發著極度危險的氣息。
1050653	騎士的突貫長槍	由主人賜予忠誠騎士的長槍。
1050654	騎士的突貫長槍	由主人賜予忠誠騎士的長槍。
1050655	騎士的突貫長槍	由主人賜予忠誠騎士的長槍。
1050663	帕赫特的巧克力	帕赫特的手作巧克力。\硬得不得了。
1050664	帕赫特的巧克力	帕赫特的手作巧克力。\硬得不得了。
1050665	帕赫特的巧克力	帕赫特的手作巧克力。\硬得不得了。
1050673	可愛緞帶	上面掛有鈴鐺的緞帶。\寄宿著只有瞭解真愛的人才能掌握的神秘力量。
1050674	可愛緞帶	上面掛有鈴鐺的緞帶。\寄宿著只有瞭解真愛的人才能掌握的神秘力量。
1050675	可愛緞帶	上面掛有鈴鐺的緞帶。\寄宿著只有瞭解真愛的人才能掌握的神秘力量。
1050783	帕拉斯之槍	如同帕拉斯身體的一部分般受盡呵護。\有著完善的保養，並發出銳利的光芒。
1050784	帕拉斯之槍	如同帕拉斯身體的一部分般受盡呵護。\有著完善的保養，並發出銳利的光芒。
1050785	帕拉斯之槍	如同帕拉斯身體的一部分般受盡呵護。\有著完善的保養，並發出銳利的光芒。
1050793	薄荷氣球	薄荷香的氣球。\討厭薄荷的惡魔要小心了。
1050794	薄荷氣球	薄荷香的氣球。\討厭薄荷的惡魔要小心了。
1050795	薄荷氣球	薄荷香的氣球。\討厭薄荷的惡魔要小心了。
1050803	塞美勒的花束	塞美勒幻想著\與洛基之間永恆愛戀時製作的花束。
1050804	塞美勒的花束	塞美勒幻想著\與洛基之間永恆愛戀時製作的花束。
1050805	塞美勒的花束	塞美勒幻想著\與洛基之間永恆愛戀時製作的花束。。
1050813	激情的麥克風	Evil頻道的主持人A.I\最愛的麥克風。
1050814	激情的麥克風	Evil頻道的主持人A.I\最愛的麥克風。
1050815	激情的麥克風	Evil頻道的主持人A.I\最愛的麥克風。
1050823	魅影吉他	拉弗斯在做犯罪預告時所演奏的電吉他。\她的即興演奏堪稱傳奇。
1050824	魅影吉他	拉弗斯在做犯罪預告時所演奏的電吉他。\她的即興演奏堪稱傳奇。
1050825	魅影吉他	拉弗斯在做犯罪預告時所演奏的電吉他。\她的即興演奏堪稱傳奇。
1050843	鉢里的折扇	鉢里的折扇，能占卜生者的吉凶禍福。
1050844	鉢里的折扇	鉢里的折扇，能占卜生者的吉凶禍福。
1050845	鉢里的折扇	鉢里的折扇，能占卜生者的吉凶禍福。
1050853	風舞小太刀	綾音所持的刀，能迅捷一擊壓制對手。
1050854	風舞小太刀	綾音所持的刀，能迅捷一擊壓制對手。
1050855	風舞小太刀	綾音所持的刀，能迅捷一擊壓制對手。
1050863	憂傷白翼	承載魯薩爾卡動搖情緒的雙翼。
1050864	憂傷白翼	承載魯薩爾卡動搖情緒的雙翼。
1050865	憂傷白翼	承載魯薩爾卡動搖情緒的雙翼。
1050873	護手	它們能打破任何拘束。
1050874	護手	它們能打破任何拘束。
1050875	護手	它們能打破任何拘束。
1050883	尼爾提的業	尼爾提\承擔的業。
1050884	尼爾提的業	尼爾提\承擔的業。
1050885	尼爾提的業	尼爾提\承擔的業。
1050893	亞摩斯島的棕櫚葉	生長在亞摩斯島的棕櫚葉。\輕輕劃過就足以造成割傷。
1050894	亞摩斯島的棕櫚葉	生長在亞摩斯島的棕櫚葉。\輕輕劃過就足以造成割傷。
1050895	亞摩斯島的棕櫚葉	生長在亞摩斯島的棕櫚葉。\輕輕劃過就足以造成割傷。
1050903	DF1高跟鞋	在正確的人手中，\高跟鞋能跟冰鎬一樣致命。
1050904	DF1高跟鞋	在正確的人手中，\高跟鞋能跟冰鎬一樣致命。
1050905	DF1高跟鞋	在正確的人手中，\高跟鞋能跟冰鎬一樣致命。
1050913	歐洛拉的王冠	讓人炫目的發光尖頂王冠。
1050914	歐洛拉的王冠	讓人炫目的發光尖頂王冠。
1050915	歐洛拉的王冠	讓人炫目的發光尖頂王冠。
1050973	自由之劍	能斬斷她一切束縛的強大武器。
1050974	自由之劍	能斬斷她一切束縛的強大武器。
1050975	自由之劍	能斬斷她一切束縛的強大武器。
1050983	幻燈朱雀靴	讓你能做出銳利踢技的靴子。
1050984	幻燈朱雀靴	讓你能做出銳利踢技的靴子。
1050985	幻燈朱雀靴	讓你能做出銳利踢技的靴子。
1050993	閃光斧	能立刻砍飛怪物的強大武器。
1050994	閃光斧	能立刻砍飛怪物的強大武器。
1050995	閃光斧	能立刻砍飛怪物的強大武器。
1051003	粉碎重錘	用盡全力揮舞這把錘子的話，也許你就能逃離這裡。
1051004	粉碎重錘	用盡全力揮舞這把錘子的話，也許你就能逃離這裡。
1051005	粉碎重錘	用盡全力揮舞這把錘子的話，也許你就能逃離這裡。
1051013	宇宙魔杖	體現使用者逃脫決心的魔杖。
1051014	宇宙魔杖	體現使用者逃脫決心的魔杖。
1051015	宇宙魔杖	體現使用者逃脫決心的魔杖。
1051023	火之槍	讓我們逃離這無限輪迴的宇宙吧。
1051024	火之槍	讓我們逃離這無限輪迴的宇宙吧。
1051025	火之槍	讓我們逃離這無限輪迴的宇宙吧。
1051033	飛翼神劍	能協助你逃離這地獄般宇宙的救贖神劍。
1051034	飛翼神劍	能協助你逃離這地獄般宇宙的救贖神劍。
1051035	飛翼神劍	能協助你逃離這地獄般宇宙的救贖神劍。
1051043	蘿絲琳塔之劍	這柄劍只為摧毀敵人而存在。
1051044	蘿絲琳塔之劍	這柄劍只為摧毀敵人而存在。
1051045	蘿絲琳塔之劍	這柄劍只為摧毀敵人而存在。
1051053	莫娜的扇子	在混亂又顛覆的世界中保護莫娜的武器。\也能在熱天裡降溫。
1051054	莫娜的扇子	在混亂又顛覆的世界中保護莫娜的武器。\也能在熱天裡降溫。
1051055	莫娜的扇子	在混亂又顛覆的世界中保護莫娜的武器。\也能在熱天裡降溫。
1051063	輪迴瓦爾哈拉	在阿羅漢生、死和重生輪迴中\所製作的武器。是她自身哲理的體現。
1051064	輪迴瓦爾哈拉	在阿羅漢生、死和重生輪迴中\所製作的武器。是她自身哲理的體現。
1051065	輪迴瓦爾哈拉	在阿羅漢生、死和重生輪迴中\所製作的武器。是她自身哲理的體現。
1051083	勇氣麥克風	一隻加大娜普圖♥優美又充滿勇氣的歌聲的麥克風。
1051084	勇氣麥克風	一隻加大娜普圖♥優美又充滿勇氣的歌聲的麥克風。
1051085	勇氣麥克風	一隻加大娜普圖♥優美又充滿勇氣的歌聲的麥克風。
1051093	藍刃軍刀	夏娃的劍，戰場上的藍色閃光。
1051094	藍刃軍刀	夏娃的劍，戰場上的藍色閃光。
1051095	藍刃軍刀	夏娃的劍，戰場上的藍色閃光。
1051103	查理曼之劍	布拉達曼特的劍，\設計來進行快速又深沉的刺擊。
1051104	查理曼之劍	布拉達曼特的劍，\設計來進行快速又深沉的刺擊。
1051105	查理曼之劍	布拉達曼特的劍，\設計來進行快速又深沉的刺擊。
1051113	玫瑰榴彈	美麗玫瑰造型的\致命爆裂物。
1051114	玫瑰榴彈	美麗玫瑰造型的\致命爆裂物。
1051115	玫瑰榴彈	美麗玫瑰造型的\致命爆裂物。
1051123	阿提蜜西亞的手套	為殺戮而特製的手套。
1051124	阿提蜜西亞的手套	為殺戮而特製的手套。
1051125	阿提蜜西亞的手套	為殺戮而特製的手套。
1051133	金屬腰帶	沃丹完全充滿魔力的先進武器。\彈匣袋為額外附加。
1051134	金屬腰帶	沃丹完全充滿魔力的先進武器。\彈匣袋為額外附加。
1051135	金屬腰帶	沃丹完全充滿魔力的先進武器。\彈匣袋為額外附加。
1051143	拉西的尾巴	藏有強大力量的\柔軟毛絨尾巴。
1051144	拉西的尾巴	藏有強大力量的\柔軟毛絨尾巴。
1051145	拉西的尾巴	藏有強大力量的\柔軟毛絨尾巴。
1051153	都桂花的護身符	桂花做來\驅散惡靈，並帶來平靜的護身符。
1051154	都桂花的護身符	桂花做來\驅散惡靈，並帶來平靜的護身符。
1051155	都桂花的護身符	桂花做來\驅散惡靈，並帶來平靜的護身符。
1051163	波利亞斯的鞋子	波利亞斯用來最大化自己速度的秘密武器。
1051164	波利亞斯的鞋子	波利亞斯用來最大化自己速度的秘密武器。
1051165	波利亞斯的鞋子	波利亞斯用來最大化自己速度的秘密武器。
1051173	十字架軍刀	克雷斯尼克的劍，外型類似十字架，\用來快速處決吸血鬼。
1051174	十字架軍刀	克雷斯尼克的劍，外型類似十字架，\用來快速處決吸血鬼。
1051175	十字架軍刀	克雷斯尼克的劍，外型類似十字架，\用來快速處決吸血鬼。
1051183	菲羅忒斯的傘	菲羅忒斯能召喚強大雨雲的傘。\被打到會很痛。
1051184	菲羅忒斯的傘	菲羅忒斯能召喚強大雨雲的傘。\被打到會很痛。
1051185	菲羅忒斯的傘	菲羅忒斯能召喚強大雨雲的傘。\被打到會很痛。
1051193	帶刺木棒	杜莎的棍棒，纏繞著棘刺\來做出有效率的攻擊。
1051194	帶刺木棒	杜莎的棍棒，纏繞著棘刺\來做出有效率的攻擊。
1051195	帶刺木棒	杜莎的棍棒，纏繞著棘刺\來做出有效率的攻擊。
11000000	憤怒的_炎龍人偶	用憤怒炎龍之焰製成的人偶。
11000001	冷酷的_冰龍人偶	用冷酷冰龍之冰製成的人偶。
11000002	四分五裂_泰迪人偶	受詛咒的泰迪熊人偶。
11000003	聲音_傳訊者人偶	會在黑暗中低語的傳訊者人偶。
11000004	破壞的_卡利宇迦人偶	完整呈現出卡利宇迦兇殘本性的人偶。
11000005	泛用型_鎖鏈殺手人偶	有著兇惡本性的鎖鏈殺手人偶僕從。
11000006	沙漠的_巴西利斯克人偶	適應沙漠環境的巴西利斯克人偶。
11000007	綠頭盔_巴祖卡人偶	用巴祖卡堅固安全帽製成的人偶。
11000008	毒藥_安瓿人偶	會提升盟友力量的安瓿人偶。
11000009	束領結的_侍者人偶	戴著高帽與領結的侍者人偶。
11000010	嗡嗡的_噪音人偶	完全無法調整自己音量的噪音一人偶。
11000011	DJ_赫茲人偶	古典樂粉絲赫茲的人偶。
11000012	惡夢_曼提人偶	以曼提夢魘型態為原型的人偶。
11000013	瘋狂兔兔_阿姆斯人偶	以怪物瘋狂兔兔為原型的人偶。
11000014	球鞋_鬥士人偶	神似鬥士鐵拳的人偶。
11000015	驚人的_寶箱怪人偶	會守護你最珍貴之物的寶物人偶。
11000016	熱血的_封箱者人偶	封箱者的人偶。用被盜的寶物製作而成。
11000017	吵雜的_毛球毛球人偶	毛球毛球的人偶。用手拔的貓毛製作而成。
11000018	藍色的_看守者人偶	用新雪寒意製成的看守者人偶。
11000019	紅色的_看守者人偶	用無盡地獄火製成的看守者人偶。
11000020	綠色的_看守者人偶	用受詛咒沼澤製成的看守者人偶。
11000021	光明的_看守者人偶	用惡魔之眼製成的看守者人偶。
11000022	暗黑的_看守者人偶	用女巫衣服製成的看守者人偶。
11000023	藍色的_復仇女孩人偶	注入了復仇者憤怒的藍色人偶。
11000024	紅色的_復仇女孩人偶	注入了復仇者悲傷的紅色人偶。
11000025	綠色的_復仇女孩人偶	注入了復仇者怨恨的綠色人偶。
11000026	發光的_復仇女孩人偶	注入了復仇者之罰的金色人偶。
11000027	紫色的_復仇女孩人偶	注入了復仇者詛咒的紫色人偶。
11000028	水羽的_波隆人偶	誕生於風暴之夢的沙隆人偶。
11000029	紅羽的_火隆人偶	誕生於燃燒火柴之夢的火隆人偶。
11000030	綠羽的_草隆人偶	誕生於森林之夢的草隆人偶。
11000031	光羽的_光隆人偶	誕生於月光之夢的光隆人偶。
11000032	黑羽的_暗隆人偶	誕生於暗夜之夢的暗隆人偶。
11000033	冰王_蒼龍人偶	在聖水中受洗的蒼龍人偶。
11000034	好孩子的_禮物袋人偶	只會吃乖寶寶名單上所記載的小孩的禮物袋人偶。
11000035	_莫娜人偶	以怠惰惡魔調教師莫娜為原型的人偶。
11000036	_麗莎人偶	以能幹的超S級魅魔麗莎為原型的人偶。
11000037	_妲比人偶	妲比太可愛了，連她的人偶也超可愛！
11000038	虛張聲勢的_狄蜜特人偶	以護士狄蜜特為原型的醫生遊戲人偶。
11000039	奉仕的_迪諾人偶	意外製作出的迪諾人偶。
11000040	看門犬_庫西人偶	象徵看門狗鬥志的人偶。
11000041	激情的_厄里絲人偶	以冷酷無情厄里絲為原型的人偶。
11000042	覺醒的_辛西亞人偶	以英雄辛西亞為原型的人偶。
11000043	天真的_弗蕾亞人偶	語尾帶「喵」聲的弗蕾亞人偶。
11000044	活躍的_阿萊克托人偶	以究極女僕阿萊克托為原型的完美人偶。
11000045	靜謐的_黛安娜人偶	以森林之主黛安娜為原型的人偶。
11000046	怠惰的_繆妮摩西妮人偶	以繆妮摩西妮為原型的人偶。
11000047	惡毒的_卡莉普索人偶	神似最佳約會禮物卡莉普索的人偶。
11000048	守序的_沙瑪什人偶	以正義之兔沙瑪什為原型的人偶。
11000049	狂言的_比利特人偶	以膚淺牧師為原型的人偶。
11000050	守護的_傳奇人偶	傳奇的人偶，充滿對自己主人的忠心。
11000051	犧牲的_貞德人偶	據說會帶給惡魔好消息的聖女貞德人偶。
11000052	修復的_卜塔人偶	用修復的卜塔扳手製成的人偶。
11000053	斷連的_忒彌斯人偶	修女裝忒彌斯的人偶。
11000054	毒舌的_巴里斯人偶	由巴里斯這位評論家認可的巴里斯人偶。
