// key	CHAT_SPA_
sc001_spa_1	Pfiou... Il faut prendre soin de soi ♥
sc035_spa_3	Quand vous êtes gentil avec moi, Maître, je ne peux pas m'empêcher d'imaginer quelle bourde vous essayez de dissimuler. Se pourrait-il que votre affection soit sincère, pour une fois ?
sc035_spa_4	J'aimerais que tout le monde vous voie comme je vous vois moi. Vous êtes formidable, alors pourquoi est-ce qu'on vous embête toujours ?
sc035_spa_max	Patience. Je rendrai le Royaume infernal plus splendide que jamais, en votre nom, Maître.
sc036_spa_1	C'est une peluche, et alors ? Nounours adore prendre des bains. Pas vrai, Nounours ?
sc036_spa_2	Tu gardais cet endroit rien que pour toi ? J'en reviens pas. Tu croyais vraiment que je le découvrirais pas ? Méchant démon, va.
sc036_spa_3	Hé, combien tu veux pour cet endroit ? Ce sont des sources chaudes réservées aux Childs, hein ? Ça doit être rare ! Je les veux TELLEMENT !
sc036_spa_4	Il y a plein de trucs qui me plaisent, dans ta chambre. Tu voudrais pas m'en vendre quelques-uns ? Je te les achète au prix du marché ! Non, plus cher !
sc036_spa_5	Ce que j'aimerais plus que tout, c'est mettre la main sur un objet vraiment unique. Comme quoi ? Eh ben... je sais pas encore.
sc036_spa_max	Hmm... Alors écoute. Je suis désolée, mais... je crois pas que tu rentrerais dans Nounours. T'as jamais pensé à faire un régime ?
sc037_spa_1	Voyons, gamin. C'est loin d'être suffisant pour me motiver.
sc037_spa_2	Je m'en fiche que tu participes au concours du Roi des démons ou pas. Si tu m'énerves, je te ferai mordre la poussière.
sc037_spa_3	Fous-moi la paix, gamin. Arrête de te morfondre et d'essayer de deviner mon humeur. Jure de me servir et je prendrai bien soin de toi.
sc037_spa_max	Le moment venu, on verra qui a vraiment l'étoffe d'un Roi des démons. Tu sais, jusqu'à maintenant, je ne pensais pas avoir de rival. On verra bien qui sera vainqueur : toi ou moi.
sc038_spa_1	Euh, ça va, là-bas ? Depuis combien de temps est-ce que vous m'observez ?
sc038_spa_2	Mais qu'est-ce qu'ils ont tous ? Tout le monde n'en a que pour son maître, ici... Enfin, je les comprends. Moi aussi, j'ai un maître formidable, après tout.
sc038_spa_3	Oh, allez, Maître ! Ne soyez pas timide ! Avec ce rendez-vous aux sources chaudes, je me sens tout excitée !
sc038_spa_4	Hé, hé ! Regardez ça ! ♥ Ma peau est toute douce après ce bain dans les sources chaudes ! ♥ Préparez-vous, car je crois que je vais être plus mignonne que jamais ! ♥
sc038_spa_5	Un rendez-vous aux sources chaudes, c'est très bien, mais... j'aimerais bien faire un tour ailleurs aussi ! Ah, je sais ! Vu que vous m'avez amenée ici, la prochaine fois, on ira dans l'un de mes lieux de rendez-vous préférés ! ♥
sc038_spa_max	Maître ! ♥ Vous savez quel jour on est ? C'est l'anniversaire de notre rencontre ! ♥ Et comme c'est un jour spécial, vous n'avez pas intérêt à me laisser seule, d'accord ?
sc039_spa_1	J-je vais te frapper si tu me fixes comme ça...
sc039_spa_2	Quoi, tu as cru que j'allais te dire quelque chose de gentil ? Épargne-moi tes mauvaises blagues ! À présent, va-t'en avant de souiller l'air à nouveau !
sc039_spa_3	Personne n'a le droit de me voir démaquillée sans mon autorisation explicite ! Ne reste pas planté là et... va attendre ailleurs ! Et arrête de me reluquer !
sc039_spa_4	Je crois que tu te fais des idées. Si j'ai toujours l'air de mauvaise humeur, ce n'est pas parce que je te déteste ou quoi que ce soit. Je suis gênée, c'est tout !
sc039_spa_max	Pas encore... J'ai beau t'envoyer balader, tu n'abandonnes jamais. Quoi qu'il arrive, tu reviens toujours me voir. Espèce de pervers ! Hmpf. Mais qu'est-ce que j'ai fait pour mériter ça ? Arrête de rôder par ici et disparais.
sc040_spa_1	On m'observe dans le bain ? Vous êtes vraiment diabolique.
sc040_spa_2	Qu'est-ce que je souhaite ? Rien. Mais si je devais désirer quelque chose, ce serait que vous vous comportiez davantage en véritable maître. Ce n'est pas grand-chose, si ?
sc040_spa_3	Vous êtes inquiet car vos Childs ne se comportent pas tous comme vous l'aimeriez, n'est-ce pas ? Ne vous en faites pas. Il vous en reste des fidèles, comme moi.
sc040_spa_max	Pourquoi est-ce que vous vous souciez de mon expression ? Mon visage ne trahit peut-être pas un déluge d'émotions... mais je ne suis pas insensible pour autant. Détendez-vous.
sc041_spa_1	Muah.
sc041_spa_2	Plus un corniaud aboie fort, plus sa morsure est pitoyable. Le vrai prédateur attend patiemment le moment opportun pour frapper et abattre sa proie.
sc041_spa_3	Tu peux remercier ta bonne étoile d'avoir rencontré un Child aussi exceptionnel que ma personne. Tu ne t'es jamais dit que tu avais peut-être épuisé ton quota de chance pour le reste de ta vie, minus ?
sc041_spa_max	J'ai appris que tu avais affronté un adversaire redoutable. Je peux savoir pourquoi je n'étais pas là ? Tu as raté l'occasion de voir ce que je suis prête à faire pour toi...
sc043_spa_1	Oh my god ! C'est si agréable !
sc043_spa_2	Peut-être que je t'ai mal jugé. Je ne te croyais pas capable de prendre aussi bien soin de moi. Hé ! Arrête de sourire comme ça !
sc043_spa_3	J'ai croisé pas mal de Childs, mais c'est clairement moi la plus adorable ! Quant à toi, tu as vraiment de la chance de m'avoir trouvée ! ♪
sc043_spa_4	Ha ha... Je pensais m'être endurcie en prenant de l'âge, mais vu comme je suis faible, je crois que je n'ai pas fini de grandir.
sc043_spa_5	Le combat d'aujourd'hui était incroyable ! On a bien mérité de se détendre un peu dans ces sources chaudes. Continue comme ça !
sc043_spa_max	Quoi ? Tu veux savoir si j'aime bien cet endroit ? Bien sûr que oui ! Je suis partante pour revenir ici 24 h/24, 7 j/7 ! Il faudra qu'on se refasse ça ! C'est compris, mon petit ami démoniaque ? ★
sc044_spa_1	C'est ch-chaud... Je crois que ma tension monte...
sc044_spa_2	Voyez-vous ça. Les planètes ont dû s'aligner pour qu'on se croise ici. Pour être franc, je ne pensais pas qu'on se reverrait. Ha ha, mais non, je plaisante.
sc044_spa_3	Je t'ai accordé ma confiance. Oui, bon, c'est vrai que tu es le seul à qui j'aurais pu l'accorder de toute façon, mais...
sc044_spa_4	Un bain dans ces sources chaudes rajeunirait n'importe qui, même quelqu'un comme moi. On y prend vite goût.
sc044_spa_5	C'est moi ou tout le monde ici a l'air embarqué dans une sorte de compétition ? C'est une épreuve d'endurance ? Je me demande pourquoi, puisque tout se passe comme prévu. Hmm ? Qu'est-ce que ça veut dire ? Telle est la question...
sc044_spa_max	Ces succubes t'ont encore passé un savon, n'est-ce pas ? Tu as l'air dépité, mais tu ne devrais pas, je t'assure. Tu es un bien meilleur prétendant que ce que je pensais. Aie un peu confiance en toi.
sc045_spa_1	C'est si vivifiant !
sc045_spa_2	Tsss... Cet endroit fourmille de rivales. Comme cette fille, là. Et celle-là, là-bas... Il ne faut pas que je baisse ma garde !
sc045_spa_3	Maître ! Les sources chaudes sont censées être un endroit calme ! Je sais que vous êtes mon plus grand fan, mais vous n'êtes pas obligé de le crier sur tous les toits.
sc045_spa_4	Hé, devinez quoi ? Je viens de tomber sur une fan. Du coup, je lui ai proposé mon autographe et... Hé ! Oh, je vois, vous ne me croyez pas, hein ? A-Alors que je... *snif* ... me donne toujours tant de mal...
sc045_spa_5	Toute pop star célèbre qui se respecte mérite un bon bain de temps en temps, pas vrai ? Ça fait partie du processus d'apprentissage ! Enfin, en théorie, en tout cas. Je fais surtout ça pour le plaisir.
sc045_spa_max	Vous m'y rejoindrez un jour, hein, Maître ? Sur la scène, au milieu des applaudissements, de la foule en délire, pris dans une tempête d'émotions...
sc047_spa_1	Je déteste l'eau. Elle finit toujours par s'évaporer...
sc047_spa_2	Hé ! J'étais curieuse quand j'ai su que c'étaient des sources chaudes réservées aux Childs, mais l'eau est à peine tiède !
sc047_spa_3	Tu m'as poursuivie jusqu'ici ? Tu es vraiment minable...
sc047_spa_4	Ah... Je ne m'étais pas sentie aussi libre depuis des lustres ! Personne pour me déran... Oh, c'est toi. Je vais faire comme si je ne t'avais pas vu. Allez, va-t'en.
sc047_spa_5	C'est quoi, ce sourire niais que tu nous fais ? Hmm... Tu sais quoi ? Tu as un beau sourire. Je... retire ce que j'ai dit.
sc047_spa_max	C'est si pénible de devoir toujours venir ici pour t'écouter chouiner à longueur de temps. Enfin... Je suis ton Child, et tu es mon maître, alors je peux bien fermer les yeux.
sc048_spa_1	Tu pensais que ça me plairait ? Ah...
sc048_spa_2	Hmm ? C'est quoi, cette tête ? Tu te fais des idées. J'essaie juste de me détendre, alors tu veux bien me laisser tranquille ? Ou encore mieux, me laisser tout court ?
sc048_spa_3	Il faut vraiment que tu me déranges aujourd'hui ? Je ne suis pas une succube, d'accord ? Je suis en congé, pour info. C'est clair ? Bon. File, maintenant. Allez.
sc048_spa_4	J'avais peut-être tort à propos de... tout ça, en fait. Je crois que rien ne me plaît. Hmpf... Pourquoi organiser un événement pareil ? On ne peut pas passer tout ça ?
sc048_spa_max	Je n'étais pas de très bonne humeur, aujourd'hui. Hier non plus, d'ailleurs. Ni même avant-hier. En fait, je ne suis jamais de bonne humeur. C'est comme ça. Non pas que je l'aie choisi...
sc049_spa_1	Aaah... Ça aussi, ça m'apaise...
sc049_spa_2	Cette odeur de soufre... On doit être dans les entrailles de l'Enfer. Bah, peu importe. Ma foi ne vacillera pas aussi facilement.
sc049_spa_3	Notre Seigneur a dit : "Étends le bras sur la mer, fends-la en deux et marche à pied sec." N-Non, je ne me sers pas de la Bible comme excuse pour jouer dans l'eau !
sc049_spa_4	Je refuse de succomber à tes tentations démoniaques. Mais si tes marques d'affection occasionnelles sont bien intentionnées... alors je n'y vois pas d'inconvénient.
sc049_spa_5	Dire que tu comptais me laisser ici ! Et si je m'enfuyais ? Tu es un démon imprudent, tu sais. Mais c'est peut-être pour ça que je me sens... en sécurité. Comme si la distance entre nous diminuait.
sc049_spa_max	C'est la vertu qui t'incite à faire preuve de bonté. Alors ne t'y oppose pas. Notre Seigneur est miséricordieux, même envers les démons. À présent, joins tes mains et prions ensemble. Pour notre salut...
sc051_spa_1	C'est censé être chaud ?
sc051_spa_2	Hé, tant qu'on est là, autant se faire plaisir ! Mais je parie que tu peux pas te permettre de répliquer, si ? Bah ha ha !
sc051_spa_3	Écoute, j'ai bien réfléchi et je crois pas que t'arriveras à progresser encore beaucoup. Bah quoi ? T'es vénère ? T'es vénère, avoue !
sc051_spa_4	Bordel, t'es vraiment pénible, tu sais ? Si t'as le temps de faire ami-ami avec moi, pourquoi tu vas pas chercher d'autres passeurs de pacte ? À moins que t'aies aucune piste, vu que tu restes ici à glander.
sc051_spa_5	Qu'est-ce qui fait un bon démon ? Pourquoi je répondrais ? On est ennemis, je te rappelle ! Attends, nan, pas ennemis, rivaux ! Ouais, c'est ça, rivaux !
sc051_spa_max	T'as pas l'air occupé. T'as une minute ? OK, écoute. Il faut que je te dise un truc. Ça concerne mes plans pour la suite ! Primo, je deviens Roi des démons ! Deuxio, je déclenche une révolution ! Pourquoi, je sais pas encore, mais... ça en jette, non ?
sc052_spa_1	Je suis irrésistible, je sais, mais évitez de me fixer !
sc052_spa_2	Ça alors... Regardez-moi toutes ces brebis innocentes. Si tout se passe bien, je vais pouvoir faire gagner quelques adorateurs de plus à l'église de Byleth.
sc052_spa_3	Je ne comprends pas. Mon ton enjôleur est censé être infaillible, mais tous les Childs ici me disent que je suis "adorable". Pourquoi ?
sc052_spa_max	Où étiez-vous passé, Maître ? Vous ne manquez pas d'air, à me laisser comme ça. Si vous recommencez, vous allez le regretter... Mais je ne pense pas que vous ferez deux fois la même erreur. Pas vous.
sc053_spa_1	Tu as des pensées impures, pas vrai ?
sc053_spa_2	Chut. Arrête. Tes pensées me dépriment.
sc053_spa_3	Tu t'inquiètes de trop de choses sans intérêt. Et plus tu les laisses te tracasser, plus elles accaparent ton esprit. C'est épuisant. Alors tu ne pourrais pas essayer de méditer, histoire de faire taire ton cerveau ?
sc053_spa_4	Tu veux que je devine à quoi tu penses ? Non merci. Je ne veux pas lire dans tes pensées, je veux l'entendre de ta bouche.
sc053_spa_5	Ces sources chaudes ? Je les adore. Mais tu interprètes ça comme de la flatterie, n'est-ce pas ? Aie un peu plus confiance en ce que je dis. Jamais je ne mentirais.
sc053_spa_max	Cet endroit est moins bruyant que les autres. J'y reviendrais avec plaisir.
sc054_spa_1	Rien n'est plus dangereux que de baisser sa garde. Il faut rester vigilant.
sc054_spa_2	Hmm... Je ressens la présence de nombreux Childs cachés dans ces eaux ! C'est pour ça que les sources débordent depuis tout à l'heure. Je vais devoir les éliminer discrètement.
