// key	CHAT_SPA_
sc001_spa_1	Whew...\Nothing like a little self-care ♥
sc012_spa_1	Hey... Don't stare at me like that. It's...awkward.
sc012_spa_2	Can you really become Archfiend just by gathering Childs and nothing else? The more you have, the harder it'll be to control them, you know.
sc012_spa_3	You called, Captain? Seems you need my help. I guess I can lend you a hand.
sc012_spa_4	No matter how you cut it, you're not demon-like at all, Captain. You know, I think I might just be able to trust you.
sc012_spa_max	Don't let go of my hand. I'll do everything in my power to help you. And I'll ensure you become Archfiend.
sc013_spa_1	Won't resting too long leave us open to attack...?
sc013_spa_2	Whew... I feel a lot better now. My headache isn't as bad today. Yeah. That's only comparatively speaking, though.
sc013_spa_3	Um... It must be boring spending time with me. Don't you want to go talk to other Childs?
sc013_spa_4	I knew you'd come. You're definitely stubborn, I'll give you that. Anyway, did something happen? I have plenty of time, so I'll hear you out.
sc013_spa_max	Why don't we talk about love? The speed of light is the only thing that's constant. That's why saying "you're my light" is the pinnacle of romantic expression.
sc014_spa_1	What a magnificent place. Thank you, Master.
sc014_spa_2	Don't listen to their absurd claims! You're not meant to be wicked, Master.
sc014_spa_3	If I must perish to uphold justice, then I shall face death without fear. ...Why are you so angry?
sc014_spa_4	I aspire to be like you, Master. If I follow your example, one day I'll be reborn as a true guardian of justice.
sc014_spa_5	I am your disciple, Master. I shall dispense justice in whatever fashion you dictate. Now, please tell me what kind of world you desire.
sc014_spa_max	There is no need for you to suffer, Master. Simply walk your own path, as you have been doing. I will follow along behind you.
sc017_spa_1	It's like I'm melting away\...in a good way...
sc017_spa_2	Did you come to soak too, Master? I must've drifted off at some point. *yaaawn* I'm awake now, but I think I'll take another nap.
sc017_spa_3	Master! Wanna play fetch with me today? Or do you wanna play in the water?
sc017_spa_max	I played my heart out, so I was totally pooped. But I feel tons better now! Thanks for bringing me to the hot spring. Whaddaya wanna play today, Master?
sc018_spa_1	Eeep. You didn't see anything, right?
sc018_spa_2	You came to see me? I don't believe you. You came to see some other Child, right? Demons are so untrustworthy, I swear.
sc018_spa_3	Um, you'll sing a song to Daron again today, right? Huh? Your face turned bright red. Did you catch a cold?
sc018_spa_4	Heehee... I got complimented again today! I'm in a great mood, so I'll keep helping you out!
sc018_spa_max	I could've fought harder, but I don't wanna get hurt, and I hate being in pain. I can't deny that I wanna help you, though.
sc019_spa_1	Do you bathe often?
sc019_spa_2	Who said you could speak to me? Wait quietly until I've finished bathing.
sc019_spa_3	Hm? Just checking in while you're here? What kind of demon does that? Whatever. I guess it won't kill me to say hello.
sc019_spa_max	You don't honestly think that by bringing me to a hot spring, you've fulfilled your duty, do you? If you want me to recognize you as my master, then act in a way that pleases me. Then I'll accept you.
sc020_spa_1	Well, hello there, little one. You're more precocious than I expected.
sc020_spa_2	Don't you think you're being conceited, thinking you're so great just because you brought me to a place like this? Other demons would put your immature sensibilities to shame.
sc020_spa_3	I never knew that demons loved hot springs too.　I guess we have more in common than I thought. Could it be that my fate is entwined with yours?
sc020_spa_4	I knew my dice weren't wrong! They predicted I'd have good fortune in the near future, but I never expected anything this awesome.
sc020_spa_max	Good rest leads to good fortune, you know! Prepare yourself for greatness, little one, because I'm going to fight with everything I've got.
sc022_spa_1	Oh man, I love AR stuff!\There's an awesome hot springs event happening right now!
sc022_spa_2	We're going back already? You're so stingy. Just leave me alone if you don't wanna play. "Take this! My ultimate technique!" Ugh, c'mon, would it kill you to play along?
sc022_spa_3	What's with the long face? Heh heh... Did you get scolded by one of your aides again? Quit whining and let's play a game! ...And relax in the hot spring, I guess.
sc022_spa_4	You came running to me again? You're seriously pathetic. Well, don't sweat it. I won't tell your aides! You owe me one, got it?
sc022_spa_max	Don't be humming a victory theme just 'cuz you brought me to a hot spring. It's pathetic. Though I guess I'm kinda grateful. Kthx...
sc026_spa_1	Here, Mr. Devil! I'll make sure you're nice and clean. Hahaha!
sc026_spa_2	You said it wasn't hot! You lied! You're horrible! I can't believe this! Oh, but it DOES feel kinda nice... Anyway, you're still a jerk! You big dummy!
sc026_spa_3	Do you like being tickled, Mr. Devil? I love being tickled. Heehee... C'mere, Mr. Devil! Mr. Deeeviiil...
sc026_spa_4	*sigh* I'm so warm. I feel all heavy. So sleepy... Mr. Devil, you better look after me until I wake up.
sc026_spa_max	You're not gonna soak, Mr. Devil? But it's so nice and warm. No need to hold back for my sake—get in here already! If you don't, I'll tickle you!
sc027_spa_1	Clash of hot springs!
sc027_spa_2	Are you lost? This is our first encounter, but I'm glad to have met you.
sc027_spa_3	It was well worth fighting for you. I never thought you'd introduce me to someplace so wonderful. Don't get the wrong idea, though. I didn't fight hard just for a reward. I'll come to your aid whenever you call.
sc027_spa_max	The legendary hero Cynthia won't ever fight for a demon! Buuut! She will put her life on the line for a dear friend!
sc028_spa_1	Ahhh, that feels good ♥ H-Hey, what do you think you're doing here?! Only princes are fit to gaze upon me!
sc028_spa_2	Hey, what're you doing over there? If you've got free time, come here and gimme a massage, or buy me something cold to drink.
sc028_spa_3	Someone! Anyone! Is no one around? How dare you use me, Princess Leda, so horribly! And then you think you can worm out of your punishment by sending me to a hot spring? Well...gracious as I am, I suppose I can overlook your insolence just this once.
sc028_spa_4	Hmmm. Rumor has it that you've been bragging about me to everyone. Please try to tone it down a little! I detest idiotic servants!
sc028_spa_max	Do I HAVE to say I like it? Fine. If you want to know my answer, I'll tell you: The water temperature, humidity, water quality, and attending servants are all to my liking. Heehee!
sc029_spa_1	My, I can see the moon reflected in the water. Exquisite...
sc029_spa_2	You say you don't want me wandering off anymore since you brought me to a hot spring? But you obviously bring other Childs to this very same place. You're so selfish.
sc029_spa_3	Soaking in hot water make me zone out and forget how much time has passed. So please, keep talking to me.
sc029_spa_4	This place is lovely. Just what I'd expect from one of your recommendations, Master. The next time we go out, we should come here. Shh—I've already made up my mind, so I won't tolerate any backtalk.
sc029_spa_max	You seem to be in low spirits today. Show me the darkness lingering in your heart, and I'll illuminate it for you. How, you ask? Heehee... That's a secret.
sc030_spa_1	Hm. This is a tough case to crack. I might not be able to solve it.
sc030_spa_2	Hold up. I need to focus. It's hard to deal with societal problems. Why, you ask? Because you need to predict how culture is shifting.
sc030_spa_3	Assistant. Why have you been listening in silence this whole time? A detective's heart can only be moved by a fascinating case!
sc030_spa_4	Assistant. How long have we known each other now? I think it's about time we partnered up!
sc030_spa_max	Once upon a time, there was a detective who lost her parents. The detective searched for her parents' murderer. Eventually, she came to the conclusion that the culprit was a demon. After that, in order to exact her revenge, she became a demon herself. ...Well? Interesting story, right?
sc031_spa_1	I may be a cat...\But I also love hot water...
sc031_spa_2	When Meowster is sad, his tail droops. Just like me-ow. That's why I understand how my meowster feels!
sc031_spa_3	I like hot water, but... normal kitties don't. So if a kitty goes in the bath with you, Meowster, it means you've impurressed them somehow.
sc031_spa_max	Meowna has taught me-ow a lot. I... I'm a Child, so I gotta help my meowster!
sc032_spa_1	I used the hot spring water to make this soft-boiled egg for you, master.
sc032_spa_2	You've come again? Hm? You say I seem perturbed? Not at all. The only thing I'm upset about is being interrupted while I'm resting.
sc032_spa_3	Please feel free to speak up anytime you are exhausted. I will always remain by your side to help you.
sc032_spa_max	The best sort of maid is one who stays out of their master's sight! I don't mind if that's hard for people to grasp. So long as YOU understand, that's fine by me.
sc033_spa_1	I can feel my heart rejuvenating.
sc033_spa_2	What brings you here today? You're not here to keep an eye on me, are you? You really shouldn't worry. I'm just here to enjoy the hot springs.
sc033_spa_3	I've been awaiting your arrival most anxiously, Master. Why, you ask? Simple: Because I enjoy spending quality time　with you like this.
sc033_spa_max	All the Childs here are the objects of your affection... Myself included, of course.
sc034_spa_1	H-Hmph... You really MUST be a demon, to come traipsing in here so shamelessly.
sc034_spa_2	What's wrong? You seem pretty worn out. Everyone needs a break now and then, you know.
sc034_spa_3	It's been a while since I've taken this much time off. Guess it doesn't hurt to enjoy ourselves like this sometimes. Surely you agree?
sc034_spa_max	You take good care of me— that much I get. That's why you bring me out here, right? Well, I appreciate it.
sc035_spa_1	I would like to...negotiate with the owner of this hot spring...
sc035_spa_2	To think there's a place this beautiful, but that only certain Childs are allowed to visit it. It's really unfair. Maybe there's just a limit on total world happiness, or something?
sc035_spa_3	Whenever you show me kindness, Master, I can't help but imagine what sort of blunder it is you're trying to cover up. Could it be that you're showing legitimate affection for once?
sc035_spa_4	If only everyone could see you the way I see you. You're such a wonderful person, so why does everyone insist on hassling you?
sc035_spa_max	You just wait. I'll make the Infernal Realm greater than ever— all in your name, Master.
sc036_spa_1	So what if he's a stuffed animal? Bear-Bear still loves taking baths. Right, Bear-Bear?
sc036_spa_2	I can't believe you've been keeping this place all to yourself. Did you really think you could hide it from me? You wicked demon, you.
sc036_spa_3	Hey, how much do you want for this place? It's a hot spring just for Childs, right? That's gotta be pretty rare! I want this place SO bad!
sc036_spa_4	There's lots of stuff in your room that really catches my eye. How do you feel about selling some of it off to me? I'll pay you market value! No, better!
sc036_spa_5	What I want more than anything is to get my hands on a real one-of-a-kind item. What do I have in mind, you ask? Well...I'm still figuring that part out.
sc036_spa_max	Hmm, so, listen. I hate to say this, but... I doubt you'd be able to fit inside Bear-Bear here. Ever thought about dieting?
sc037_spa_1	Come on, kid. This isn't nearly enough to get me fired up.
sc037_spa_2	I don't give a damn whether you take part in the Archfiend Contest or not. All I wanna do is take down anyone who rubs me the wrong way.
sc037_spa_3	Gimme a break, kid. Quit moping around and trying to read my mood. If you just promise to serve me, I'll take extra good care of ya.
sc037_spa_max	When the time comes, we'll see who's really cut out to be Archfiend. You know, until now, I never felt like anyone else even stood a chance. We'll just have to wait and see who wins: you or me.
sc038_spa_1	Um, hellooo? How long have you been staring from over there?
sc038_spa_2	Gosh, what is UP with this place? Everyone's just out here bragging up a storm about their masters... Not that I can't relate, with a wonderful master of my own and all.
sc038_spa_3	Oh, come on, Master! Show me a little love! This hot spring date of ours is really making me burn up inside!
sc038_spa_4	Hey, hey! Check this out! ♥ All that time in the hot springs has done wonders for my skin! ♥ Get ready, 'cause I think I'm set to be more adorable than ever! ♥
sc038_spa_5	A date at the hot springs is great and all, but... I'd sure love to hit up some other spots, yeah? I know! Since you were nice enough to bring me out here, next time I'll take you to one of my favorite date spots! ♥
sc038_spa_max	Master! ♥ Do you know what day it is? It's the anniversary of the first day we met! ♥ And since this is our special day, don't you even think about leaving my side, 'kay?
sc039_spa_1	I-I'll hit you if you keep staring like that...
sc039_spa_2	What, you thought I'd have something nice to say to you? Spare me your humorless jokes! Now get out of my sight before you poison the air with another!
sc039_spa_3	The only way anyone sees me without my makeup on is with my express permission! Now quit standing around there and just... go away and wait somewhere else! And quit staring!
sc039_spa_4	You seem to be getting the wrong idea. The reason why I always seem so irritated isn't because I hate you, or anything like that, okay? It's just embarrassing!
sc039_spa_max	Not again... No matter how many times I tell you off, you never give up. Rain or shine, you're always coming by to check in on me. Creep! Hmph. What did I ever do to deserve this? Quit skulking around here and get lost.
sc040_spa_1	Peeping on me in the bath?\You really are evil.
sc040_spa_2	What do I wish for? Nothing. But if I HAD to wish for something, it would be for you carry yourself like more of a true master. But that's nothing to waste a wish on, is it?
sc040_spa_3	You're worried because your Childs don't all behave the way you want them to, right? You can relax, though. You still have loyal Childs like me.
sc040_spa_max	Why do you seem so worried about the look on my face? Sure, I guess it's not a rainbow of emotions... But that doesn't mean I've got an emotionless heart. Relax.
sc041_spa_1	Muah.
sc041_spa_2	The louder a cur's bark, the more pathetic its bite. A truly fierce beast always sits by quietly, waiting for the right moment to strike and take down its prey.
sc041_spa_3	You must've been born under a lucky star to end up with a Child as wondrous as yours truly. Has it ever crossed your mind that maybe you've used up your entire life's worth of luck getting me, short stuff?
sc041_spa_max	I hear you confronted quite the fearsome opponent recently. Care to explain why you didn't take me with you? If you had, you would have seen just how hard I'd fight for you...
sc043_spa_1	O-M-G! This feels sooo good!
sc043_spa_2	Maybe I misjudged you. I didn't think you were capable of treating me to something so nice. Hey, now! Don't give me that stupid smirk!
sc043_spa_3	I've seen plenty of Childs out there, but I'm definitely the cutest of the bunch! And you—you're one lucky demon for getting your hands on me! ♪
sc043_spa_4	Haha... I thought I'd toughen up once I got older and all, but seeing how weak I am now, maybe I've still got a lot of growing up to do.
sc043_spa_5	That was one heck of a battle we had today. Time to let all that built-up tension out in these hot springs. Keep up the good work!
sc043_spa_max	What? You wanna know if I like it here? 'Course I do! I'm down for a place like this 24/7, 365! Make sure you bring me along again! You hear me, my little demon friend? ★
sc044_spa_1	S-So hot... I think my blood pressure's spiking...
sc044_spa_2	Well, well, well. The stars must have aligned for us to run into each other here. Honestly, I never thought our paths would ever cross. Haha, no, I only kid.
sc044_spa_3	I've put my trust in you. I mean, yes, it's true that you're the only one I could have put it in, but...
sc044_spa_4	Slipping into these steamy springs is enough to rejuvenate anyone— even someone like me. I could get used to this.
sc044_spa_5	Is it just me, or does everyone here seem wrapped up in some sort of competition? Is it one of endurance? I have to wonder why, since everything is moving according to plan. Hmm? What does that mean, you ask? What indeed...?
sc044_spa_max	Those succubi gave you another scolding, did they? You seem down, but you really shouldn't be. You're a much better candidate than I gave you credit for. Have some faith in yourself.
sc045_spa_1	This is so refreshing!
sc045_spa_2	Yikes... This place is stuffed to the gills with my rivals. Like that girl there. And that one there... I better stay on top of my game!
sc045_spa_3	Master! Hot springs are supposed to be quiet places! I know you're my superfan and all, but you're actually super-lame for making it SO obvious with all the noise you're making.
sc045_spa_4	Hey, guess what! I just bumped into a fan of mine. I went ahead and gave them my autograph, and— Hey! Oh, I see, you don't believe me, huh? E-Even though I'm... *sniff* ...always working so hard...
sc045_spa_5	A nice soak is something any chart-topping pop star deserves every now and again, right? This is all part of a learning experience! I mean, it's supposed to be, at least. Mostly, I'm just enjoying the vibe.
sc045_spa_max	You'll join me up there one day, right, Master? Up on stage, taking in the cheering, beaming crowd, overcome with emotion and excitement...
sc047_spa_1	I hate water.\I always end up making it evaporate...
sc047_spa_2	Hey! I got excited when I heard this was a hot spring just for Childs, but this water's hardly even warm!
sc047_spa_3	Did you chase me all the way here? You really are the worst...
sc047_spa_4	Phew... I haven't felt this free in ages! Not a soul around to bother— Oh, it's you. I'll just pretend I didn't see you there. Go on, then. Get lost.
sc047_spa_5	What's with the dumb grin on your face? Hmmm... Well, you know what? You have a nice smile. I'll...take back calling it dumb.
sc047_spa_max	It's such a pain to always have to come out here, listening to you whine and moan like you do. Still...I'm your Child, and you ARE my master, so I suppose I can let it slide.
sc048_spa_1	You thought this would make me happy? Hah...
sc048_spa_2	Hm? What's with that face? I think you've got the wrong idea. I'm just trying to enjoy myself here, so could you leave me alone? Or better yet, just leave entirely?
sc048_spa_3	What do you want TODAY, of all days? I'm no succubus, okay? I'm off the clock, for the record. Have I made myself clear? Good. Now make yourself scarce. Shoo.
sc048_spa_4	I think maybe I was wrong about... well, all of this. I don't think I like any of it. Hmph... Why even have an event like this? Can we just skip through all of it?
sc048_spa_max	I wasn't in the best of moods today. Or yesterday, even. Or the day before. I'm never in a good mood, honestly. That's just the way I am, I guess. Not that I ever asked to be this way...
sc049_spa_1	Ahhh... This, too, helps me feel at peace...
sc049_spa_2	This sulfuric stench... We must surely be in the depths of hell. Be that as it may, it matters little. My faith will not be shaken that easily.
sc049_spa_3	Our Lord once said, "Lift up your hands and hold them to the sea." "The seas shall part, and you shall walk on dry ground." ...N-No, I'm definitely not quoting scripture as an excuse to play in the water!
sc049_spa_4	I refuse to submit to your demonic temptations. But if your occasional displays of affection are truly rooted in kindness... Well, then I find no problem with that.
sc049_spa_5	To think you'd just leave me here! What if I were to run away? You're a reckless demon, you know. But perhaps that's also why I feel so...unthreatened. Like we're growing less and less distant.
sc049_spa_max	The kindness you show comes from a place of righteousness. So please, don't fight it. Our Lord forgives all, even demons. Now bring your hands together, and let us say a prayer. One for your salvation...
sc051_spa_1	Isn't this supposed to be hot?
sc051_spa_2	Hey, now that we're here, we might as well enjoy ourselves! Bet you don't have the luxury of kicking back, though, do ya? Bahaha!
sc051_spa_3	Listen, I've been thinking, and I really don't see you making much progress from here on. Oh, what? You mad? You are, aren't ya?
sc051_spa_4	Jeez, you're a real pain, you know that? If you've got time to get all buddy-buddy here, shouldn't you be out finding more pactmakers? Or should I take it you don't have any leads, since you're just hanging around here killing time?
sc051_spa_5	What makes a good demon? Why would I ever answer that? We're enemies in this, remember? Wait, no, not enemies—rivals! Yeah, that's it, we're rivals!
sc051_spa_max	You don't look busy. Got a minute? Good, then listen, I gotta tell you something. It's about my future plans! First! I'm gonna be Archfiend! Second! I'm gonna incite a revolution! Over what, I haven't decided yet, but still... Sounds cool, right?
sc052_spa_1	I know I'm fiendishly attractive,\but could you not stare quite so much?
sc052_spa_2	Oh my... Look at all the innocent little sheep that flock here. If all goes well, I might get myself a few more followers for the Church of Berit.
sc052_spa_3	I don't get it. My smooth-talking should work on pretty much anyone, but all the Childs here just keep calling me "adorable." Why?
sc052_spa_max	Hey, where have you been, Master? You've got some gall, leaving a guy like me hanging. Pull that again and you'll be sorry. ...Not that I imagine you'd make the same mistake twice. Not you.
sc053_spa_1	You just had a dirty thought, didn't you?
sc053_spa_2	Shh. Stop. Your thoughts are depressing me.
sc053_spa_3	You worry over too many pointless things. And the more you fret over them, the more your whole mind is consumed by them. It's tiresome. So please, can you try to meditate or something to silence that brain of yours?
sc053_spa_4	You want me to guess what's on your mind right now? No thank you. I don't want to read your mind; I want to hear the answer in your own words.
sc053_spa_5	This hot spring? I love it. But you just interpreted what I said as simple flattery, right? Have a little more faith in what I say. I would never tell a lie.
sc053_spa_max	This place is a bit quieter than most. I wouldn't mind coming back.
sc054_spa_1	There is no moment more dangerous than when you let down your guard.\Keep your wits about you.
sc054_spa_2	Hm! I sense that there are a number of Childs hiding in these waters! That is why the spring has been overflowing all this time. I shall have to dispatch them quietly.
sc054_spa_3	Muster up some courage. You are destined to become Archfiend someday. Of this I am sure.
sc054_spa_max	There are no bonds greater than those forged on the field of battle. You and I have such a bond. I even know how to take such a connection to greater heights...
sc056_spa_1	I can feel strength welling up inside me! The next time we meet shall be the last!
sc056_spa_2	I only answer to one master: no less than the almighty Himself. Demons exist solely to be eliminated.
sc056_spa_3	Don't you think you fuss over me too much? Don't blame me if that gets you purified when you're not paying attention! No, I kid.
sc056_spa_max	Oh wicked demon, toss away your earthly desires and awaken to your true, heavenly calling. Do so, and even a demon like you may earn His forgiveness.
sc057_spa_1	This sort of thing can be nice from time to time...
sc057_spa_2	Hello there, my precious customer. Have you set time aside just for me? Well, how sweet. What sort of tales have you got for me today, hmm?
sc057_spa_3	Well, well. Look who's here. Just the face I wanted to see. I was just thinking of you, you know. Why, you ask? Well...
sc057_spa_4	Every now and then, I like to just sit here doing nothing for a nice, long while. What do I think about while I'm at it? Well...I'm a demon follower, yes? So demons, of course!
sc057_spa_5	Another rough day out there? Don't bother trying to pretend otherwise—it's written all over your face. You're like an open book. You're a one-of-a-kind demon in that regard— the only innocent, inexperienced, tiny little demon out there.
sc057_spa_max	Hello there, my cute little customer. How nice of you to sneak out again to see little ol' me. How can I tell? Hee-hee. It's written all over your face.
sc058_spa_1	All becomes duty when neglected...
sc058_spa_2	There's something I was meant to do. Something about my name, my task, my fate? Do you know?
sc058_spa_3	若是経典所在之処, 即為有佛, 若尊重弟子. "This scripture is found in a holy land. Being able to explain its nuance is the border that separates disciple from master."
sc058_spa_4	Do I harbor a grudge against you, you ask? I wonder. To begrudge you would mean to have an attachment to the living, which would, in turn, define me as one among their number. Hm. Mayhap I do after all.
sc058_spa_5	Something springs to mind. The words and thoughts flow from my mouth, unbidden, to express something I struggle to define. Do you not think it strange?
sc058_spa_max	If I lead you to Nirvana, and you, as my companion, become one with me, then it would mean I am not among the dead, rendering all else mere pretense.
sc060_spa_1	Care to join me, baby?
sc060_spa_2	You're putting me in a tough spot by trusting me, baby. Why, you ask? 'Cause I don't trust you. Not one bit.
sc060_spa_3	You look like you've got one foot in the grave. Your aides giving you a hard time? Hee-hee. Poor baby.
sc060_spa_4	Wow, baby, you're doing amazing! Did you work really hard today? Why don't you show me this side of you more often?
sc060_spa_max	I don't think you'll always be down and out, baby. You just keep putting your best foot forward. It's bound to pay off one day.
sc061_spa_1	This should inspire some great melodies ♪
sc061_spa_2	Getting to know someone comes with its fair share of "eureka" moments. For example, I've learned that you're a total loner, Mr. Demon— and you don't find many demons like that!
sc061_spa_3	YEAAAH! ♪ Wanna rock out today? Come on, I know you can do it! Even a demon can figure it out. Just keep your eyes fixed on the path ahead, and you'll be good.
sc061_spa_4	I know we're kind of using this space as an excuse to talk, but there's nothing to say. After all, I'm always an open book with you, Mr. Demon! You, on the other hand, love to keep your secrets, don't you?
sc061_spa_5	You're so forward today! Did you have a change of heart? Haha, I'm just messing with you! You weren't about to start avoiding me, were you? Can't you take a little joke? People will think you're a stick in the mud.
sc061_spa_max	Thanks for always thinking of me! You really care about me, don't you? Hee-hee. Well, the feeling's mutual. It has been ever since the day we first met.
sc062_spa_1	Hee-hee, are you here to peep on me? I guess I can't blame you, given my beauty ♥
sc062_spa_2	Hey! You can't just barge in here! I get wanting to come and see me, but you have to observe proper decorum. Understood?
sc062_spa_3	Hey, Demon, do you remember the day we met? Ah, that day— Hold on a second. I can see it in your eyes. You don't remember at all, do you?!
sc062_spa_4	Demon, you're so clueless about women. But you know what? It's okay. I'm the only woman you need to know.
sc062_spa_max	Ahhh, this feels so good. I could just stay in the spa all day. ...Aww, are you sad that I'm not paying attention to you? Oh, Demon, you're so adorable ♥
sc063_spa_1	O-Oh, hi, demon.\I should have brought my diary...
sc063_spa_2	You startled me, showing up out of nowhere.
sc063_spa_3	Could you come a little closer? I'm not good at speaking up. B-But I really do want to talk to you.
sc063_spa_4	Do you still find it difficult to approach me? I want to get to know you better.
sc063_spa_max	I can't live without you. And now you're calling me a burden? How could you?!
sc064_spa_1	A swordsman who doesn't know how to sharpen a sword is a fool who will know only defeat.
sc064_spa_2	I expected to see you show some growth, but all you do is bore me.
sc064_spa_3	You have to be able to keep up with me. I'm not so gentle as to take care of anyone lagging behind.
sc064_spa_4	How long are you going to let your weakness drag you down? If you've got enough ambition to become the Archfiend, then prove it!
sc064_spa_5	I've never heard of anyone getting things done by overthinking. You need only focus on a single question: Who do you want to be?
sc064_spa_max	Fame is not yours to hoard. It should be shared among everyone supporting and fighting alongside you, myself included.
sc065_spa_1	Aaah...\Care to join me, boy?
sc065_spa_2	Does the fragrance of freshly-cut roses tickle my nose? Perhaps someone put some in the bath. Oh-ho-ho-ho ♥ How charming! ♥
sc065_spa_3	You desire to know what makes me so irresistible? Oh-ho-ho-ho. Are you playing coy to slide your way into my heart?
sc065_spa_4	I wish you would do something to change this somber atmosphere.
sc065_spa_max	I don't care for love. It's little more than fooling around in secret. But if you insist on experiencing it for yourself, then I can show you something quite...similar.
sc066_spa_1	Isn't this a little too...vulnerable?
sc066_spa_2	Oh, you're here, too? I wanted to spend today relaxing on my own, if you don't mind.
sc066_spa_3	Your magic power is so feeble that I can barely sense it. If I were you, I'd pretty much sit still trying not to squander what little I have. But you clearly don't understand that, being a child and all.
sc066_spa_4	I can't get enough of messing with stupid demons lately. They're such easy targets. What are you laughing about? You're one of them, for the record.
sc066_spa_max	I do my job, but otherwise I try not to overexert my body. Not exactly a paragon of health here. Get what I'm saying? Be careful how you use me.
sc067_spa_1	I suppose it's nice to forget about death for a moment every once in a while.
sc067_spa_2	Life is a prison. And the key to eternal freedom...is death.
sc067_spa_3	You want me to sit here and wait for time to pass? Why wait? Join me, and together, we can end this boring life right here and now.
sc067_spa_4	I long for only one thing: death. Yet when I am here, I have this strange notion that there's more to life than endless suffering.
sc067_spa_5	Life is a multifaceted thing, yet its ultimate and final end is death. Do not neglect the life you have.
sc067_spa_max	Demons... Childs... They all understand the relationship between life and death, yet we are all alone in the end. So be it. If you choose life, then I shall too.
sc068_spa_1	Once I get out,\I'm making my Ambrosia Special Milkshake!
