// key	CHAT_
c003_16_boss_short	Oh-ho-ho-ho-ho! It is I, Archfiend Davi!
c003_16_ctskill	Witness my power!
c003_16_death_1	How dare you...
c003_16_death_2	Right...
c003_16_drive	Now, kneel!
c003_16_hit_1	Aaah!
c003_16_hit_2	Eeek!
c003_16_hit_3	Ha!
c003_16_prskill	Try this on for size.
c003_16_skill	Aaah-ha-ha-ha-ha!
c003_16_spa	If only every day could be like today.
c003_16_startbt	Leave this to me!
c003_16_story1	It is I, Davi, the new Archfiend!\So, like, good to meet you and stuff.
c003_16_story2	You may fool God, but you'll never fool Archfiend Davi!
c003_16_story3	You're saying that I, Archfiend Davi, am nothing but a well-educated stalker?
c003_16_true1	Monaaa ♥ I,\Archfiend Davi, am going to make you my wife!
c003_16_true2	*sigh* When will I get to go back to the Infernal Realm...\This is all your fault, too!
c003_16_true3	It's all your fault that my plans failed!
c003_16_victory	Heh heh heh!\That was nothing!
c003_17_boss_long	Death to foolish demons!
c003_17_boss_short	Enter Davi!
c003_17_ctskill	Sing the praises of Archfiend Davi!
c003_17_death_1	Let everyone know...I died...
c003_17_death_2	Aww, I've been defeated!
c003_17_drive	Your sins are yours to know!
c003_17_hit_1	Waaahhh!
c003_17_hit_2	Quit it!
c003_17_hit_3	I'll get you for this!
c003_17_prskill	My turn!
c003_17_skill	This is gonna hurt a bit!
c003_17_spa	Enter Davi!
c003_17_startbt	Enter Davi!
c003_17_story1	Enter Davi!
c003_17_story2	Enter Davi!
c003_17_story3	Enter Davi!
c003_17_true1	Your sins are yours to know!
c003_17_true2	Your sins are yours to know!
c003_17_true3	Your sins are yours to know!
c003_17_victory	Death to foolish demons!
c003_18_boss_long	You know Davi's the best!
c003_18_boss_short	Ready OK?
c003_18_ctskill	Follow my lead!
c003_18_death_1	I...lost. *sniff*
c003_18_death_2	I can't give up...
c003_18_drive	Never. Give. Up!
c003_18_hit_1	Waaah!
c003_18_hit_2	Waaah!
c003_18_hit_3	Guuuh!
c003_18_prskill	You can do it!
c003_18_skill	Go! Fight! Win!
c003_18_spa	I could stay here forever.\Ehehe...
c003_18_startbt	I'm rootin' for ya!
c003_18_story1	Yours truly, everyone's cheerleader is here!\I'm here to support, so give it your best!
c003_18_story2	Don't think you can\pull the wool over MY eyes!
c003_18_story3	Hey! I'm a bona fide cheerleader!
c003_18_true1	You make no sense.\How do you think a demon like yourself has survived up until now?\It's because I've got your back. Otherwise, you'd be dead by now!
c003_18_true2	Do you really not wanna be the Archfiend, Master?\There's so much you could do as the Archfiend!\You're such a bore.\I don't even feel like cheering you on like this!
c003_18_true3	Since you've got no friends, I'll root for you!\So you'd better not lose.\I'm gonna get so angry if you do!
c003_18_victory	You've got me to thank for!
c003_89_boss_long	How would you like to eat my boots?
c003_89_boss_short	Oh-ho-ho-ho-ho! It is I, Archfiend Davi!
c003_89_ctskill	Witness my power!
c003_89_death_1	How dare you...
c003_89_death_2	Right...
c003_89_drive	Now, kneel!
c003_89_hit_1	Aaah!
c003_89_hit_2	Eeek!
c003_89_hit_3	Ha!
c003_89_prskill	Try this on for size.
c003_89_skill	Aaah-ha-ha-ha-ha!
c003_89_spa	If only every day could be like today.
c003_boss_long	Oh-ho-ho-ho!\Well done on making it this far, pathetic demons!
c003_boss_short	I'm gonna hit you with everything I've got!
c003_ctskill	You ready for this?!
c003_death_1	That hurts...
c003_death_2	Gaaah!
c003_drive	I'll destroy everything!
c003_hit_1	Waaah!
c003_hit_2	Eee!
c003_hit_3	Guuuh!
c003_prskill	I've got this!
c003_skill	Yah!
c003_spa	Oh no you don't!\This area's off-limits to demons!
c003_startbt	Okey-dokey then! Leave this to me!
c003_story1	Today's your lucky day, master!\I'm your new succubus, Davi!
c003_story2	Don't think you can\pull the wool over MY eyes!
c003_story3	Heh heh!\I'm an excellent stalker!
c003_true1	I'm going to love Mona for as long as I live ♥
c003_true2	When will I get to go back to the Infernal Realm...\This is all your fault!
c003_true3	You ruined my plans! If the Archfiend Contest doesn't end soon,\Mona and I won't get to... Heh heh...\...Anyway, it looks like I have no choice but to help!
c003_victory	All right! All thanks to me!
c004_02_boss_long	Want to bet on who'll win in a race?
c004_02_boss_short	One, two! One, two!
c004_02_ctskill	Leeet's go!
c004_02_death_1	I thought we could be friends...
c004_02_death_2	Aaah!
c004_02_drive	Faster!
c004_02_hit_1	Eee!
c004_02_hit_2	Aaah!
c004_02_hit_3	Eeek!
c004_02_prskill	Let's run!
c004_02_skill	Yah!
c004_02_spa	What do you wanna play tomorrow?
c004_02_startbt	Wanna play with me?
c004_02_story1	C'mon! Let's play!
c004_02_story2	We can play together!\Let's play together!
c004_02_story3	I'm gonna study! And I'm gonna learn!\And I'm gonna know how to make friends!\That's what I'm gonna do!
c004_02_true1	Come on, captain, let's play! I promise you'll have a good time!\Well? What do you say?
c004_02_true2	Hey, captain... We're friends, right?\I really like you, captain...\Do you like me too?
c004_02_true3	I promise to do my best for you, captain!\You're always there for me, so I'll be there for you too!
c004_02_victory	I'm taking first place!
c004_boss_long	Want to bet on who'll win in a race?
c004_boss_short	One, two! One, two!
c004_ctskill	Leeet's go!
c004_death_1	I thought we could be friends...
c004_death_2	Aaah!
c004_drive	Faster!
c004_hit_1	Eee!
c004_hit_2	Aaah!
c004_hit_3	Eeek!
c004_prskill	Let's run!
c004_skill	Yah!
c004_spa	What do you wanna play tomorrow?
c004_startbt	Wanna play with me?
c004_story1	C'mon! Let's play!
c004_story2	We can play together!\Let's play together!
c004_story3	I'm gonna study! And I'm gonna learn!\And I'm gonna know how to make friends!\That's what I'm gonna do!
c004_true1	Come on, captain, let's play! I promise you'll have a good time!\Well? What do you say?
c004_true2	Hey, captain... We're friends, right?\I really like you, captain...\Do you like me too?
c004_true3	I promise to do my best for you, captain!\You're always there for me, so I'll be there for you too!
c004_victory	I'm taking first place!
c005_boss_long	Laugh it up while you can!
c005_boss_short	What's with this kid?
c005_ctskill	Behave yourself!
c005_death_1	Why, you! You're gonna pay for this!
c005_death_2	Daaah!
c005_drive	Everyone move!
c005_hit_1	Why, you...!
c005_hit_2	Aaah!
c005_hit_3	Guh...!
c005_prskill	You look hot. How about I open up some new ventilation holes?
c005_skill	What's with you?
c005_spa	Stay out of my way.
c005_startbt	You might want to take this more seriously if you don't want to get hurt.
c005_story1	Do I have a problem with you? You bet I do!\If you're going to talk to me, you've gotta go through the proper channels!
c005_story2	Even if it takes your entire life, I'll make sure your revenge is served ice-cold.
c005_story3	You're the weakest of all the candidates.
c005_true1	If you're not strong, you lose. But...is it so bad to be weak?
c005_true2	I'll get revenge for you. No bad guys are getting away from me!
c005_true3	You...you don't hate me, do you?
c005_victory	All right!
c007_boss_long	Nobody can beat me!
c007_boss_short	Let your soul burn!
c007_ctskill	I'll serve you something hot!
c007_death_1	Dammit! I'm not outta juice yet...!
c007_death_2	Daaah...
c007_drive	Rage forth, my soul!
c007_hit_1	Agh!
c007_hit_2	Gwah!
c007_hit_3	Ugh...
c007_prskill	Bring it on!
c007_skill	Hi-yah!
c007_spa	My,\uh, shoulders were stiff...
c007_startbt	I'll incinerate you down to your very soul!
c007_story1	Come at me, Firo! I'll stomp you into the ground!\I'll kill you and take the name Firo for myself!
c007_story2	You said you'd make me strong, but you really just formed the pact to protect Firo.
c007_story3	"Try not to embarrass myself"? You'll never beat me!\You're my lifelong rival, Firo! Burn like you mean it!
c007_true1	So you're Firo's master, huh?\Guess that makes you my old man too.
c007_true2	Someone like you would rather have Firo, right? Instead of a piece of trash like me...
c007_true3	What am I supposed to do?!\What's it gonna take for you to notice me?!
c007_victory	Hah! Was that supposed to hurt?!
c008_boss_long	Are you prepared to cross swords with me?
c008_boss_short	Come at me once you're ready!
c008_ctskill	Skinny twerp...
c008_death_1	No! I can't die here!
c008_death_2	Ugh...
c008_drive	Let's hurry up and end this!
c008_hit_1	Ugh...
c008_hit_2	Aaah!
c008_hit_3	You jerk!
c008_prskill	Now!
c008_skill	Move!
c008_spa	It's time to begin your training!
c008_startbt	This should make a good warm-up.
c008_story1	Love is just your hormones messing with you.\After a while, they won't even want to see your face.
c008_story2	How long're you gonna use your Childs as shields?\Defend yourself for once.
c008_story3	Let us test our skills against each other.\I feel like I will learn something once you and I cross swords.
c008_true1	If you can't stand to lose, then work harder!
c008_true2	You can't trust anyone to protect you but yourself...
c008_true3	You ARE technically my master...\It behooves me to see what you're capable of.\I'll take your aide's advice and stick around to find out.
c008_victory	Now this is a battle!
c009_boss_long	I'll have to charge extra for this...
c009_boss_short	How much do you go for?
c009_ctskill	Keep it simple.
c009_death_1	Uh... No refunds...
c009_death_2	Aaah!
c009_drive	This is gonna cost ya!
c009_hit_1	Wah!
c009_hit_2	Gah!
c009_hit_3	Guh!
c009_prskill	I'm a professional!
c009_skill	Why so serious?
c009_spa	Don't think this show's for free.
c009_startbt	You know how much my services cost, right?
c009_story1	If you do work for someone, you need to be compensated.\That's how capitalism works, right?
c009_story2	Yeah, that's exactly what a penniless bum like you would say.
c009_story3	Sometimes I run into people who try to avoid me for no reason. I wonder what their deal is.
c009_true1	The more money, the better. If only my master would figure that out.
c009_true2	Take it easy on me! I've got sensitive skin, you know.
c009_true3	No ambitions? Then here, you can have half of mine. After all, I've got plenty to go around! Hahaha!
c009_victory	Haha! That oughta earn me a raise.
c010_boss_long	Well, well. What a sinister-looking patient.
c010_boss_short	I missed you, honey ♥
c010_ctskill	Ready for an intravenous injection?!
c010_death_1	No more patients today...
c010_death_2	Aaah!
c010_drive	And what seems to be the trouble today ♥
c010_hit_1	That hurts!
c010_hit_2	Aaah!
c010_hit_3	What do you think you're doing?!
c010_prskill	I'll call you when I'm ready.
c010_skill	This might sting a bit.
c010_spa	Aaah, now THIS is what I call relaxation.
c010_startbt	Time for your examination ♥
c010_story1	Ugh, that's it!\I'll just have to make him fall in love with me!
c010_story2	The next time I catch you timidly trying to gauge how I'm feeling,\I'm really gonna be mad!
c010_story3	From the cradle to the grave!\I'll be your devoted nurse for the rest of your life! ♥
c010_true1	I can't tell if you're actually that dense,\or if you're just pretending to be.
c010_true2	There's no cure for idiots who can't read the room!\Are you listening to me, darling?!
c010_true3	Honey, you are one lucky guy. You know that?\There's no other nurse in the world who'd devote herself to a worthless demon like you ♥
c010_victory	Did I help?
c011_boss_long	I'll fight as hard as I can!
c011_boss_short	You won't beat me so easily!
c011_ctskill	I'll do my best!
c011_death_1	That's weird. I did my very best...
c011_death_2	That hurts...
c011_drive	I won't give up!
c011_hit_1	Aaah!
c011_hit_2	Ha!
c011_hit_3	Haaah!
c011_prskill	It's my time to shine!
c011_skill	Go me!
c011_spa	Is the reward for my efforts?
c011_startbt	I'll fight for you my whole life, Mr. Devil!
c011_story1	Oh?! What is it, Mr. Demon?\Is it a fight?! Are we fighting?!
c011_story2	To hear you call my name so passionately...\I'm so blessed! I'll keep working hard for the rest of my life!
c011_story3	It'll be fine this time! I won't make the same mistake again!
c011_true1	Now that I'm your Child, Mr.\Devil, shall I work as hard as I can for you?
c011_true2	I'm always on call for you, Mr.\Devil!
c011_true3	I promise to work hard for you, Mr.\Devil. So please forgive me when—er, if I make any mistakes!
c011_victory	My hard work paid off!
c012_boss_long	Underestimate me and you're in for a world of hurt!
c012_boss_short	Bring it!
c012_ctskill	No way am I going down!
c012_death_1	Was I not...determined enough?
c012_death_2	Captain...
c012_drive	This is it!
c012_hit_1	Wah!
c012_hit_2	Gah!
c012_hit_3	Ngah!
c012_prskill	I'll pulverize you!
c012_skill	Take this!
c012_spa	Hey... Don't stare at me like that. It's...awkward.
c012_startbt	Let's fight together, Captain!
c012_story1	You think you're fit to be a captain?!
c012_story2	You think I'm up to no good too, Captain?
c012_story3	Don't be ridiculous, Captain.\Your decision is my decision.
c012_true1	I'll correct every mistake with my own hands!
c012_true2	Trust me. I'll place my faith in you too and fight to the bitter end!
c012_true3	If you become the Archfiend I want you to be, then I'll fight for you 'til the very end.\I'll wait 'til your mind's made up.
c012_victory	Nice one, Captain.
c013_boss_long	Welcome, distinguished guests.
c013_boss_short	So noisy.
c013_ctskill	As you wish...
c013_death_1	Maybe this was for the best...
c013_death_2	Gah...
c013_drive	Pardon me.
c013_hit_1	How careless.
c013_hit_2	Gah!
c013_hit_3	Stop that!
c013_prskill	Please stand back.
c013_skill	My turn next.
c013_spa	Won't resting too long leave us open to attack...?
c013_startbt	I'll return soon.
c013_story1	Good day to you, sir.
c013_story2	But no matter which road you take,\the most important thing is that you make it through to the end.
c013_story3	I hardly even have time to worry about my migraines while I'm surrounded by this ruckus.\This isn't exactly what I had expected, but it still just might work.
c013_true1	The more things change, the more they stay the same, I see.
c013_true2	All events are determined\only when they have been observed.
c013_true3	Welcome, sir.\I am Artemis. It is a pleasure to make your acquaintance, and an honor to accompany you on this endless journey.
c013_victory	I have returned.
c014_boss_long	Prepare yourself. I refuse to retreat.
c014_boss_short	In the name of justice, repent.
c014_ctskill	Evil is unnecessary.
c014_death_1	I'll never...forgive you.
c014_death_2	Justice...never dies.
c014_drive	I will show you the cost of your misdeeds.
c014_hit_1	Aaah!
c014_hit_2	Aaah!
c014_hit_3	I refuse to be defeated!
c014_prskill	For great justice!
c014_skill	Judgment!
c014_spa	What a magnificent place. Thank you, Master.
c014_startbt	Justice always prevails.
c014_story1	A cool head is required to uphold justice.\Now unleash the hammer of justice upon them.
c014_story2	Do you always gather Childs in such a way?\What outrageous cowardice.
c014_story3	Master, I believe you are fit to become the Archfiend after all.
c014_true1	Though all others may avert their eyes, I will contend with justice to the bitter end.
c014_true2	You yourself are my justice, Master.
c014_true3	Do not worry. I will protect you no matter what you do, Master, for you are my justice.
c014_victory	My master's justice is proven.
c017_00_boss_long	Grr... Woof woof!
c017_00_boss_short	*whine*
c017_00_ctskill	Woof woof!\Yipe!\*whine*...
c017_00_death_1	*whine*...
c017_00_death_2	Bark bark!
c017_00_drive	Woof woof!
c017_00_hit_1	Arf!
c017_00_hit_2	*whine*
c017_00_hit_3	Grr...!
c017_00_prskill	Grrr...!\*whine*...\Woof woof!
c017_00_skill	Ruff! Woof woof!
c017_00_spa	It's like I'm melting away\...in a good way...
c017_00_startbt	Bark bark bark!
c017_00_story1	Mmm,\you're so warm, master.\*nuzzle* *nuzzle* ♥
c017_00_story2	Well, you have all those ghosts behind you,\right? It's amazing!
c017_00_story3	I wanna be with you all the time, Master!
c017_00_true1	You are a cat, Ghost King—\er, I mean, master...\And I'm afraid I can't help but lunge at cats sometimes.
c017_00_true2	I wanna be a dog that can expunge evil spirits!
c017_00_true3	You may be a cat, master,\and I may be a dog...\But I know we can find a way to get along!
c017_00_victory	Thank yoof!
c017_boss_long	I'll be your opponent!
c017_boss_short	Bring it on!
c017_ctskill	Arf! Bring it on!
c017_death_1	I can't go on...
c017_death_2	*whine*...
c017_drive	I got this!
c017_hit_1	Aaah!
c017_hit_2	Ouch!
c017_hit_3	Grr...
c017_prskill	Wanna test your luck?
c017_skill	Grr... Woof woof!
c017_spa	It's like I'm melting away\...in a good way...
c017_startbt	Arf arf! It's walkie time ♪
c017_story1	Mmm, you're so warm, master.\*nuzzle* *nuzzle* ♥
c017_story2	Well, you have all those ghosts behind you, right? It's amazing!
c017_story3	I wanna be with you all the time, Master!
c017_true1	You are a cat, Ghost King—er, I mean, master...\And I'm afraid I can't help but lunge at cats sometimes.
c017_true2	I wanna be a dog that can expunge evil spirits!
c017_true3	You may be a cat, master, and I may be a dog...\But I know we can find a way to get along!
c017_victory	Pet me, pet me ♪
c018_boss_long	Are you lonely too?
c018_boss_short	Will you be my friend?
c018_ctskill	I'll save you!
c018_death_1	My dolly friends are all beat up...
c018_death_2	Aaah!
c018_drive	I'm gonna win!
c018_hit_1	Aaah!
c018_hit_2	Don't pick on me!
c018_hit_3	Bwah!
c018_prskill	Come on, dollies! Let's all sing together!
c018_skill	Let's play together.
c018_spa	Eeep. You didn't see anything, right?
c018_startbt	Did you see my dollies anywhere?
c018_story1	You lost your friend?\It's okay, I'll be your new friend.
c018_story2	She said she's not lonely because she has me.
c018_story3	Waaah! How could you throw away a friend like that?!\You're so mean! Waaah!
c018_true1	I knew it. You think my friends are just regular dollies, don't you?
c018_true2	I don't want to be alone... Don't leave me behind...
c018_true3	Hey, will you be my friend? My best friend?\Heh, it's a little embarrassing, saying something like that out loud.
c018_victory	Didn't I do great?!
c019_boss_long	Welcome to hell.
c019_boss_short	Now you know what hell is!
c019_ctskill	Get a grip!
c019_death_1	You're lashing out at me?!
c019_death_2	Guess this is the end of the line...
c019_drive	Don't you give me that!
c019_hit_1	Ha!
c019_hit_2	Damn!
c019_hit_3	Ouch!
c019_prskill	I'll straighten you out!
c019_skill	Pathetic!
c019_spa	Do you bathe often?
c019_startbt	Commence special training!
c019_story1	How did I get stuck with someone so lazy as my master...\I am truly ashamed.
c019_story2	I know this type all too well.
c019_story3	I'll be there to help. When I'm through with you, you won't even remember the days when you lacked willpower!
c019_true1	Tch, nothing but the same kinds of people, no matter where I look.\That goes for you too!
c019_true2	Did you like my special training?\Then say so!
c019_true3	Nobody is useless! The only thing holding you back is yourself!\Just what kind of demon do you want to be?!
c019_victory	Now you're listening, eh? Took you long enough.
c020_boss_long	Care to bet on which of us will win?
c020_boss_short	Now, let's get started!
c020_ctskill	Lucky sevens!
c020_death_1	Oops. Looks like luck wasn't on my side.
c020_death_2	That backfired...
c020_drive	All or nothing!
c020_hit_1	Huh?
c020_hit_2	Aaah!
c020_hit_3	Aaah!
c020_prskill	Luck is everything!
c020_skill	Do it!
c020_spa	Well, hello there, little one. You're more precocious than I expected.
c020_startbt	Care to try your luck against the dice?
c020_story1	That's a no-no. Only the dice know your fate.
c020_story2	Aren't you thinking about this a bit too much, little one?\It's okay. You rolled snake eyes, remember?
c020_story3	Luck is all about perspective.
c020_true1	Shall I tell your fortune?
c020_true2	How about we bet your bad luck against my good luck?
c020_true3	Maybe I'll try betting on you this time, little one.\It'll be the biggest gamble of my life. I can't wait to see if I'll win!
c020_victory	Looks like luck's on your side too, little one!
c022_10_boss_long	Sorry, I've got my hands full right now.\Let's talk later.
c022_10_boss_short	Jeez, take a hint already.
c022_10_ctskill	Special move!
c022_10_death_1	Game over... Rats.
c022_10_death_2	They got me!
c022_10_drive	Check THIS out! It's my ultimate special move!
c022_10_hit_1	Hey, that hurt!
c022_10_hit_2	Yikes!
c022_10_hit_3	Gah!
c022_10_prskill	Perfect timing!
c022_10_skill	Here goes!
c022_10_spa	Oh man, I love AR stuff!\There's an awesome hot springs event happening right now!
c022_10_startbt	Hm? Another battle? Oh, fine.
c022_10_story1	This happened 'cause you don't have a single drop of charisma like a leader should.
c022_10_story2	Hmm... Huh? I'm totally over it, okay?\J-Just give me some space already.
c022_10_story3	Gaaah, you totally blew it! I should've known better than to put my trust in you!
c022_10_true1	How did this happen?\...Say, you wouldn't want to just...let me go, would you?
c022_10_true2	Ugh, would you shut up about this Archfiend Contest already?\Get lost. I'm busy.
c022_10_true3	I need electricity to charge my console, and for that, I need your outlet.\Thus, the inevitable conclusion is...we've gotta become pals! Please?!
c022_10_victory	Nothing is impossible for one possessed of true genius!
c022_boss_long	Sorry, I've got my hands full right now.\Let's talk later.
c022_boss_short	Jeez, take a hint already.
c022_ctskill	Special move!
c022_death_1	Game over... Rats.
c022_death_2	They got me!
c022_drive	Check THIS out! It's my ultimate special move!
c022_hit_1	Hey, that hurt!
c022_hit_2	Yikes!
c022_hit_3	Gah!
c022_prskill	Perfect timing!
c022_skill	Here goes!
c022_spa	Oh man, I love AR stuff!\There's an awesome hot springs event happening right now!
c022_startbt	Hm? Another battle? Oh, fine.
c022_story1	This happened 'cause you don't have a single drop of charisma like a leader should.
c022_story2	Hmm... Huh? I'm totally over it, okay?\J-Just give me some space already.
c022_story3	Gaaah, you totally blew it! I should've known better than to put my trust in you!
c022_true1	How did this happen?\...Say, you wouldn't want to just...let me go, would you?
c022_true2	Ugh, would you shut up about this Archfiend Contest already?\Get lost. I'm busy.
c022_true3	I need electricity to charge my console, and for that, I need your outlet.\Thus, the inevitable conclusion is...we've gotta become pals! Please?!
c022_victory	Nothing is impossible for one possessed of true genius!
c024_boss_long	Come, pitiful children born in the age\where the strong devour the weak!
c024_boss_short	Come, let the feasting commence!
c024_ctskill	Kneel before me!
c024_death_1	This was but the measure of the man I was.
c024_death_2	Ahh... I would've liked to see...those days...
c024_drive	Behold! This is the difference between your power and mine!
c024_hit_1	Hmph.
c024_hit_2	Is that all?
c024_hit_3	Formidable.
c024_prskill	Time for the curtain to fall.
c024_skill	Face your miserable defeat.
c024_spa	Taking a breather every now and then isn't so bad.
c024_startbt	The curtain is drawn. Let us begin.
c024_story1	Never seen you before.
c024_story2	That said, you're rather fortunate.
c024_story3	I never meant to stay long.\In any case, thank you for having me.
c024_true1	To be quite honest, I don't yet know what truly makes a king. Thus do I seek to discover it myself.
c024_true2	You ask who will be king? Pah!\What an insipid question.
c024_true3	I'm not interested in us growing closer.\I take it you feel the same?
c024_victory	The only viable outcome.
c026_boss_long	Leave me alone! I'll break you in half!
c026_boss_short	Don't touch me!
c026_ctskill	Go away!
c026_death_1	I'll run away! Don't test me!
c026_death_2	Heheheh...
c026_drive	Get outta here!
c026_hit_1	Aaah!
c026_hit_2	Wah!
c026_hit_3	Waaah!
c026_prskill	Hands off!
c026_skill	Heheheh!
c026_spa	Here, Mr.\Devil!\I'll make sure you're nice and clean.
c026_startbt	Hahaha!\This is fun!
c026_story1	I hate demons... You're planning to shut me away, aren't you?
c026_story2	I'm all alone! I don't want to be shut away!
c026_story3	I'm gonna paint you! I'm gonna paaaint you!\Hehehe! You're gonna be so cute when I'm done!
c026_true1	D-Don't touch me!\I'm scared of demons.\You all just want to shut me away!
c026_true2	Why're you staring at me? I couldn't help but notice.\S-Still, the thought of you not being around makes me a little anxious...Mr. Devil.
c026_true3	It's all right if you touch me, Mr. Devil. After all, you're going to protect me, right?\So I'm going to trust you!
c026_victory	I won! Heheheh!
c027_boss_long	The road to becoming a hero is long and dangerous.
c027_boss_short	Have at you, villain!
c027_ctskill	No mercy!
c027_death_1	Cynthia, the great warrior of justice, shall never falter!
c027_death_2	It's all up to you now...
c027_drive	Evildoers, begone!
c027_hit_1	Aaah!
c027_hit_2	Gah!
c027_hit_3	Ow!
c027_prskill	Trust me!
c027_skill	Ha!
c027_spa	Clash of hot springs!
c027_startbt	Cynthia is here to save the day!
c027_story1	The path to becoming a hero is long and\precarious.
c027_story2	...As if a wish like that could ever come true.
c027_story3	Truly, fate is a cruel mistress... But at least\we can be friends, right?
c027_true1	I've never seen anyone more beautiful than you.\Will you accept my feelings?
c027_true2	Call on me whenever you're in danger.\I swear I'll be there in a flash!
c027_true3	All I want is\to be your friend.
c027_victory	Hahaha! No need to thank me.
c028_boss_long	You mean to challenge me? Don't blame me if you fall prey to my beauty.
c028_boss_short	You'll become my servant if you lose, right?
c028_ctskill	Move!
c028_death_1	I should have tried sweet-and-sour pork...while I still had the chance...
c028_death_2	Hahaha...so this is it...
c028_drive	You shall pay for your insolence with your life!
c028_hit_1	Aaah!
c028_hit_2	Owww!
c028_hit_3	Somebody, protect me!
c028_prskill	How dare you!
c028_skill	Stay back!
c028_spa	Ahh, that feels good ♥\H-Hey, what do you think you're doing here?!\Only princes are fit to gaze upon me!
c028_startbt	I see my beauty has captivated you!
c028_story1	For a lowly servant to request something of his princess takes courage.\I commend you for that.
c028_story2	...cheapskate.
c028_story3	Don't get so angry. I was just making a joke!\But, thank you. Demon.
c028_true1	That's Princess Leda to you.\And don't forget my three meals per day!
c028_true2	As my servant, it is your duty to serve me.\Rejoice, for I shall also bestow upon you the honor of preparing my meals.
c028_true3	I expect your undivided attention from here on out. And make sure to answer me when I speak to you. Understood?
c028_victory	All thanks to me! Now bow down and offer your gratitude!
c029_boss_long	I am the light that guides wayward souls.
c029_boss_short	Did my light guide you?
c029_ctskill	I shall illuminate the darkness for you.
c029_death_1	It seems my light wasn't strong enough...
c029_death_2	Guh...
c029_drive	Shine forth!
