// key	RANDOM_BOX_NAME_	RANDOM_BOX_DESC_
30049	Event Lucky Box 3	A Lucky Box full of diverse rewards.
30050	Event Lucky Box 4	A Lucky Box full of diverse rewards.
30051	Event Lucky Box 5	A Lucky Box full of diverse rewards.
30052	Event Lucky Box 6	A Lucky Box full of diverse rewards.
30053	Event Lucky Box 7	A Lucky Box full of diverse rewards.
30054	Event Lucky Box 8	A Lucky Box full of diverse rewards.
30055	Event Lucky Box 9	A Lucky Box full of diverse rewards.
30056	Event Lucky Box 10	A Lucky Box full of diverse rewards.
30057	Event Lucky Box 11	A Lucky Box full of diverse rewards.
30058	Event Lucky Box 12	A Lucky Box full of diverse rewards.
30059	Event Lucky Box 13	A Lucky Box full of diverse rewards.
30060	Event Lucky Box 14	A Lucky Box full of diverse rewards.
30061	Event Lucky Box 15	A Lucky Box full of diverse rewards.
30062	Amp. ATK Core Lucky Box	A Lucky Box full of diverse rewards.
30063	Amp. DEF Core Lucky Box	A Lucky Box full of diverse rewards.
30064	Amp. AGL Core Lucky Box	A Lucky Box full of diverse rewards.
30065	Amp. CRT Core Lucky Box	A Lucky Box full of diverse rewards.
30066	Ignition Core Material Lucky Box	A Lucky Box full of diverse rewards.
30067	Hephaestus Spa Skin Select Box	A Lucky Box full of diverse rewards.
30069	Special Reward Box	This is Special Reward Box
30070	Magic Mirror Card Reward Box	This is Magic Mirror Card Reward Box
30071	Crafting Stone Lucky Box	A Lucky Box full of diverse rewards.
30072	New Year's Pouch Lucky Box	A Lucky Box full of diverse rewards.
30073	Spa Lantern Lucky Box	A Lucky Box full of diverse rewards.
30074	Limited Core Lucky Box	A Lucky Box full of diverse rewards.
30075	2021 5★ Light Child Spa Skin Lucky Box	From launch until Dec 31, 2021.\Excludes collab. spa skins.
30076	2021 Spa Skin Lucky Box	A Lucky Box full of diverse rewards.
30078	Event Lucky Box 1	A Lucky Box full of diverse rewards.
30079	Event Lucky Box 2	A Lucky Box full of diverse rewards.
30080	Event Lucky Box 3	A Lucky Box full of diverse rewards.
30081	Event Lucky Box 4	A Lucky Box full of diverse rewards.
30082	Event Lucky Box 5	A Lucky Box full of diverse rewards.
30083	Event Lucky Box 6	A Lucky Box full of diverse rewards.
30084	Event Lucky Box 7	A Lucky Box full of diverse rewards.
30085	Event Lucky Box 8	A Lucky Box full of diverse rewards.
30086	Event Lucky Box 9	A Lucky Box full of diverse rewards.
30087	Event Lucky Box 10	A Lucky Box full of diverse rewards.
30088	Event Lucky Box 11	A Lucky Box full of diverse rewards.
30089	Event Lucky Box 12	A Lucky Box full of diverse rewards.
30090	Event Lucky Box 13	A Lucky Box full of diverse rewards.
30091	Event Lucky Box 14	A Lucky Box full of diverse rewards.
30092	Event Lucky Box 15	A Lucky Box full of diverse rewards.
30093	Event Lucky Box 16	A Lucky Box full of diverse rewards.
30094	2021 5★ Water Child Spa Skin Lucky Box	From launch until Dec 31, 2021.\Excludes collab. spa skins.
30095	Raid Boss Child Lucky Box	A Lucky Box full of diverse rewards.
30096	Raid Boss Child Lucky Box	A Lucky Box full of diverse rewards.
30097	Refining Orb Lucky Box	A Lucky Box full of diverse rewards.
30098	2021 5★ Fire Child Spa Skin Lucky Box	A Lucky Box full of diverse rewards.
30099	4-year Special Amplified Core Lucky Box	A Lucky Box full of diverse rewards.
30100	4-year Special Limited Core Lucky Box	A Lucky Box full of diverse rewards.
30101	Christmas Gift Bag	A Lucky Box full of diverse rewards.
30102	New Year's Pouch Lucky Box	A Lucky Box full of diverse rewards.
30103	Ignition Core Material Lucky Box	A Lucky Box full of diverse rewards.
30104	Raid Skin Lucky Box	A Lucky Box full of diverse rewards.
30105	2022 Spa Skin Lucky Box	A Lucky Box full of diverse rewards.
30108	2022 Spa Skin Lucky Box	A Lucky Box full of diverse rewards.
30111	Spring Lucky Box	A Lucky Box full of diverse rewards.
30112	Summer Lucky Box	A Lucky Box full of diverse rewards.
30113	Raid Skin Lucky Box	A Lucky Box full of diverse rewards.
