// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	死亡	邀約	0	
200006	Lv.6	諸神的襲擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200007	Lv.7	諸神的攻擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200008	Lv.8	諸神的掠奪	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200009	Lv.9	諸神的追擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200010	Lv.10	諸神的殞落	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200011	Lv.11	諸神的戰爭	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200012	Lv.12	諸神的猛鬥	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200013	Lv.13	諸神的爭鬥	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200014	Lv.14	諸神的格鬥	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200015	Lv.15	諸神的奮鬥	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200016	Lv.16	諸神的血鬥	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200017	Lv.17	諸神的亂鬥	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200018	Lv.18	諸神的電擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200019	Lv.19	諸神的血戰	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200020	Lv.20	諸神的激戰	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200021	Lv.21	諸神之盾	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200022	Lv.22	諸神的要塞	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200023	Lv.23	諸神的堤防	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200024	Lv.24	諸神的謠言	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200025	Lv.25	諸神的境界	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200026	Lv.26	諸神的守衛	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200027	Lv.27	諸神的戒嚴	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200028	Lv.28	諸神的固守	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200029	Lv.29	神聖的抵抗	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200030	Lv.30	諸神的攻防	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>
200031	Lv.31	諸神的逆襲	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200032	Lv.32	諸神的逆轉	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200033	Lv.33	諸神的反擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200034	Lv.34	諸神的報復	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200035	Lv.35	諸神的迎擊	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200036	Lv.36	諸神的應戰	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200037	Lv.37	諸神的反抗	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200038	Lv.38	諸神的驅敵	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200039	Lv.39	諸神的迎敵	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
200040	Lv.40	諸神的抗戰	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>弱點防禦力</color><color=ffc400>↓</color>、\<color=ff7b02>弱點攻擊力</color><color=ffc400>↑</color>，且擁有<color=ff7b02>Skill 充能加速</color>
20100001	Lv.1	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100002	Lv.2	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100003	Lv.3	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100004	Lv.4	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100005	Lv.5	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100006	Lv.6	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100007	Lv.7	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100008	Lv.8	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100009	Lv.9	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100010	Lv.10	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100011	Lv.11	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100012	Lv.12	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100013	Lv.13	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100014	Lv.14	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100015	Lv.15	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100016	Lv.16	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100017	Lv.17	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100018	Lv.18	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100019	Lv.19	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100020	Lv.20	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100021	Lv.21	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100022	Lv.22	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100023	Lv.23	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100024	Lv.24	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100025	Lv.25	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100026	Lv.26	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100027	Lv.27	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100028	Lv.28	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100029	Lv.29	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20100030	Lv.30	歐洛拉王	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200001	Lv.1	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200002	Lv.2	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200003	Lv.3	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200004	Lv.4	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200005	Lv.5	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200006	Lv.6	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200007	Lv.7	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200008	Lv.8	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200009	Lv.9	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200010	Lv.10	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200011	Lv.11	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200012	Lv.12	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200013	Lv.13	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200014	Lv.14	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200015	Lv.15	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200016	Lv.16	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200017	Lv.17	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200018	Lv.18	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200019	Lv.19	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200020	Lv.20	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200021	Lv.21	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200022	Lv.22	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200023	Lv.23	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200024	Lv.24	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200025	Lv.25	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200026	Lv.26	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200027	Lv.27	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200028	Lv.28	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200029	Lv.29	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20200030	Lv.30	歐洛拉王	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300001	Lv.1	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300002	Lv.2	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300003	Lv.3	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300004	Lv.4	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300005	Lv.5	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300006	Lv.6	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300007	Lv.7	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300008	Lv.8	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300009	Lv.9	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300010	Lv.10	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300011	Lv.11	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
20300012	Lv.12	黃金查爾斯	空欄	<color=ff0000>敵方隊伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>減益迴避率</color><color=ffc400>↑</color>、<color=ff7b02>減益持續時間</color><color=ffc400>↓</color>
