// key	ITEM_NAME_	ITEM_DESCRIPTION_
10000101	Cheveux tombés	Chacun des brins de ces cheveux montre des traces spirituelles.
1040145	Fléchette rapide	Modifiée pour filer plus droit que les autres fléchettes...\mais ça reste une fléchette ordinaire.
1040153	Baguette magique	Pressez-la pour tirer du pollen. Dans les mauvaises mains, elle peut devenir une arme extrêmement énervante.
1040154	Baguette magique	Pressez-la pour tirer du pollen. Dans les mauvaises mains, elle peut devenir une arme extrêmement énervante.
1040155	Baguette magique	Pressez-la pour tirer du pollen. Dans les mauvaises mains, elle peut devenir une arme extrêmement énervante.
1040163	Mini-bazooka	Comme un bazooka, mais en plus petit.\Il y a un vide juridique concernant la possession de cette arme.
1040164	Mini-bazooka	Comme un bazooka, mais en plus petit.\Il y a un vide juridique concernant la possession de cette arme.
1040165	Mini-bazooka	Comme un bazooka, mais en plus petit.\Il y a un vide juridique concernant la possession de cette arme.
1040173	Panneau stop	Une copie conforme d'un panneau stop.\Fabriqué en fer pour arrêter quasiment n'importe quoi.
1040174	Panneau stop	Une copie conforme d'un panneau stop.\Fabriqué en fer pour arrêter quasiment n'importe quoi.
1040175	Panneau stop	Une copie conforme d'un panneau stop.\Fabriqué en fer pour arrêter quasiment n'importe quoi.
1050193	Hache	Une arme pratique qui peut trancher humains comme démons.\Indispensable pour faire un feu de camp.
1050194	Hache	Une arme pratique qui peut trancher humains comme démons.\Indispensable pour faire un feu de camp.
1050195	Hache	Une arme pratique qui peut trancher humains comme démons.\Indispensable pour faire un feu de camp.
1050203	Hallebarde	Forgée avec minutie de la garde jusqu'à la lame.\Son maniement demande de l'entraînement, cela dit.
1050204	Hallebarde	Forgée avec minutie de la garde jusqu'à la lame.\Son maniement demande de l'entraînement, cela dit.
1050205	Hallebarde	Forgée avec minutie de la garde jusqu'à la lame.\Son maniement demande de l'entraînement, cela dit.
1050213	Faux cimeterre	L'arme de prédilection des vieillards barbus et des jolies jeunes filles.\Elle n'a pas de lame, mais son aspect très réaliste en fait un accessoire de cosplay populaire.
1050214	Faux cimeterre	L'arme de prédilection des vieillards barbus et des jolies jeunes filles.\Elle n'a pas de lame, mais son aspect très réaliste en fait un accessoire de cosplay populaire.
1050215	Faux cimeterre	L'arme de prédilection des vieillards barbus et des jolies jeunes filles.\Elle n'a pas de lame, mais son aspect très réaliste en fait un accessoire de cosplay populaire.
1050223	Nunchaku	Yaaah ! Une arme fantastique qui en impose !\Attention à ne pas vous le prendre en pleine figure.
1050224	Nunchaku	Yaaah ! Une arme fantastique qui en impose !\Attention à ne pas vous le prendre en pleine figure.
1050225	Nunchaku	Yaaah ! Une arme fantastique qui en impose !\Attention à ne pas vous le prendre en pleine figure.
1050303	Joli balai	Embellit les maisons huppées.\Il ne balaie pas très bien.
1050304	Joli balai	Embellit les maisons huppées.\Il ne balaie pas très bien.
1050305	Joli balai	Embellit les maisons huppées.\Il ne balaie pas très bien.
1050313	Dague de miko	Dague que les mikos portent pour se défendre.\Malgré sa petite taille, elle reste un accessoire encombrant.
1050314	Dague de miko	Dague que les mikos portent pour se défendre.\Malgré sa petite taille, elle reste un accessoire encombrant.
1050315	Dague de miko	Dague que les mikos portent pour se défendre.\Malgré sa petite taille, elle reste un accessoire encombrant.
1050333	Fiole quintessentielle	Fiole étrange contenant un ingrédient mystérieux. \Son contenu ne peut être recréé... la méthode en a été perdue.
1050334	Fiole quintessentielle	Fiole étrange contenant un ingrédient mystérieux. \Son contenu ne peut être recréé... la méthode en a été perdue.
1050335	Fiole quintessentielle	Fiole étrange contenant un ingrédient mystérieux. \Son contenu ne peut être recréé... la méthode en a été perdue.
1050343	Sucre d'orge de Père Noël	Un sucre d'orge gourmand.\Bénis soient les gentils petits démons.
1050344	Sucre d'orge de Père Noël	Un sucre d'orge gourmand.\Bénis soient les gentils petits démons.
1050345	Sucre d'orge de Père Noël	Un sucre d'orge gourmand.\Bénis soient les gentils petits démons.
1050363	Lance du châtiment divin	Une lance sacrée née d'une partie de l'âme de Maât.\Son extrémité peut être pointée sur vous.
1050364	Lance du châtiment divin	Une lance sacrée née d'une partie de l'âme de Maât.\Son extrémité peut être pointée sur vous.
1050365	Lance du châtiment divin	Une lance sacrée née d'une partie de l'âme de Maât.\Son extrémité peut être pointée sur vous.
1050373	Fleur maléfique	Une épée à la forme peu anodine, modifiée spécialement pour Astarté.\Une fois entrée, difficile de la faire sortir.
1050374	Fleur maléfique	Une épée à la forme peu anodine, modifiée spécialement pour Astarté.\Une fois entrée, difficile de la faire sortir.
1050375	Fleur maléfique	Une épée à la forme peu anodine, modifiée spécialement pour Astarté.\Une fois entrée, difficile de la faire sortir.
1050383	Seringue de Déméter	Un filon de colère source de puissance.\Une seringue de fureur de Déméter.
1050384	Seringue de Déméter	Un filon de colère source de puissance.\Une seringue de fureur de Déméter.
1050385	Seringue de Déméter	Un filon de colère source de puissance.\Une seringue de fureur de Déméter.
1050413	Bouquet rond	Un bouquet fait de fleurs préservées.\Un serment éternel qui jamais ne fanera.
1050414	Bouquet rond	Un bouquet fait de fleurs préservées.\Un serment éternel qui jamais ne fanera.
1050415	Bouquet rond	Un bouquet fait de fleurs préservées.\Un serment éternel qui jamais ne fanera.
1050423	Ballon de volley	Le ballon de beach-volley de Tristan. Son élasticité et sa résistance sont extraordinaires.
1050424	Ballon de volley	Le ballon de beach-volley de Tristan. Son élasticité et sa résistance sont extraordinaires.
1050425	Ballon de volley	Le ballon de beach-volley de Tristan. Son élasticité et sa résistance sont extraordinaires.
1050433	Rose d'acier	Joyau dont la taille dépend du pouvoir magique de Brigit. \Ne contient aucune rose.
1050434	Rose d'acier	Joyau dont la taille dépend du pouvoir magique de Brigit. \Ne contient aucune rose.
1050435	Rose d'acier	Joyau dont la taille dépend du pouvoir magique de Brigit. \Ne contient aucune rose.
1050443	Graal stygien	Un graal stygien qui abrite le destin de Rita. Marque de fanatisme religieux.
1050444	Graal stygien	Un graal stygien qui abrite le destin de Rita. Marque de fanatisme religieux.
1050445	Graal stygien	Un graal stygien qui abrite le destin de Rita. Marque de fanatisme religieux.
1050453	Ailes de la solitude	Ailes à la puissance magique mystérieuse.
1050454	Ailes de la solitude	Ailes à la puissance magique mystérieuse.
1050455	Ailes de la solitude	Ailes à la puissance magique mystérieuse.
1050463	Parasol gothique	Parasol gothique de Báthory.\Amélioré pour bloquer les UV. Dégage un doux parfum de roses séchées.
1050464	Parasol gothique	Parasol gothique de Báthory.\Amélioré pour bloquer les UV. Dégage un doux parfum de roses séchées.
1050465	Parasol gothique	Parasol gothique de Báthory.\Amélioré pour bloquer les UV. Dégage un doux parfum de roses séchées.
1050473	Micro de diamant	Micro spécial de Natalis pour les interviews. \Face à lui, les gens ne peuvent s'empêcher de confier leurs secrets.
1050474	Micro de diamant	Micro spécial de Natalis pour les interviews. \Face à lui, les gens ne peuvent s'empêcher de confier leurs secrets.
1050475	Micro de diamant	Micro spécial de Natalis pour les interviews. \Face à lui, les gens ne peuvent s'empêcher de confier leurs secrets.
1050483	Bâton Planet Party	Une édition limitée du bâton lumineux du fan-club de Planet Party.\Indispensable pour s'éclater en concert.
1050484	Bâton Planet Party	Une édition limitée du bâton lumineux du fan-club de Planet Party.\Indispensable pour s'éclater en concert.
1050485	Bâton Planet Party	Une édition limitée du bâton lumineux du fan-club de Planet Party.\Indispensable pour s'éclater en concert.
1050493	Jegi, jouet du nouvel an	Objet traditionnel des jeux d'hiver.\Était considéré comme la principale cause de fracture de l'os naviculaire.
1050494	Jegi, jouet du nouvel an	Objet traditionnel des jeux d'hiver.\Était considéré comme la principale cause de fracture de l'os naviculaire.
1050495	Jegi, jouet du nouvel an	Objet traditionnel des jeux d'hiver.\Était considéré comme la principale cause de fracture de l'os naviculaire.
1050503	Bâton de Dana	La crosse qu'utilise Dana pour guider les brebis égarées.
1050504	Bâton de Dana	La crosse qu'utilise Dana pour guider les brebis égarées.
1050505	Bâton de Dana	La crosse qu'utilise Dana pour guider les brebis égarées.
1050523	Diabloroïde VI	Un appareil photo instantané magique qui a permis de documenter de nombreuses vérités.
1050524	Diabloroïde VI	Un appareil photo instantané magique qui a permis de documenter de nombreuses vérités.
1050525	Diabloroïde VI	Un appareil photo instantané magique qui a permis de documenter de nombreuses vérités.
1050533	Trident de Limos	Petit trident spécial permettant à Limos d'embrocher des donuts \avec une vitesse et une précision terrifiantes. Sert aussi de fourchette.
1050534	Trident de Limos	Petit trident spécial permettant à Limos d'embrocher des donuts \avec une vitesse et une précision terrifiantes. Sert aussi de fourchette.
1050535	Trident de Limos	Petit trident spécial permettant à Limos d'embrocher des donuts \avec une vitesse et une précision terrifiantes. Sert aussi de fourchette.
1050543	Arcus Diabolus : Bolverk	Nox Nyctores de Noel.\Permet d'attaquer n'importe quel endroit auquel elle pense,\peu importe le nombre de murs qui s'interposent.
1050544	Arcus Diabolus : Bolverk	Nox Nyctores de Noel.\Permet d'attaquer n'importe quel endroit auquel elle pense,\peu importe le nombre de murs qui s'interposent.
1050545	Arcus Diabolus : Bolverk	Nox Nyctores de Noel.\Permet d'attaquer n'importe quel endroit auquel elle pense,\peu importe le nombre de murs qui s'interposent.
1050553	Férule de Caïn	Bâton représentant l'autorité sacrée.
1050554	Férule de Caïn	Bâton représentant l'autorité sacrée.
1050555	Férule de Caïn	Bâton représentant l'autorité sacrée.
1050563	Pistolet à eau légendaire	Un puissant pistolet à eau.\Il porte le nom de Dragon cracheur.
1050564	Pistolet à eau légendaire	Un puissant pistolet à eau.\Il porte le nom de Dragon cracheur.
1050565	Pistolet à eau légendaire	Un puissant pistolet à eau.\Il porte le nom de Dragon cracheur.
1050573	Ciseaux de Keino	On raconte que si on met ces ciseaux dans sa bouche devant un miroir,\la personne que l'on va épouser apparaît.
1050574	Ciseaux de Keino	On raconte que si on met ces ciseaux dans sa bouche devant un miroir,\la personne que l'on va épouser apparaît.
1050575	Ciseaux de Keino	On raconte que si on met ces ciseaux dans sa bouche devant un miroir,\la personne que l'on va épouser apparaît.
1050583	Parure de cheveux de Thisbé	Fleurs multicolores dégageant une belle impression.
1050584	Parure de cheveux de Thisbé	Fleurs multicolores dégageant une belle impression.
1050585	Parure de cheveux de Thisbé	Fleurs multicolores dégageant une belle impression.
1050593	Cornes de mouton d'homme délicat	Cornes de mouton de Vincent amouraché.
1050594	Cornes de mouton d'homme délicat	Cornes de mouton de Vincent amouraché.
1050595	Cornes de mouton d'homme délicat	Cornes de mouton de Vincent amouraché.
1050603	Rapière de Laima	L'arme de l'homme que Laima aimait autrefois.
1050604	Rapière de Laima	L'arme de l'homme que Laima aimait autrefois.
1050605	Rapière de Laima	L'arme de l'homme que Laima aimait autrefois.
1050613	Épée sacrée du Nirvana	Une épée sacrée qui anéantit le mal et colporte la vérité. Elle tranche les démons et protège l'humanité.
1050614	Épée sacrée du Nirvana	Une épée sacrée qui anéantit le mal et colporte la vérité. Elle tranche les démons et protège l'humanité.
1050615	Épée sacrée du Nirvana	Une épée sacrée qui anéantit le mal et colporte la vérité. Elle tranche les démons et protège l'humanité.
1050623	Bague sacrée du dieu de la guerre	Un charme qu'Ophois a créé avec une magie inconnue.\Elle prétend qu'il porte chance et garantit le succès.
1050624	Bague sacrée du dieu de la guerre	Un charme qu'Ophois a créé avec une magie inconnue.\Elle prétend qu'il porte chance et garantit le succès.
1050625	Bague sacrée du dieu de la guerre	Un charme qu'Ophois a créé avec une magie inconnue.\Elle prétend qu'il porte chance et garantit le succès.
1050633	Ensemble de ski	Un ensemble de skis et de bâtons pour Eshu, qui fonce sur la neige.
1050634	Ensemble de ski	Un ensemble de skis et de bâtons pour Eshu, qui fonce sur la neige.
1050635	Ensemble de ski	Un ensemble de skis et de bâtons pour Eshu, qui fonce sur la neige.
1050643	Bâton améthyste du clair de lune	Une baguette magique ornée d'une améthyste mystique.\Une aura dangereuse émane de cette gemme.
1050644	Bâton améthyste du clair de lune	Une baguette magique ornée d'une améthyste mystique.\Une aura dangereuse émane de cette gemme.
1050645	Bâton améthyste du clair de lune	Une baguette magique ornée d'une améthyste mystique.\Une aura dangereuse émane de cette gemme.
1050653	Lance de chevalier	Une lance offerte à un chevalier loyal par son maître.
1050654	Lance de chevalier	Une lance offerte à un chevalier loyal par son maître.
1050655	Lance de chevalier	Une lance offerte à un chevalier loyal par son maître.
1050663	Chocolats de Pachet	Les chocolats faits maison de Pachet.\Extrêmement durs.
1050664	Chocolats de Pachet	Les chocolats faits maison de Pachet.\Extrêmement durs.
1050665	Chocolats de Pachet	Les chocolats faits maison de Pachet.\Extrêmement durs.
1050673	Joli ruban	Un ruban orné d'une clochette.\N'accorde son mystérieux pouvoir qu'à ceux qui connaissent l'amour véritable.
1050674	Joli ruban	Un ruban orné d'une clochette.\N'accorde son mystérieux pouvoir qu'à ceux qui connaissent l'amour véritable.
1050675	Joli ruban	Un ruban orné d'une clochette.\N'accorde son mystérieux pouvoir qu'à ceux qui connaissent l'amour véritable.
1050783	Lance de Pallas	Véritable extension du bras de Pallas, très bien entretenue. \Brille d'un éclat féroce.
1050784	Lance de Pallas	Véritable extension du bras de Pallas, très bien entretenue. \Brille d'un éclat féroce.
1050785	Lance de Pallas	Véritable extension du bras de Pallas, très bien entretenue. \Brille d'un éclat féroce.
1050793	Ballon menthe	Un ballon qui sent la menthe.\Déconseillé aux démons qui n'aiment pas cette odeur.
1050794	Ballon menthe	Un ballon qui sent la menthe.\Déconseillé aux démons qui n'aiment pas cette odeur.
1050795	Ballon menthe	Un ballon qui sent la menthe.\Déconseillé aux démons qui n'aiment pas cette odeur.
1050803	Bouquet de Sémélé	Bouquet que Sémélé a confectionné\en rêvant de son amour éternel pour Loki.
1050804	Bouquet de Sémélé	Bouquet que Sémélé a confectionné\en rêvant de son amour éternel pour Loki.
1050805	Bouquet de Sémélé	Bouquet que Sémélé a confectionné\en rêvant de son amour éternel pour Loki.
1050813	Micro passionnel	Micro préféré d'I.A., \la journaliste de Chaîne Evil.
1050814	Micro passionnel	Micro préféré d'I.A., \la journaliste de Chaîne Evil.
1050815	Micro passionnel	Micro préféré d'I.A., \la journaliste de Chaîne Evil.
1050823	Guitare fantôme	Une guitare électrique sur laquelle joue Rafale pour annoncer ses crimes.\Ses riffs sont légendaires.
1050824	Guitare fantôme	Une guitare électrique sur laquelle joue Rafale pour annoncer ses crimes.\Ses riffs sont légendaires.
1050825	Guitare fantôme	Une guitare électrique sur laquelle joue Rafale pour annoncer ses crimes.\Ses riffs sont légendaires.
1050843	Éventail de Bari	Éventail de Bari, créé pour prédire l'avenir des vivants.
1050844	Éventail de Bari	Éventail de Bari, créé pour prédire l'avenir des vivants.
1050845	Éventail de Bari	Éventail de Bari, créé pour prédire l'avenir des vivants.
1050853	Fuma Kodachi	Les lames d'Ayane, qui neutralisent l'adversaire en une attaque rapide.
1050854	Fuma Kodachi	Les lames d'Ayane, qui neutralisent l'adversaire en une attaque rapide.
1050855	Fuma Kodachi	Les lames d'Ayane, qui neutralisent l'adversaire en une attaque rapide.
1050863	Ailes blanches du chagrin	Des ailes qui épousent les émotions vacillantes de Roussalka.
1050864	Ailes blanches du chagrin	Des ailes qui épousent les émotions vacillantes de Roussalka.
1050865	Ailes blanches du chagrin	Des ailes qui épousent les émotions vacillantes de Roussalka.
1050873	Gantelets	Peuvent venir à bout\de n'importe quel lien.
1050874	Gantelets	Peuvent venir à bout\de n'importe quel lien.
1050875	Gantelets	Peuvent venir à bout\de n'importe quel lien.
1050883	Karma de Nirriti	Le karma\que porte Nirriti.
1050884	Karma de Nirriti	Le karma\que porte Nirriti.
1050885	Karma de Nirriti	Le karma\que porte Nirriti.
1050893	Palmier de l'île d'Amos	Une feuille de palmier qui pousse sur l'île d'Amos.\Attention, elle est très coupante.
1050894	Palmier de l'île d'Amos	Une feuille de palmier qui pousse sur l'île d'Amos.\Attention, elle est très coupante.
1050895	Palmier de l'île d'Amos	Une feuille de palmier qui pousse sur l'île d'Amos.\Attention, elle est très coupante.
1050903	Talons hauts de pilote	Entre de bonnes mains, un talon\peut être aussi meurtrier qu'un pic à glace.
1050904	Talons hauts de pilote	Entre de bonnes mains, un talon\peut être aussi meurtrier qu'un pic à glace.
1050905	Talons hauts de pilote	Entre de bonnes mains, un talon\peut être aussi meurtrier qu'un pic à glace.
1050913	Couronne d'Aurore	Une couronne rayonnante tout en pics\qui éblouit ceux qui la contemplent.
1050914	Couronne d'Aurore	Une couronne rayonnante tout en pics\qui éblouit ceux qui la contemplent.
1050915	Couronne d'Aurore	Une couronne rayonnante tout en pics\qui éblouit ceux qui la contemplent.
1050973	Épée de la liberté	Une arme puissante capable de trancher tous les liens.
1050974	Épée de la liberté	Une arme puissante capable de trancher tous les liens.
1050975	Épée de la liberté	Une arme puissante capable de trancher tous les liens.
1050983	Chaussures Vermilion Bird Mirage	Des chaussures qui permettent de donner des coups de pied dévastateurs.
1050984	Chaussures Vermilion Bird Mirage	Des chaussures qui permettent de donner des coups de pied dévastateurs.
1050985	Chaussures Vermilion Bird Mirage	Des chaussures qui permettent de donner des coups de pied dévastateurs.
1050993	Hache éclatante	Une arme puissante qui peut faire exploser des monstres d'un seul coup.
1050994	Hache éclatante	Une arme puissante qui peut faire exploser des monstres d'un seul coup.
1050995	Hache éclatante	Une arme puissante qui peut faire exploser des monstres d'un seul coup.
1051003	Maillet écrasant	Maniez ce marteau de toutes vos forces et peut-être que vous réussirez à vous échapper d'ici.
1051004	Maillet écrasant	Maniez ce marteau de toutes vos forces et peut-être que vous réussirez à vous échapper d'ici.
1051005	Maillet écrasant	Maniez ce marteau de toutes vos forces et peut-être que vous réussirez à vous échapper d'ici.
1051013	Baguette de l'univers	Une baguette magique qui incarne la détermination de son utilisateur à s'échapper.
1051014	Baguette de l'univers	Une baguette magique qui incarne la détermination de son utilisateur à s'échapper.
1051015	Baguette de l'univers	Une baguette magique qui incarne la détermination de son utilisateur à s'échapper.
1051023	Lance de feu	Quittez cet univers dans une boucle infinie.
1051024	Lance de feu	Quittez cet univers dans une boucle infinie.
1051025	Lance de feu	Quittez cet univers dans une boucle infinie.
1051033	Épée ailée	L'épée d'un sauveur qui peut vous aider à quitter cet univers infernal.
1051034	Épée ailée	L'épée d'un sauveur qui peut vous aider à quitter cet univers infernal.
1051035	Épée ailée	L'épée d'un sauveur qui peut vous aider à quitter cet univers infernal.
1051043	Épée de Roselenta	Cette épée n'a pour but que d'anéantir les ennemis.
1051044	Épée de Roselenta	Cette épée n'a pour but que d'anéantir les ennemis.
1051045	Épée de Roselenta	Cette épée n'a pour but que d'anéantir les ennemis.
1051053	Éventail de Mona	L'arme qui protège Mona dans ce monde en proie au chaos.\Permet aussi de se rafraîchir quand il fait chaud.
1051054	Éventail de Mona	L'arme qui protège Mona dans ce monde en proie au chaos.\Permet aussi de se rafraîchir quand il fait chaud.
1051055	Éventail de Mona	L'arme qui protège Mona dans ce monde en proie au chaos.\Permet aussi de se rafraîchir quand il fait chaud.
1051063	Samsara Valhalla	Arme créée lors du cycle de vie, de mort \et de renaissance d'Arhat. Elle est l'incarnation même de sa philosophie.
1051064	Samsara Valhalla	Arme créée lors du cycle de vie, de mort \et de renaissance d'Arhat. Elle est l'incarnation même de sa philosophie.
1051065	Samsara Valhalla	Arme créée lors du cycle de vie, de mort \et de renaissance d'Arhat. Elle est l'incarnation même de sa philosophie.
1051083	Micro du courage	Microphone amplifiant \la voix sublime et courageuse de Neptune♥.
1051084	Micro du courage	Microphone amplifiant \la voix sublime et courageuse de Neptune♥.
1051085	Micro du courage	Microphone amplifiant \la voix sublime et courageuse de Neptune♥.
1051093	Sabre à lame bleue	L'épée d'Ève, une lueur bleue sur le champ de bataille.
1051094	Sabre à lame bleue	L'épée d'Ève, une lueur bleue sur le champ de bataille.
1051095	Sabre à lame bleue	L'épée d'Ève, une lueur bleue sur le champ de bataille.
1051103	Épée de Charlemagne	L'épée de Bradamante, conçue pour infliger\des entailles profondes et rapides.
1051104	Épée de Charlemagne	L'épée de Bradamante, conçue pour infliger\des entailles profondes et rapides.
1051105	Épée de Charlemagne	L'épée de Bradamante, conçue pour infliger\des entailles profondes et rapides.
1051113	Grenade rose	Un explosif mortel en\forme de rose magnifique.
1051114	Grenade rose	Un explosif mortel en\forme de rose magnifique.
1051115	Grenade rose	Un explosif mortel en\forme de rose magnifique.
1051123	Gants d'Artémisia	Gants conçus tout spécialement pour tuer.
1051124	Gants d'Artémisia	Gants conçus tout spécialement pour tuer.
1051125	Gants d'Artémisia	Gants conçus tout spécialement pour tuer.
1051133	Ceinture en métal	L'arme de pointe d'Odin, chargée à bloc de mana.\La poche à magasins est un bonus.
1051134	Ceinture en métal	L'arme de pointe d'Odin, chargée à bloc de mana.\La poche à magasins est un bonus.
1051135	Ceinture en métal	L'arme de pointe d'Odin, chargée à bloc de mana.\La poche à magasins est un bonus.
1051143	Queue de Lassi	Une queue douce et touffue\renfermant un puissant pouvoir.
1051144	Queue de Lassi	Une queue douce et touffue\renfermant un puissant pouvoir.
1051145	Queue de Lassi	Une queue douce et touffue\renfermant un puissant pouvoir.
1051153	Charme de Keika To	Un charme créé par Keika\pour repousser le mal et promouvoir la paix.
1051154	Charme de Keika To	Un charme créé par Keika\pour repousser le mal et promouvoir la paix.
1051155	Charme de Keika To	Un charme créé par Keika\pour repousser le mal et promouvoir la paix.
1051163	Chaussures de Boréas	L'arme secrète de Boréas pour maximiser sa vitesse.
1051164	Chaussures de Boréas	L'arme secrète de Boréas pour maximiser sa vitesse.
1051165	Chaussures de Boréas	L'arme secrète de Boréas pour maximiser sa vitesse.
1051173	Sabre de croix	L'épée de Kresnik, en forme de croix,\pour tuer les vampires rapidement.
1051174	Sabre de croix	L'épée de Kresnik, en forme de croix,\pour tuer les vampires rapidement.
1051175	Sabre de croix	L'épée de Kresnik, en forme de croix,\pour tuer les vampires rapidement.
1051183	Parapluie de Philotes	Le parapluie de Philotes, capable d'invoquer de puissants nuages d'orage.\Un coup de cet accessoire est très douloureux.
1051184	Parapluie de Philotes	Le parapluie de Philotes, capable d'invoquer de puissants nuages d'orage.\Un coup de cet accessoire est très douloureux.
1051185	Parapluie de Philotes	Le parapluie de Philotes, capable d'invoquer de puissants nuages d'orage.\Un coup de cet accessoire est très douloureux.
1051193	Gourdin barbelé	Gourdin de Duetsha, entouré de barbelés \pour des frappes plus meurtrières.
1051194	Gourdin barbelé	Gourdin de Duetsha, entouré de barbelés \pour des frappes plus meurtrières.
1051195	Gourdin barbelé	Gourdin de Duetsha, entouré de barbelés \pour des frappes plus meurtrières.
11000000	Ardent_Pyrodragon Marionnette	Une marionnette fabriquée dans les flammes d'un Dragon de feu en furie.
11000001	Stoïque_Cryodragon Marionnette	Une marionnette fabriquée dans la glace d'un Dragon de glace cruel.
11000002	Piteux_Teddy Marionnette	Une marionnette de Teddy, la peluche maudite.
11000003	Éloquent_Messager Marionnette	Une marionnette de Messager, qui murmure dans l'ombre.
11000004	Féroce_Kali Yuga Marionnette	Une marionnette qui saisit parfaitement la férocité de Kali Yuga.
11000005	Ordinaire_Tueur aux chaînes Marionnette	Une marionnette au service de Tueur aux chaînes et ses vices incontrôlables.
