// key	SPECIAL_DUNGEON_NAME_	SPECIAL_DUNGEON_SECOND_NAME_	SPECIAL_DUNGEON_LOCATION_DESC_
300008	第8關	兩人世界	
3100		轉生	拜託別離開我。我因你而存在的。
310001	第1關	時節因緣	
310002	第2關	好朋友	
310003	第3關	悉陀夜娑婆訶	
310004	第4關	業障	
310005	第5關	此岸之足	
310006	第6關	輪迴	
310007	第7關	黑業	
310008	第8關	造業者	
3200		仲夏夜之夢	一場愛，兩顆衝突的心。\你說的愛又是什麼？
320001	第1關	香與味	
320002	第2關	兩人間的秘密	
320003	第3關	心的重量	
320004	第4關	笨拙的愛	
320005	第5關	此處、那處、各處	
320006	第6關	第2回合	
320007	第7關	甜蜜的愛	
320008	第8關	艾麗的預言	
3300		歸來	記憶會消逝，但憤怒長存
330001	第1關	善根因緣	
330002	第2關	不速之客	
330003	第3關	歡迎	
330004	第4關	我回來了	
330005	第5關	宣言	
330006	第6關	過去的陰影	
330007	第7關	重要之事	
330008	第8關	機會	
3400		煉獄	時間永遠都是夠的。\問題只在於選擇而已。
340001	第1關	惡魔的伎倆	
340002	第2關	預料外的支持者	
340003	第3關	新人	
340004	第4關	惡魔之巢	
340005	第5關	失落童話	
340006	第6關	項圈	
340007	第7關	重要之事	
340008	第8關	火蟒	
3500		玫瑰騎士	我的美人，過來吧
350001	第1關	抓住尾巴	
350002	第2關	我應受譴責	
350003	第3關	蛇舌	
350004	第4關	惡魔之墓	
350005	第5關	不誓	
350006	第6關	沙崙的玫瑰	
350007	第7關	在你血中	
350008	第8關	鐵娘子	
3600		負傷勝者第1章	蛇般聰慧，鴿般無害
360001	第1關	黎明	
360002	第2關	受感謝的資格	
360003	第3關	一同接觸感應	
360004	第4關	魔女之家	
360005	第5關	叛教者們	
360006	第6關	阿羅漢與密特拉的世界	
360007	第7關	不祥之兆	
360008	第8關	久遠實成如來	
3700		WOUNDED WINNER PART.2	惡魔啊，我始與終的看守者。
370001	第1關	觀察者	
370002	第2關	宇宙僵屍	
370003	第3關	宇宙技	
370004	第4關	命運之矛	
370005	第5關	共同敵人	
370006	第6關	不請自來的聖人 1	
370007	第7關	不請自來的聖人 2	
370008	第8關	巴爾多祿茂樂園	
3800		WOUNDED WINNER PART.3	這城按著靈意叫所多瑪，就是他們的主釘十字架之處。\摘自《啟示錄》第11章第8節
380001	第1關	聚會所	
380002	第2關	長老的證言	
380003	第3關	魂之種 1	
380004	第4關	魂之種 2	
380005	第5關	追求秘藥	
380006	第6關	繁多秘密	
380007	第7關	令人不快的魔力	
380008	第8關	願能再會	
3900		HEN TO PAN	殺了我。拯救我。
390001	第1關	黑階	
390002	第2關	奧秘實驗	
390003	第3關	銻	
390004	第4關	攝食	
390005	第5關	銜尾蛇	
390006	第6關	圓環	
390007	第7關	密陀僧	
390008	第8關	凝血	
4000		接近涅槃	你不會抵達涅槃之境。
400001	第1關	風中殘燭	
400002	第2關	因緣果報	
400003	第3關	煩惱	
400004	第4關	出乎意外	
400005	第5關	巫女之靈	
400006	第6關	夢醒	
400007	第7關	瞋	
400008	第8關	涅槃之道	
4100		生命之血	死為小事。\生命與紅血共同流動著。
410001	第1關	不普通的傢伙	
410002	第2關	比起憂慮，為之更易	
410003	第3關	又弄髒了	
410004	第4關	唯一的名字	
410005	第5關	必然	
410006	第6關	我必須拯救我的朋友	
410007	第7關	大幹一場？	
410008	第8關	為自由讚頌	
4200	光明的天使		撒旦有時會將自己\裝作光明的天使。
420001	第1關	那天的記憶	
420002	第2關	新的目的地	
420003	第3關	潛入	
420004	第4關	他的朋友	
420005	第5關	謊言	
420006	第6關	偽先知	
420007	第7關	團聚	
420008	第8關	命中注定的再會	
4300		命運	命運就是我的指引。而指引來自切實。\而切實來自希望與信賴。
430001	第1關	團聚	
430002	第2關	傳奇	
430003	第3關	苦痛	
430004	第4關	啟示	
430005	第5關	無我之境	
430006	第6關	真實與虛偽	
430007	第7關	災禍	
430008	第8關	命運	
4400		諸神強襲	魔界大門開啟，古神紛紛降臨。
440001		第1關	
440002		第2關	
440003		第3關	
440004		第4關	
440005		第5關	
440006		第6關	
440007		第7關	
440008		第8關	
4500		諸神強襲	魔界大門開啟，古神紛紛降臨。
450001		第1關	
450002		第2關	
450003		第3關	
450004		第4關	
450005		第5關	
450006		第6關	
450007		第7關	
450008		第8關	
4600		煉獄	時間永遠都是夠的。\問題只在於選擇而已。
460001	第1關	惡魔的伎倆	
460002	第2關	預料外的支持者	
460003	第3關	新人	
460004	第4關	惡魔之巢	
460005	第5關	失落童話	
460006	第6關	項圈	
460007	第7關	重要之事	
460008	第8關	火蟒	
4700		半神	神與人類的子嗣以半神的身分為人所知，\但他們其實是惡魔\與能寄託生命之人後代的超常存在。
470001	第1關	服從	
470002	第2關	孤獨	
470003	第3關	小公主	
470004	第4關	調查官	
470005	第5關	性能演示	
470006	第6關	非自然屍體	
470007	第7關	決戰	
470008	第8關	閃回	
4800		惡魔執行官	來自魔界的不速之客。魔界的第三把交椅，彼列。
480001	第1關	學校導覽	
480002	第2關	重返東京	
480003	第3關	怪女孩	
480004	第4關	久歸日本	
480005	第5關	鈴蘭之香	
480006	第6關	金錢觀	
480007	第7關	一杯咖啡	
480008	第8關	魔界執行官	
4900		九霄雲外 - I	我在最近十分幸福，我分不清究竟是夢還是現實。\如果是場夢，那請不要叫醒我。
490001	第1關	幫忙	
490002	第2關	塞列歐斯	
490003	第3關	繼承	
490004	第4關	嚴格訓練	
490005	第5關	魔力枯竭	
490006	第6關	艾莉希恩島	
490007	第7關	夏季醜聞	
490008	第8關	踢	
5000		九霄雲外 - II	甜美夢鄉
500001	第1關	與俄涅洛伊見面	
500002	第2關	里歐的嫉妒	
500003	第3關	尼爾提的追跡	
500004	第4關	尼曼的提案	
500005	第5關	熱鬧派對	
500006	第6關	魔界領袖會議，忽里勒台	
500007	第7關	親愛的密特拉	
500008	第8關	睜開你的眼睛	
5400		聖誕頌歌	你想聽聽卡蘿的聖誕故事嗎？
540001	第1關	新案	
540002	第2關	打工度假	
540003	第3關	聖誕夜	
540004	第4關	過去的Child	
540005	第5關	闖空門	
540006	第6關	現在的Child	
540007	第7關	未來的Child	
540008	第8關	聖誕快樂	
