// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	死亡	邀约	0	
20100009	Lv.9	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100010	Lv.10	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100011	Lv.11	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100012	Lv.12	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100013	Lv.13	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100014	Lv.14	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100015	Lv.15	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100016	Lv.16	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100017	Lv.17	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100018	Lv.18	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100019	Lv.19	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100020	Lv.20	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100021	Lv.21	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100022	Lv.22	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100023	Lv.23	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100024	Lv.24	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100025	Lv.25	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100026	Lv.26	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100027	Lv.27	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100028	Lv.28	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100029	Lv.29	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20100030	Lv.30	欧洛拉王	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200001	Lv.1	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200002	Lv.2	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200003	Lv.3	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200004	Lv.4	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200005	Lv.5	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200006	Lv.6	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200007	Lv.7	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200008	Lv.8	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200009	Lv.9	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200010	Lv.10	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200011	Lv.11	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200012	Lv.12	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200013	Lv.13	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200014	Lv.14	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200015	Lv.15	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200016	Lv.16	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200017	Lv.17	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200018	Lv.18	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200019	Lv.19	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200020	Lv.20	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200021	Lv.21	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200022	Lv.22	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200023	Lv.23	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200024	Lv.24	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200025	Lv.25	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200026	Lv.26	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200027	Lv.27	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200028	Lv.28	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200029	Lv.29	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20200030	Lv.30	欧洛拉王	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300001	Lv.1	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300002	Lv.2	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300003	Lv.3	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300004	Lv.4	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300005	Lv.5	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300006	Lv.6	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300007	Lv.7	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300008	Lv.8	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300009	Lv.9	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300010	Lv.10	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
20300011	Lv.11	黄金查尔斯	空栏	<color=ff0000>敌方队伍</color><color=ff7b02>Skill量表充能速度</color><color=ffc400>↑</color>、\<color=ff7b02>减益效果闪避率</color><color=ffc400>↑</color>、<color=ff7b02>减益效果持续时间</color><color=ffc400>↓</color>
