// key	SCENARIO_SPEAKER_
DUETSHA	杜莎
DURENDAL	迪朗达尔
ELISABET	花园小夜子
ELLE	鸟井美由
ELVE_CONTRACTOR	稻妻美穗
ELYSION	艾莉希恩
EMPEROR	皇帝
ENEMY SOLDIER	敌军的士兵
ENKIDU	恩奇杜
ERISIKTON	厄律西克同
ESHU	艾修
EURUS	欧洛斯
EURYDICE	欧律狄刻
EVE	夏娃
EVE_FATHER	夏娃的父亲
EXORCIST	驱魔师
EXORCIST_A	驱魔师A
EXORCIST_B	驱魔师B
EXORCIST_C	驱魔师C
EXORCIST_INTERNATION	国际总部的驱魔师
EXORCIST_INTERNATIONAL	国际总部驱魔师
EXORCIST_NORTH AMERICA	北美驱魔师分部
EXORCIST1	驱魔师1
EXORCIST2	驱魔师2
FABULOUS'S FAN A	粉丝A
FABULOUS'S FANS	粉丝们
FANA	观众A
FANATIC BOSS	狂热者首领
FANATICA	狂热者A
FANATICB	狂热者B
FANATICC	狂热者C
FANATICD	狂热者D
FANATICS	狂热者们
FANB	观众B
FANC	观众丙
FANS	观众
FATHER	父
FLINS	弗林斯
FORMER_KEFRI	凯布利老师
FREYJA	弗蕾亚
FREYR	弗雷
FRIENDS	好友
FRUITSHOP_SHOPKEEPER	水果店老板
FURY_MEMBER_1	愤怒的成员1
FURY_MEMBER_2	愤怒的成员2
FURY_MEMBER_3	愤怒的成员3
FURY_MEMBER_4	愤怒的成员4
FURY_MEMBER_GROUP	愤怒的成员
GAIN	孙佳人
GAME_STREAMER	游戏主播
GENTLEMAN	男性
GEST	顾客
GEST1	顾客1
GEST2	顾客2
GESTA	客人A
GESTB	客人B
GESTC	客人C
GILGAMESH	吉尔伽美什
GIRL	女孩
GIRL A	少女A
GIRL_CONTRACTOR	女孩契约者
GIRL1	神秘的女孩
GIRLA	少女A
GIRLB	少女B
GOHYUNHUI	黑龙钢太郎
GOLDAENGI	猎犬
GOLDAENGI OWNER	猎犬的主人
GOOD_MOA	温柔的摩亚
GRANNY	奶奶
GROUP_MEMBER	队友
GRYLA	格莉拉
GUARD	警卫
HANA_MOM	鸿池羽菜的母亲
HANMARI	忍田一鹰
HATOR	哈索尔
HEENA	雏
HEKET	赫克托耳
HELLA	海拉
HENCHMAN	部下
HENCHMAN_MIRIAM	米丽安的追随者
HENGE	嫦娥
HEPHAISTOS	赫菲斯托斯
HERO	主人公
HIGHPRIEST	高僧
HILD	希尔德
HILDR_CONTRACTOR	仓敷丽
HOMELESS	流浪汉
HONEY CUBE	蜜方块
HONGRYEON_CONTRACTOR	鸿池羽菜
HORN	坏心眼的急性子
HOST	岛主
HUMAN	人类
HYDRA	海卓拉
HYENANG	庆野
HYUNSOOHO	仙石诚二
INFECTED_REPORTER	被感染的记者
IPHIS	伊菲斯
ISHIMI	石见
ISOLDE	伊索尔德
ITEM1	正义之棒
ITEM2	变声器
JACHUNGBI	自请妃
JENNY	希妮
JIVA	吉娃
JOANNA	乔安娜
JOHN	约翰
JUDAH	犹大
JUDGE	裁判
JULIET	朱丽叶
JUNGNAM	正男
JUPITER_CONTRACTOR	星崎正十朗
KAALARATRI	黑暗天
KALCHAS	卡尔克斯
KALHOS	卡洛斯
KAMYU	卡米努
KANALOA	卡那罗
KASUMI	霞
KID	小孩
KID1	小孩1
KID2	小孩2
KKUNGI	空儿
KLOTHO	克洛托
KUBABA	库巴巴
KUBERA	俱毗罗
KUMARI	库玛丽
KUMARI_PRIEST	库玛丽祭司
KUMIHO	玉藻前
LADY	女性
LAIMA	莱玛
LANCELOT	兰斯洛特
LANDLORD	房东
LAUFEY	劳菲
LAURA	劳拉
LEAVEAMESAAGE	留言备忘录
LEDA	勒达
LEIFANG	丽凤
LEO	里欧
LETTER	信
LITTLE PATIENT	儿童病患
LITTLE_MARI	年轻时的忍田一鹰
LOGAN	罗根
LOKI	洛基
LUCIFERO	路西法
LUIN_DURANDAL	卢茵，迪朗达尔
LUNO	朱诺
LYDIA	莉迪亚
MAD HATTER	帽客
MAESTRO	大师
MAFDET	玛弗德特
MAGNUS_MERLIN	大巫师梅林
MAMA	妈妈
MAN	男人
MAN_CONTRACTOR	男性契约者
MAN_EXORCIST	男驱魔师
MAN1	男1
MAN2	男2
MANA	男A
MANAGER	经纪人
MANB	男B
MARCH HARE	三月兔
MARDUK	马尔杜克的
MARDUK_CHILD	马尔杜克的Child
MARI_GRANDPA	忍田一鹰的祖父
MARINLEGEND	忍田一鹰与传奇
MARS	玛尔斯♥
MAUPIN	莫平
MAUPIN_CONTRACTOR	太刀花清美
MAUPIN_CONTRACTOR_MOM	太刀花清美的母亲
MAWANG	魔王
MAYAUEL	玛雅乌尔
MAYBE_CONTRACTOR	契约者(？)
MC	MC
MEDIA_INTERVIEW	采访影片
MEI	温泉街的梅
MEN_GEST	男客人
MERCURY	墨丘利
MESSIER_CONTRACTOR	星河绮罗
METHUSELAH	玛土撒拉
METIS	墨提斯
METIS_CONTRACTOR	天宫知惠
METIS_CONTRACTOR_DAD	天宫知惠的父亲
METIS_CONTRACTOR_MOM	天宫知惠的母亲
MINA	米娜
MIRCALLA	米卡拉
MIRIAM	米利娅姆
MITRA	密特拉
MOMMY	妈妈
MONA	莫娜
MONA1	管理人莫娜
MONA2	莫娜前辈
MONKEY	悟空
MONSTER	怪物
MORGAN	摩根
NABI	小猫
NAGISA	凪咲
NARBI437	娜薇437
NARBI438	娜薇438
NARBI439	娜薇439
NEAMHAIN	尼曼
NEIGHBORHOOD DOG	邻居的狗
NEIGHBORHOOD_GRANDAD	爷爷
NEOUTUBE_COMMENT	评论
NEPHTHYS	奈芙蒂斯
NEPHTHYS_CONTRACTOR	壶仓津美纪
NEPTUNE	涅普顿♥
NERVOUSGIRL	不安的少女
NEWSFLASH	快报
NEZHA	哪吒
NICKNAME	使用者昵称
NICOLE	妮可
NICOLE_FATHER	妮可的父亲
NIRRTI	尼尔提
NONAME_MOA	无名的摩亚
NOTUS	诺特斯
NOTUS_CONTRACTOR	南冈早耶香
NUN	修女
NUN1	修女1
NUN2	修女2
NURSE	护士
NURSE_01	护士
NURSE_NEAMHAIN	乳母
OD	奥德
ODYSSEUS	奥德修斯
OPHOIS	奥福伊斯
OPHOIS_CONTRACTOR	二阶堂
ORCUS	奥喀斯
OWNER_OF_STRIGOY	斯特里戈伊的主人
PAKHET	帕赫特
PAL	好友
PALENOTE	菲尔纳多
PANTHEON_CONTRACTOR	西山弘行
PAPA	爸爸
PARK_MANAGER	公园管理员
PART TIME RUDOLF	在打工的鲁道夫
PARTICIPANTA	参与者A
PARTICIPANTB	参与者B
PARTNER	死党
PART-TIMER	临时工
PASSERSBY1	路人1
PASSERSBY2	路人2
PASSERSBY3	路人3
PASSERSBY4	路人4
PEOPLE	村民
PEOPLE1	村民1
PEOPLE2	村民2
PEOPLE3	村民3
PEPITA	佩皮塔
PHILIP	菲利浦
PIE CUBE	派方块
PILATES	菲罗忒斯
PLAYER_A	玩家A
PLAYER_B	玩家B
POI CUBE	毒方块
POLICE	警察
POLICE_ZOMBIE	僵尸警察
POLICE1	警察1
POLICE2	警察2
PRIEST	祭司
PRINCIPAL SUHANA	苏汉纳校长
PROCEL	普罗喀尔
PROFESSOR	教授
PTAH	卜塔
PUB_OWNER	酒吧老板
PUNKA	流氓A
PUNKB	流氓B
PUNKC	流氓C
PUPPY	村内小狗
PUPPY1	狗
RADIO	收音机
RAFFLES	莱佛士
RAGARAJA	爱染明王
RANI	拉尼
RANI_CHILD	拉尼的Child
RANI_FATHER	拉尼的父亲
REDCROSS	雷德克洛斯
RENARD	列那
RENDAL	伦达尔
REPORTER	记者
RISA	丽莎
ROMEO	罗密欧
ROSSANNA	罗莎娜
ROSSANNA_CONTRACTOR	文野珠希
ROUSALKA	鲁萨尔卡
ROYAL_FAMILYA	贵族A
ROYAL_FAMILYB	贵族B
ROYAL_FAMILYC	贵族C
SABINA	莎碧娜
SAINT MICHAEL SCHOOL GIRL	圣迈克尔女子学校的学生
SAINTMICHAELSCHOOLGIRL	女学生
SALADIN	萨拉丁
SALOONIST	酒保
SALUS	塞列欧斯
SAMAEL	萨麦尔
SATURN	萨图恩♥
SCHOOLBOY	高中男生
SCHOOLBOY1	高中男生1
SCHOOLBOY2	高中男生2
SCHOOLGIRL	高中女生
SCHOOLGIRL1	高中女生1
SCHOOLGIRL2	高中女生2
SCHOOLGIRL3	高中女生3
SCHOOLMAFIA	Boss
SECRET_CONTRACTOR	秘密契约者
SECURITY	警卫
SEMELE	塞墨勒
SEOCHEON_SENSE	第一代花守
SERKET	塞尔凯特
SESHAT_CONTRACTOR	锻冶原雅美
SETH	塞特
SHAMAN_GHOST	鬼化都桂花
SHINHJ	虹原光
SHIVAN SOLDIER	湿婆的士兵
SHOPASSISTANT	店员
SITRI	希特莉
SKQCLQJA	绑架犯
SOLARSHADE_UNA	日影尤娜
SOLDIERA	部下A
SOLDIERB	部下B
SOLDIERC	部下C
SOOJIN	秀真
SOULBOW	高僧的弓
SPECTATOR1	观众1
SPECTATOR2	观众2
SPECTATORS	观众
STAFF	员工
STALKER	跟踪狂
STOREANNOUNCE	店内广播
STORECLERK	店员
STOREOWNER	店员
STREET_VENDOR	街头商人
STRIGOY	斯特里戈伊
STUDENT	学生
STUDENTA	学生A
STUDENTB	学生B
STUDENTCOUNCIL	风纪委员
STUDENTS	学生们
SUCCUBUS	魅魔
SUHANA	苏汉纳
SUHANA'S MOTHER	苏汉纳的母亲
SULHEE	雪喜
SUNAH	仙娥
TAEKI	泰其
TAMAKI	环
TEACHER	班级导师
TEACHER_DEBORAH	黛博拉小姐
TEACHER_MIRIAM	米丽安的老师
TERESA	朝雾特蕾莎
TERESA_SHORT	特蕾莎
THE DUCHESS	公爵夫人
THE KING OF HEARTS	国王
THE QUEEN OF HEARTS	女王
THEOPHANO_CONTRACTOR	宅和拓郎
THISBE_CONTRACTOR	园田光
THUGA	流氓A
THUGB	流氓B
THUGC	流氓C
THUGD	流氓D
THUGE	流氓E
THUGF	流氓F
TITANIA	缇坦妮雅
TIWAZ	提瓦兹
TLSQN	新娘
TRAINEE	练习生
TURAN	图兰
TYBALT	提伯尔特
UBOHEE	中川美咲
UNA	尤娜
UNIUSER1	宇宙使用者1
UNIUSER2	宇宙使用者2
UNIUSER3	宇宙使用者3
UNIUSER4	宇宙使用者4
UNIUSER5	宇宙使用者5
UNIVERS_ZOMBIE	宇宙僵尸
UNIVERSITY FOUNDER	须藤大学创办人
UNKNOWN_CONTRACTOR	神秘契约者
UNKNOWN1	???
VAMPIRE	吸血鬼
VENDOR	商人
VENUS	维纳斯♥
VENUS_UNA	希望之光尤娜
VILLAGE_HEAD	村长
VILLAGE_PEOPLE	村民
VILLAGEHEAD	村长
VIRUPA	毗卢婆
VLAD_3	弗拉得三世
VOLUNTEER	义工
VOVO	波波
VOVO_TEACHER	波波的老师
WARDEN	经纪人
WARDER	狱卒
WATSON	华生
WHITE RABBIT	白兔
WOLF	狼
WOMAN	女人
WOMAN_CONTRACTOR	女性契约者
WOMAN_EXORCIST	女驱魔师
WOMAN1	女人1
WOMAN2	女人2
WOMANA	女子A
WOMANB	女子B
WOMEN_GEST	女客人
WOOARI	海老名英花
WOTAN	沃丹
WYATT	怀特
WYATT_CONTRACTOR	奥野修道
WYVAN	奥尔加
YAN	扬·杰式卡
YEONYI	尤尼
YMIR_CONTRACTOR	冰川凉
YOUNGMAN	年轻男子
YOUNGPOLICE	年轻的侦探
YOUTUBE	NetTube影片
YOUTUBER	NetTuber
ZEPHYROS	泽费洛斯
