// key	SCENARIO_SPEAKER_
COOKIEMONA	變成餅乾的莫娜
COOLGIRL	冷靜的少女
CORONA MONA	光芒莫娜
CO-WORKER1	同事1
CO-WORKER2	同事2
CROCELL	克羅賽爾
CU SITH	拉西
CURE CUBE	治癒的方塊
DAVI	妲比
DEANOFSTUDENTS	學年主任
DEBORAH	黛波拉
DEMETER	狄蜜特
DEMETER_CONTRACTOR	高梨真理華
DEMON FOLLOWERA	惡魔教徒A
DEMON FOLLOWERB	惡魔教徒B
DEMON_FOLLOWER	惡魔教徒
DEMON_FOLLOWER1	惡魔教徒1
DEMON_FOLLOWER2	惡魔教徒2
DEMONA	流氓惡魔A
DEMONB	流氓惡魔B
DEMONC	流氓惡魔C
DETECTIVE_GIRL_CONTRACTOR	撒拉J
DETECTIVE1	偵探1
DETECTIVE2	偵探2
DEUCALION	丟卡利翁
DEUCALION_SOUL	杜卡利翁的靈魂
DEVIL	惡魔
DEVIL1	惡魔 A
DEVIL2	惡魔 B
DEVIL3	惡魔 C
DEVIL4	惡魔 D
DOCTOR	醫生
DOCTOR_HELLSING	赫辛博士
DOG	狗
DOGYEHWA	都桂花
DOKHAN	孤獨的
DORMOUSE	睡鼠
DRIVER	司機
DRUNKEN PERSON1	喝醉的客人1
DRUNKEN PERSON2	喝醉的客人2
DRYAD_CONTRACTOR	茅森楓
DUETSHA	杜莎
DURENDAL	迪朗達爾
ELISABET	花園小夜子
ELLE	鳥井美由
ELVE_CONTRACTOR	稻妻美穗
ELYSION	艾莉希恩
EMPEROR	皇帝
ENEMY SOLDIER	敵軍的士兵
ENKIDU	恩奇杜
ERISIKTON	厄律西克同
ESHU	艾修
EURUS	歐洛斯
EURYDICE	歐利蒂絲
EVE	夏娃
EVE_FATHER	夏娃的父親
EXORCIST	驅魔師
EXORCIST_A	驅魔師A
EXORCIST_B	驅魔師B
EXORCIST_C	驅魔師C
EXORCIST_INTERNATION	國際總部的驅魔師
EXORCIST_INTERNATIONAL	國際總部驅魔師
EXORCIST_NORTH AMERICA	北美驅魔師分部
EXORCIST1	驅魔師1
EXORCIST2	驅魔師2
FABULOUS'S FAN A	粉絲A
FABULOUS'S FANS	粉絲們
FANA	觀眾A
FANATIC BOSS	狂热者首領
FANATICA	狂熱者A
FANATICB	狂熱者B
FANATICC	狂熱者C
FANATICD	狂熱者D
FANATICS	狂热者們
FANB	觀眾B
FANC	觀眾C
FANS	觀眾
FATHER	父
FLINS	弗林斯
FORMER_KEFRI	凱布利老師
FREYJA	弗蕾亞
FREYR	弗雷
FRIENDS	好友
FRUITSHOP_SHOPKEEPER	水果店老闆
FURY_MEMBER_1	憤怒的成員1
FURY_MEMBER_2	憤怒的成員2
FURY_MEMBER_3	憤怒的成員3
FURY_MEMBER_4	憤怒的成員4
FURY_MEMBER_GROUP	憤怒的成員
GAIN	孫佳人
GAME_STREAMER	遊戲直播主
GENTLEMAN	男性
GEST	顧客
GEST1	顧客1
GEST2	顧客2
GESTA	客人A
GESTB	客人B
GESTC	客人C
GILGAMESH	吉爾伽美什
GIRL	女孩
GIRL A	少女A
GIRL_CONTRACTOR	女孩契約者
GIRL1	神秘的女孩
GIRLA	少女A
GIRLB	少女B
GOHYUNHUI	黒龍鋼太郎
GOLDAENGI	獵犬
GOLDAENGI OWNER	獵犬的主人
GOOD_MOA	溫柔的摩亞
GRANNY	奶奶
GROUP_MEMBER	隊友
GRYLA	格莉拉
GUARD	警衛
HANA_MOM	鴻池羽菜的母親
HANMARI	忍田一鷹
HATOR	哈索爾
HEENA	雛
HEKET	赫克特
HELLA	赫爾
HENCHMAN	部下
HENCHMAN_MIRIAM	米麗安的追隨者
HENGE	嫦娥
HEPHAISTOS	赫菲斯托斯
HERO	主人公
HIGHPRIEST	高僧
HILD	希爾德
HILDR_CONTRACTOR	倉敷麗
HOMELESS	流浪漢
HONEY CUBE	甜蜜的方塊
HONGRYEON_CONTRACTOR	鴻池羽菜
HORN	壞心眼的急性子
HOST	島主
HUMAN	人類
HYDRA	海卓拉
HYENANG	慶野
HYUNSOOHO	仙石誠二
INFECTED_REPORTER	被感染的記者
IPHIS	伊菲斯
ISHIMI	石見
ISOLDE	伊索德
ITEM1	正義之棒
ITEM2	變聲器
JACHUNGBI	自請妃
JENNY	希妮
JIVA	姬瓦
JOANNA	喬安娜
JOHN	約翰
JUDAH	猶大
JUDGE	裁判
JULIET	茱麗葉
JUNGNAM	正男
JUPITER_CONTRACTOR	星崎正十朗
KAALARATRI	卡拉拉特里
KALCHAS	卡爾克斯
KALHOS	卡洛斯
KAMYU	卡米努
KANALOA	卡那羅
KASUMI	霞
KID	小孩
KID1	小孩1
KID2	小孩2
KKUNGI	空兒
KLOTHO	克洛托
KUBABA	庫巴巴
KUBERA	俱毗羅
KUMARI	庫瑪麗
KUMARI_PRIEST	庫瑪麗祭司
KUMIHO	玉藻前
LADY	女性
LAIMA	萊瑪
LANCELOT	蘭斯洛特
LANDLORD	房東
LAUFEY	勞菲
LAURA	勞拉
LEAVEAMESAAGE	留言備忘錄
LEDA	勒達
LEIFANG	麗鳳
LEO	里歐
LETTER	信
LITTLE PATIENT	兒童病患
LITTLE_MARI	年輕時的忍田一鷹
LOGAN	羅根
LOKI	洛基
LUCIFERO	路西法
LUIN_DURANDAL	盧茵，迪朗達爾
LUNO	朱諾
LYDIA	莉迪亞
MAD HATTER	帽客
MAESTRO	大師
MAFDET	瑪弗德特
MAGNUS_MERLIN	大巫師梅林
MAMA	媽媽
MAN	男人
MAN_CONTRACTOR	男性契約者
MAN_EXORCIST	男驅魔師
MAN1	男1
MAN2	男2
MANA	男A
MANAGER	經紀人
MANB	男B
MARCH HARE	三月兔
MARDUK	馬爾杜克的
MARDUK_CHILD	馬爾杜克的Child
MARI_GRANDPA	忍田一鷹的祖父
MARINLEGEND	忍田一鷹與傳奇
MARS	瑪爾斯♥
MAUPIN	莫平
MAUPIN_CONTRACTOR	太刀花清美
MAUPIN_CONTRACTOR_MOM	太刀花清美的母親
MAWANG	魔王
MAYAUEL	瑪雅烏爾
MAYBE_CONTRACTOR	契約者(？)
MC	MC
MEDIA_INTERVIEW	採訪影片
MEI	溫泉街的梅
MEN_GEST	男客人
MERCURY	墨丘利
MESSIER_CONTRACTOR	星河綺羅
METHUSELAH	瑪土撒拉
METIS	梅提斯
METIS_CONTRACTOR	天宮知恵
METIS_CONTRACTOR_DAD	天宮知恵的父親
METIS_CONTRACTOR_MOM	天宮知恵的母親
MINA	米娜
MIRCALLA	蜜卡拉
MIRIAM	米麗安
MITRA	密特拉
MOMMY	媽媽
MONA	莫娜
MONA1	管理人莫娜
MONA2	莫娜前輩
MONKEY	悟空
MONSTER	怪物
MORGAN	摩根
NABI	小貓
NAGISA	凪咲
NARBI437	娜薇437
NARBI438	娜薇438
NARBI439	娜薇439
NEAMHAIN	尼曼
NEIGHBORHOOD DOG	鄰居的狗
NEIGHBORHOOD_GRANDAD	爺爺
NEOUTUBE_COMMENT	評論
NEPHTHYS	奈芙蒂斯
NEPHTHYS_CONTRACTOR	壺倉津美紀
NEPTUNE	娜普圖♥
NERVOUSGIRL	不安的少女
NEWSFLASH	快報
NEZHA	哪吒
NICKNAME	使用者暱稱
NICOLE	妮可
NICOLE_FATHER	妮可的父親
NIRRTI	尼爾提
NONAME_MOA	無名的摩亞
NOTUS	諾特斯
NOTUS_CONTRACTOR	南岡早耶香
NUN	修女
NUN1	修女1
NUN2	修女2
NURSE	護士
NURSE_01	護士
NURSE_NEAMHAIN	保姆
OD	奧德
ODYSSEUS	奧德修斯
OPHOIS	奧弗伊斯
OPHOIS_CONTRACTOR	二階堂
ORCUS	奧喀斯
OWNER_OF_STRIGOY	斯特里戈伊的主人
PAKHET	帕赫特
PAL	好友
PALENOTE	菲爾納多
PANTHEON_CONTRACTOR	西山弘行
PAPA	爸爸
PARK_MANAGER	公園管理員
PART TIME RUDOLF	在打工的魯道夫
PARTICIPANTA	參與者A
PARTICIPANTB	參與者B
PARTNER	死黨
PART-TIMER	兼職工
PASSERSBY1	路人1
PASSERSBY2	路人2
PASSERSBY3	路人3
PASSERSBY4	路人4
PEOPLE	村民
PEOPLE1	村民1
PEOPLE2	村民2
PEOPLE3	村民3
PEPITA	珀皮塔
PHILIP	菲利浦
PIE CUBE	包餡的方塊
PILATES	菲羅忒斯
PLAYER_A	玩家A
PLAYER_B	玩家B
POI CUBE	有毒的方塊
POLICE	警察
POLICE_ZOMBIE	僵屍警察
POLICE1	警察1
POLICE2	警察2
PRIEST	祭司
PRINCIPAL SUHANA	蘇漢納校長
PROCEL	普羅克洛
PROFESSOR	教授
PTAH	卜塔
PUB_OWNER	酒吧老闆
PUNKA	流氓A
PUNKB	流氓B
PUNKC	流氓C
PUPPY	村內小狗
PUPPY1	狗
RADIO	廣播
RAFFLES	拉弗斯
RAGARAJA	愛染明王
RANI	拉尼
RANI_CHILD	拉尼的Child
RANI_FATHER	拉尼的父親
REDCROSS	雷德克洛斯
RENARD	列那
RENDAL	倫達爾
REPORTER	記者
RISA	麗莎
ROMEO	羅密歐
ROSSANNA	羅莎娜
ROSSANNA_CONTRACTOR	文野珠希
ROUSALKA	魯薩爾卡
ROYAL_FAMILYA	貴族A
ROYAL_FAMILYB	貴族B
ROYAL_FAMILYC	貴族C
SABINA	莎碧娜
SAINT MICHAEL SCHOOL GIRL	聖邁克爾的學生
SAINTMICHAELSCHOOLGIRL	女學生
SALADIN	薩拉丁
SALOONIST	酒保
SALUS	塞列歐斯
SAMAEL	薩麥爾
SATURN	薩圖恩♥
SCHOOLBOY	高中男生
SCHOOLBOY1	高中男生1
SCHOOLBOY2	高中男生2
SCHOOLGIRL	高中女生
SCHOOLGIRL1	高中女生1
SCHOOLGIRL2	高中女生2
SCHOOLGIRL3	高中女生3
SCHOOLMAFIA	Boss
SECRET_CONTRACTOR	秘密契約者
SECURITY	艾麗
SEMELE	塞美勒
SEOCHEON_SENSE	第一代花守
SERKET	塞爾凱特
SESHAT_CONTRACTOR	鍛冶原雅美
SETH	賽特
SHAMAN_GHOST	鬼化都桂花
SHINHJ	虹原光
SHIVAN SOLDIER	濕婆的士兵
SHOPASSISTANT	店員
SITRI	希特莉
SKQCLQJA	綁架犯
SOLARSHADE_UNA	日影尤娜
SOLDIERA	部下A
SOLDIERB	部下B
SOLDIERC	部下C
SOOJIN	秀真
SOULBOW	高僧的弓
SPECTATOR1	觀眾1
SPECTATOR2	觀眾2
SPECTATORS	觀眾
STAFF	員工
STALKER	跟蹤狂
STOREANNOUNCE	店內廣播
STORECLERK	店員
STOREOWNER	店員
STREET_VENDOR	路邊攤販
STRIGOY	斯特里戈伊
STUDENT	學生
STUDENTA	學生A
STUDENTB	學生B
STUDENTCOUNCIL	風紀股長
STUDENTS	學生們
SUCCUBUS	魅魔
SUHANA	蘇漢納
SUHANA'S MOTHER	蘇漢納的母親
SULHEE	雪喜
SUNAH	仙娥
TAEKI	泰其
TAMAKI	環
TEACHER	班級導師
TEACHER_DEBORAH	黛波拉小姐
TEACHER_MIRIAM	米麗安的老師
TERESA	朝霧特蕾莎
TERESA_SHORT	特蕾莎
THE DUCHESS	公爵夫人
THE KING OF HEARTS	國王
THE QUEEN OF HEARTS	女王
THEOPHANO_CONTRACTOR	宅和拓郎
THISBE_CONTRACTOR	園田光
THUGA	流氓A
THUGB	流氓B
THUGC	流氓C
THUGD	流氓D
THUGE	流氓E
THUGF	流氓F
TITANIA	提泰妮亞
TIWAZ	帝瓦茲
TLSQN	新娘
TRAINEE	練習生
TURAN	圖蘭
TYBALT	提伯特
UBOHEE	中川美咲
UNA	尤娜
UNIUSER1	宇宙使用者1
UNIUSER2	宇宙使用者2
UNIUSER3	宇宙使用者3
UNIUSER4	宇宙使用者4
UNIUSER5	宇宙使用者5
UNIVERS_ZOMBIE	宇宙僵屍
UNIVERSITY FOUNDER	須藤大學創辦人
UNKNOWN_CONTRACTOR	神秘契約者
UNKNOWN1	???
VAMPIRE	吸血鬼
VENDOR	商人
VENUS	維納斯♥
VENUS_UNA	希望之光尤娜
VILLAGE_HEAD	村長
VILLAGE_PEOPLE	村民
VILLAGEHEAD	村長
VIRUPA	毗盧婆
VLAD_3	弗拉得三世
VOLUNTEER	志工
VOVO	波波
VOVO_TEACHER	波波的老師
WARDEN	經紀人
WARDER	獄卒
WATSON	華生
WHITE RABBIT	白兔
WOLF	狼
WOMAN	女人
WOMAN_CONTRACTOR	女性契約者
WOMAN_EXORCIST	女驅魔師
WOMAN1	女人1
WOMAN2	女人2
WOMANA	女子A
WOMANB	女子B
WOMEN_GEST	女客人
WOOARI	海老名英花
WOTAN	沃丹
WYATT	懷特
WYATT_CONTRACTOR	奧野修道
WYVAN	奧爾加
YAN	揚．傑式卡
YEONYI	尤尼
YMIR_CONTRACTOR	冰川涼
YOUNGMAN	年輕男子
YOUNGPOLICE	年輕的偵探
YOUTUBE	NetTube影片
YOUTUBER	NetTuber
ZEPHYROS	澤菲羅斯
