// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1001	ตั๋วอัญเชิญ_3-5★	อัญเชิญ<size=1.1><color=ffff33><b>ไชลด์</b></color></size> <size=1.1><color=ffc400>3★</color></size> ถึง <size=1.1><color=ffc400>5★</color></size>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1204	ตั๋วอัญเชิญ _ไชลด์เสริมพลัง 3★	อัญเชิญไชลด์สำหรับเสริมพลัง
1205	ตั๋วอัญเชิญ _ไชลด์เสริมพลัง 4★	อัญเชิญไชลด์สำหรับเสริมพลัง
1206	ตั๋วอัญเชิญ _ไชลด์เสริมพลัง 5★	อัญเชิญไชลด์สำหรับเสริมพลัง
1400	ตั๋วอัญเชิญ_ธาตุน้ำ 5★	อัญเชิญ<color=ffc400>ไชลด์ 5★</color></size> <size=1.1><color=2287d8>ธาตุน้ำ</color>\จากรายชื่อเหล่านี้ในพรีเมี่ยมกาชา
1401	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์ 5★ โดยคุณจะได้รับ ออลกา ไซริงส์ อีฟ หรือจูปิเตอร์
1402	ตั๋วอัญเชิญ_ธาตุมืด 5★	
1403	ตั๋วสุ่มไซค์ 5★(Event)	ตั๋วสุ่มไซค์ 5★ ใบนี้จะสุ่มไซค์ 1 ใน 4 ตัวนี้: ไมรินา, ดาน่า, มาอัต,หรือแพนธีออ
1404	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์ 5★ ซึ่งอาจอัญเชิญได้ ฮาเดส, ดาน่า, เฟรย์, เมดบ์ หรือ เมทิส
1405	ตั๋วอัญเชิญไชลด์ธาตุน้ำ 5★	ตั๋วอัญเชิญไชลด์ธาตุน้ำ 5★ โดยคุณจะได้รับไชลด์ธาตุน้ำ 5★ (รวมถึง มือปราบทมิฬ ลิซ่า)
1406	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์ 5★ โดยคุณจะได้รับ อีฟ ไนแอส มาร์ส หรือซานตาคลอส
1407	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์ 5★ โดยคุณจะได้รับ มาอัต, ผู้เป็นอิสระ มาอัต, โคกะ หรือผู้พิทักษ์ โคกะ
1408	ตั๋วอัญเชิญไชลด์ธาตุน้ำ 5★	ตั๋วอัญเชิญไชลด์ 5★ โดยคุณจะได้รับ ธานาทอส, ออลกา, อีฟ, ไนแอส, มาร์ส, รูซัลกา, โคกะ หรือคาลิปโซ่
1409	ตั๋วอัญเชิญไชลด์ธาตุไม้ 5★	ตั๋วอัญเชิญไชลด์ 5★ โดยคุณจะได้รับแมวป่า, มิดาส, อาแบดดอน, แมมมอน, เอโพน่า, ไซริงส์, ไซเรน หรือเฮร่า
1410	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์โดยคุณจะได้รับเฟรย์, แพนธีออน, มาอัต หรือโคกะ
1411	ตั๋วอัญเชิญทางเลือก I	ตั๋วอัญเชิญที่สามารถอัญเชิญไชลด์สายสนับสนุน Top 3 จากการสำรวจ
1412	ตั๋วอัญเชิญทางเลือก II	ตั๋วอัญเชิญที่สามารถอัญเชิญไชลด์สายดีบัฟ Top 3 จากการสำรวจ
1413	ตั๋วอัญเชิญไชลด์ทางเลือก	ตั๋วอัญเชิญที่สามารถอัญเชิญไชลด์สายโจมตี Top 3 จากการสำรวจ
1414	ตั๋วสุ่มไซค์ 5★	ตั๋วสุ่มไซค์ 5★ ใบนี้จะสุ่มไซค์ 1 ใน 4 ตัวนี้: บราวนี่, เอโพน่า, มาอัต, หรือไมดาส
1415	ตั๋วอัญเชิญทางเลือก IV	ตั๋วอัญเชิญที่สามารถอัญเชิญไชลด์สายรักษา Top 3 จากการสำรวจ
1416	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์ 5★ ซึ่งอาจอัญเชิญได้ แมฟเดท, บาสเทต, มาร์ส หรือ จูปิเตอร์
1417	ตั๋วอัญเชิญทางเลือก V	ตั๋วอัญเชิญที่สามารถอัญเชิญไชลด์สายป้องกัน Top 3 จากการสำรวจ\(ดาน่า, ดินาชี่ หรือ มาร์ส)
1418	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์โดยคุณจะได้รับโคกะ แพนธีออน เมทิส หรือเอโพน่า
1419	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์โดยคุณจะได้รับ มือปราบทมิฬลิซ่า, อีฟ, ไนแอด หรือซิทริ
1420	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์โดยคุณจะได้รับเด็กใหม่โมนา โคกะ บาโทรี เมทิส ราชาปีศาจดาบิ หรือมอร์แกน
1421	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์ 5★ ซึ่งอาจอัญเชิญได้ เด็กใหม่โมนา, แอนิโมน, ดาน่า หรือ จอมเถื่อนมิดาส
1422	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญไชลด์ 5★ โดยคุณจะได้รับ แอลลี่, ดาราปาร์ตี้เมดบ์, ดินาชี่ หรือ ชายหาดพระอาทิตย์โมนา
1423	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญบาโทรีหญิงบริการ อีฟนักเรียนที่ย้ายมาใหม่ แพนแห่งท้องทุ่ง หรือ มิดาสจอมเถื่อน
1424	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญเลดี้บาโทรีหรือบาโทรีหญิงบริการ
1425	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญโมนาเด็กใหม่หรือโมนาชายหาดพระอาทิตย์
1426	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญลิซ่ามือปราบทมิฬหรือลิซ่าบิกินี
1427	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญดีมีเทอร์เปลวไฟ อาธีน่าผูู้อุทิศตนที่ดี โฮลี่นิโคล หรืออิโซลด์มือสะอาด
1428	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญอัสเทรียดาวระยิบระยับ เบสฤดูใบไม้ผลิ หรือโฮลี่นิโคล หรือบราวนี่นักขายข้อมูล
1429	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญแวร์วูฟมิโกะผู้ร่ายรำ แวร์วูฟแสงจันทร์ พาลลาส ดูรันดัลเจ้ามายา
1430	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญโพโมนาขาวบริสุทธิ์ อาธีน่า หรือ บาเบลผู้เสแสร้ง
1431	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญฮิลด์เจ้าสาว โพโมนาขาวบริสุทธิ์ วีนัสผู้ไร้เดียงสา♥ หรือ เฟรย์ร่างคืนชีพ
1432	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญแวร์วูฟมิโกะผู้ร่ายรำ โมนาชายหาดพระอาทิตย์ เลดี้บาโทรี หรือ จาชองบีผู้ไร้เทียมทาน
1433	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญโวแดนนักเล่นแร่แปรธาตุ ลิซ่าบิกินี โมนาเด็กใหม่ หรือ เนปจูนคนขยัน♥
1434	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญนาวิผู้ไม่เห็นค่าของตัวเอง โพโมนาขาวบริสุทธิ์ เดโนผู้ตั้งใจทำงาน หรือ แอนิโมนกลางฤดูร้อน
1435	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญดีมีเทอร์เปลวไฟ โวแดนนักเล่นแร่แปรธาตุ เบสฤดูใบไม้ผลิ หรือดาฟนิสอัศวิน
1436	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญบาเบลผู้เสแสร้ง เฟรย์ร่างคืนชีพ ฮิลด์เจ้าสาว หรือเลดี้บาโทรี
1437	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญสำหรับอัญเชิญเลด้าคริสต์มาส\ธีสเบผู้หลบหนี หรือ ดาน่านักพยากรณ์
1438	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญสำหรับอัญเชิญอีฟนักเรียนลึกลับที่ย้ายเข้ามาใหม่ อีซุทมือสะอาด ริต้าผู้นำทาง หรือ ทามาโมะจิ้งจอกเก้าหาง
1439	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญสำหรับใช้อัญเชิญแมฟเดทดอกไม้แห่งความยุติธรรม หรือ แมฟเดทผู้ยุติธรรม
1440	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญสำหรับใช้อัญเชิญแวร์วูฟมิโกะผู้ร่ายรำ หรือ แวร์วูฟแสงจันทร์
1441	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญนาวิผู้ไม่เห็นค่าของตัวเอง ซาโลเมนักเต้น ดาฟนิสอัศวิน โมนาชายหาดพระอาทิตย์
1442	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญลิมอสผู้หิวโหย บาโทรีหญิงบริการ อาธีน่า หรือ โพโมนาขาวบริสุทธิ์
1443	ตั๋วอัญเชิญDOAXVV	ตั๋วอัญเชิญที่ใช้อัญเชิญคาซูมิ โฮโนกะ มารีโรส อายาเนะ หรือ เล่ยฟาง
1444	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญดาบิที่น่ารักและน่าชัง เฟลนอทผู้ทรนง วีนัสผู้ไร้เดียงสา♥ หรือเลดี้บาโทรี
1445	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญแอนนี่นักเสี่ยงโชค คุบาบานักบิด บิลลี่มือปืน หรือ ดีมีเทอร์เปลวไฟ
1446	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญดาบิชุดว่ายน้ำโรงเรียน แวร์วูฟมิโกะผู้ร่ายรำ บาเบลผู้เสแสร้ง หรือ แมฟเดทดอกไม้แห่งความยุติธรรม
1447	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญจาชองบีผู้ไร้เทียมทาน แอนิโมนกลางฤดูร้อน โมนาเด็กใหม่ หรือ ลิซ่ามือปราบทมิฬ
1448	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญเดโนผู้ตั้งใจทำงาน  เนปจูน♥ผู้ทำงานตัวเป็นเกลียว โพโมนาขาวบริสุทธิ์ หรือ พาลลาส
1449	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญอีฟนักเรียนลึกลับที่ย้ายเข้ามาใหม่ อิโซลด์มือสะอาด ริต้าผู้นำทาง หรือ โมอาคิวบ์
1450	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญเคอิโนะเจ้าหญิงปีศาจ อาธีน่า อิฟิสผู้โรแมนติก หรือดาบิที่ผ่านการดัดแปลง
1451	ตั๋วอัญเชิญอีเวนต์คริสต์มาส 3-5★	ตั๋วอัญเชิญที่ใช้อัญเชิญซานตาคลอสผู้น่าจดจำ แครมปัสจอมหลอกลวง โฮลี่นิโคล รูดอล์ฟผู้ไม่ได้รับเชิญ แฟรี่ผู้เงียบสงบ หรือ ถุงของขวัญสำหรับเด็กดี
1452	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญซิทริแสนหวาน เฟรย์ร่างคืนชีพ ลูน่าพระจันทร์เสี้ยว หรือนาวิผู้ไม่เห็นค่าของตัวเอง
1453	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญซิว่าผู้รักสงบ แซทเทิร์นช่างฝัน♥ วีนัสผู้ไร้เดียงสา♥ หรือโพโมนาขาวบริสุทธิ์
1454	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญสำหรับอัญเชิญเลดี้บาโทรี ธีสเบผู้หลบหนี ลิมอสผู้หิวโหย หรือ บิลลี่มือปืน
1455	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญแวร์วูฟมิโกะผู้ร่ายรำ เมดบ์ดาราปาร์ตี้ ไทร์ฟิงผู้ชอบถากถาง หรือ ดินาชี่ตัวเล็ก
1456	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญโมนาเด็กใหม่ โคกะตะวันฉาย อัสเทรียดาวระยิบระยับ หรือดาน่านักพยากรณ์
1457	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญแอนนี่นักเสี่ยงโชค โวแดนนักเล่นแร่แปรธาตุ ลิซ่าบิกินี หรือ เนปจูนคนขยัน♥
1458	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญบาโทรีหญิงบริการ ซาโลเมนักเต้น บริจิดหรูหรา หรือ ดาน่านักเทศน์
1459	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญเอ็กโซซิสต์เนอร์ติ อิโซลด์มือสะอาด เทียแมทดาบเดียว หรือแซทเทิร์นช่างฝัน♥
1460	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญสำหรับอัญเชิญเลโอผู้ใจดี เดโนผู้ตั้งใจทำงาน ดาบิชุดว่ายน้ำโรงเรียน หรือธีสเบผู้หลบหนี
1461	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญสำหรับอัญเชิญลิมอสผู้หิวโหย บิลลี่มือปืน เอชูผู้เล่นสกี หรือ โมนาเด็กใหม่
1462	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญอัศวินดาฟนิส วีนัสผู้เฉิดฉาย♥ บาเบลผู้เสแสร้ง หรือเลดี้บาโทรี
1463	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญเซอร์เค็ตขี้กังวล มาร์สผู้เปล่งปลั่ง♥ แพนแห่งท้องทุ่ง หรือ แบนชีผู้เศร้าโศก
1464	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญแมฟเดทดอกไม้แห่งความยุติธรรม บาโทรีหญิงบริการ ซิว่าผู้รักสงบ หรือ เฮเคทดาวยั่ว
1465	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญทามาโมะจิ้งจอกเก้าหาง ดาบิที่ผ่านการดัดแปลง เนปจูนคนขยัน♥ หรือ เลด้าคริสต์มาส
1466	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญแวร์วูฟแสงจันทร์ เนปจูนคนขยัน♥ แพนธีออนผู้เลื่อนลอย หรือ ธีสเบผู้หลบหนี
1467	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญยูมีร์คมดาบน้ำแข็ง เนปจูนผู้เปล่งประกาย♥ โพโมนาขาวบริสุทธิ์ หรือ ยูรอสผู้น่ารัก
1468	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญมิโกะผู้ร่ายรำ แวร์วูฟ เลดี้บาโทรี อรุณรุ่งแซทเทิร์น♥ หรือ ชายหาดพระอาทิตย์โมนา
1469	ตั๋วอัญเชิญไชลด์ 5★	ตั๋วอัญเชิญที่ใช้อัญเชิญช่างฝันแซทเทิร์น♥ เอ็กโซซิสต์เคน ตะวันฉายโคกะ หรือ เด็กใหม่โมนา
1470	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1471	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1472	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1473	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1474	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1475	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1476	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1477	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1478	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1479	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1480	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1481	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1482	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1483	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1484	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1485	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1486	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1487	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1488	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1489	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1490	ตั๋วอัญเชิญการันตีสายโจมตี 5★	อัญเชิญ\<size=1.1><color=ff0000>ไชลด์ 5★</color><color=ffc400>สายโจมตี</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง) ไม่รวมไชลด์โคลาโบ)</color>
1491	ตั๋วอัญเชิญการันตีสายป้องกัน 5★	อัญเชิญ\<size=1.1><color=ff0000>ไชลด์ 5★</color><color=ffc400>สายป้องกัน</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง) ไม่รวมไชลด์โคลาโบ)</color>
1492	ตั๋วอัญเชิญการันตีสายรักษา 5★	อัญเชิญ\<size=1.1><color=ff0000>ไชลด์ 5★</color><color=ffc400>สายรักษา</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง) ไม่รวมไชลด์โคลาโบ)</color>
1493	ตั๋วอัญเชิญการันตีสายดีบัฟ 5★	อัญเชิญ\<size=1.1><color=ff0000>ไชลด์ 5★</color><color=ffc400>สายดีบัฟ</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง) ไม่รวมไชลด์โคลาโบ)</color>
1494	ตั๋วอัญเชิญการันตีสายสนับสนุน 5★	อัญเชิญ\<size=1.1><color=ff0000>ไชลด์ 5★</color><color=ffc400>สายสนับสนุน</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง) ไม่รวมไชลด์โคลาโบ)</color>
1495	ตั๋วอัญเชิญไชลด์ธาตุน้ำ 5★	อัญเชิญ<size=1.1> <color=ffc400>ไชลด์ 5★</color> <color=ff0000>ธาตุน้ำ</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1496	ตั๋วอัญเชิญไชลด์ธาตุไฟ 5★	อัญเชิญ<size=1.1> <color=ffc400>ไชลด์ 5★</color> <color=ff0000>ธาตุไฟ</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1497	ตั๋วอัญเชิญไชลด์ธาตุไม้ 5★	อัญเชิญ<size=1.1> <color=ffc400>ไชลด์ 5★</color> <color=ff0000>ธาตุไม้</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1498	ตั๋วอัญเชิญไชลด์ธาตุแสง 5★	อัญเชิญ<size=1.1> <color=ffc400>ไชลด์ 5★</color> <color=ff0000>ธาตุแสง</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1499	ตั๋วอัญเชิญไชลด์ธาตุมืด 5★	อัญเชิญ<size=1.1> <color=ffc400>ไชลด์ 5★</color> <color=ff0000>ธาตุมืด</color></size>\<color=ffff00>(เพิ่มไชลด์ตนใหม่และอัปเดตพูลการอัญเชิญหลังช่วงปรับปรุงระบบทุกครั้ง ไม่รวมไชลด์จากการโคลาโบ)</color>
1500	ตั๋วอัญเชิญไชลด์มือปราบ	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1501	ตั๋วอัญเชิญไชลด์มือปราบ I	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1502	ตั๋วอัญเชิญไชลด์มือปราบ II	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1503	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
1504	ตั๋วอัญเชิญไชลด์ 5★	อัญเชิญไชลด์ 5★ 1 ตน\แตะปุ่มด้านล่างเพื่อตรวจสอบไชลด์ที่มี
