// key	BACKGROUND_IMAGE_NAME_	BACKGROUND_IMAGE_DESCRIPTION_
2067	林地	青草的味道混和了土壤的香味，清爽宜人。
2068	通往喷泉的小径	布着石阶和泉水的美景。
2069	日式餐厅	一家高档日本餐厅，由一位本地厨师经营。
2070	宁静的公园	树阴下面有一条长椅，供人休息。
2071	游乐园	一个小型游乐园，经常有为数不多的狂热粉丝光顾。
2072	午夜的游乐园	为了游行而装饰华丽的夜间游乐园。
2073	遗弃的游乐园	废弃已久的游乐园，有一座看似孤独的摩天轮。
2074	北极熊休息室	北极熊先生，您辛苦了。
2075	猴子笼	忙着吵架的猿猴们的展示笼。
2076	水族馆	游荡着庞大的水生物的水族馆。
2077	小巷	崎岖不平的地面上散发出一股魅力。
2078	夜市	沉浸在节日气氛中的深夜市场。
2079	没有名称	这片建筑物的景色，大家都会说是一个神圣之地。
2080	未使用	[无描述]
2081	市集小巷	[无描述]
2082	山区健步走道	一条缓缓倾斜的小路，是悠闲漫步的首选。
2083	都市丛林	灰色的水泥大楼衬托出了灰色的都市风景。
2084	没有名称	在大都市中热闹非凡的路口。
2085	教堂内部	只是呼吸就感觉到肺里灌入了神圣的气息……
2086	主人公的房间	要不是靠着兼职工作和恶魔补助金，根本负担不起这里的房租。
2087	蓝菲茶馆	蓝菲经营这间……茶馆（？）至少这是她本人的说法……
2088	雨中的火车轨道	被雨水浸湿的车站出口。
2089	主人公的厨房	这里有各种各样的事故和不幸的事件发生。
2090	综合体育馆	在特定的节日里，综合体育馆充斥着欢乐声与酒气。
2091	城门广场	你可以在城门的广场感受到历史的熏陶。
2092	月光下的寺庙	藏在云中的月光照进了这宁静的寺庙里。
2093	佛像	弥勒佛温柔地向所有人微笑。
2094	瑜伽教室	瑜伽教室的内部。
2095	主人公的家	你独自居住的安静房间。
2096	主人公的化妆室	魅魔来了之后，浴室用品的数量增加了许多。
2097	主人公的兼职工作	你每天在这间便利店认真工作，以缴付房租。
2098	便利店	你每天在这间便利店的前台上班。
2099	红灯工作室	Evil频道的红色工作室。总是在你身旁。
2100	蓝灯工作室	Evil频道的蓝色工作室。总是在你身旁。
2101	早晨的商业街	观光客一早便在市中心聚集。
2102	夜晚的商业街	即使夜晚依旧喧闹的市中心。
2103	摩天大楼入口	可以进入摩天大楼的入口。
2104	游乐中心	为了缓解压力，经常光顾的游戏厅。为了钱包着想，来的次数可不能太频繁。
2105	摩天大楼的远景	从高楼远眺的景色。
2106	老旧神坛旁的湖	一个老旧神坛和美丽的湖泊。
2107	无线电塔	有无线电塔的宁静街道。
2108	夜世界硬件商店	一家暗黑世界家居用品店，贩售着可疑的产品。
2109	广场	有钟塔的广场。
2110	平静的教堂	几个驱魔师在一个和平的教堂里工作。
2111	午后的施工区	空无一人的建筑工地，最适合一个人独处了。
2112	午夜的便利店	作为竞争对手，这间便利店因位置靠近车站而生意兴隆。
2113	城市的上空	能俯览住宅区的景色。
2114	教堂庭院	教堂庭院有十字架装饰。
2115	律师事务所	莫娜巧妙地让原屋主自愿出借此地，用作咨询中心。
2116	十字路口	繁华的城市交叉路口，汽车喇叭的鸣笛声不绝于耳。
2117	主人公的电视	你从回收废物堆中抢救并修复的一台电视机。
2118	人行横道	信号等待时间特别长的一条人行横道。
2119	停车场	有火车铁轨的停车场。
2120	无线电塔入口	通往无线电塔的入口。
2121	实验室	一个总在做不同研究的奇怪研究所。
2122	游乐场	妲比和住在她隔壁的朋友们喜爱的游乐场。
2123	训练室	一间保持干净的训练室。
2124	演讲厅	学习是永不停止的旅程。
2125	办公室	忙碌的公司职员战场。
2126	书店	书店是可以让你增长见识的地方，显然跟你没有什么关系。
2127	家庭餐厅	这是当地人经营的本土风味餐厅。
2129	废弃的工厂	一家沦为废墟的工厂。
2130	废弃的大楼	一座废弃的建筑，再也没人会去了。
2131	医院	狄蜜特的契约者在这所医院上班。规模挺大的。
2133	夜晚的公园喷泉	公园里有一个用LED灯装饰的喷泉。
2134	隅田川的人行道	一条精心维护的步道，右侧可以看到隅田川。
2135	自行车停车场	人们将他们的脚踏车停放在公园的外围。
2136	公园喷泉	有喷泉的公园。许多家庭都喜欢一家人来这里。
2137	足球场	用真正的草皮做的足球场。
2139	棒球场	洋溢着粉丝热情的棒球场。
2141	快餐店	大型的快餐店，是出了名的签约地点。
2142	快餐店柜台	饥饿的客人在这里等待着他们的汉堡。
2144	学校屋顶	学校屋顶只有在午餐时间可以使用。
2145	购物中心	大型百货公司里的购物中心。
2146	美术馆	一个现代艺术博物馆，每一季都会更换展览的主题。
2147	山丘	可以俯览城市风景的小山丘。
2148	鬼屋	传说这地方闹鬼，但似乎有人居住。
2151	天桥	这陆桥可以让你测试自己的膝盖有多健康。
2152	深夜的加油站	自助加油站通宵开放。
2153	落樱缤纷的道路	一条两侧都是樱花树的道路。
2154	落樱缤纷的桥	樱花绽放的春天美景。
2155	温泉商店	「对恶魔很温和的有机温泉」商店……吧。
2157	老旧神坛	一座老神坛，屋顶的砖块好像要延绵到天边一般。
2158	地下迷宫	被恶魔掌控的废弃地下铁路。
2159	地下迷宫之地	可以在这里找到地下迷宫的补给品。
2160	校园树林	一个可休息的阴凉处。
2161	警察局	如果你目击到任何违法行为，请拨打110。
2164	莫娜的房间	莫娜擅自把原本就很狭小的住处改造成了花俏的房间……
2175	生命之桥	别被生命之桥这名字骗了，这里其实是恶魔激战的现场。
2176	回忆酒吧	喝酒是为了遗忘，但是这个地方却完全相反。
2177	午夜的行人隧道	夜晚的步行隧道，这里也有许多恶魔来来往往。
2178	夜晚的公园	夜晚的公园，月光才刚开始闪耀。
2179	综合体育馆	综合运动场，运动员们的圣地。
2180	金币地下城	玛门大人常常路过这个地方。
2181	KTV包房	游乐中心的一个KTV包房。
2182	空中的方尖碑	在城市中出现的怪异建筑物。
2183	方尖碑的降临	古老恶魔一直在等待的神秘巨塔。
2184	方尖碑的堕落	方尖碑已是一个残骸，但恶魔的信徒计划要对它进行复原。
2185	克利奥帕特拉的金字塔	金字塔里结构复杂的方尖碑借助魔法完成了重建。
2186	米开朗基罗的壁画	魔法重现西斯廷教堂的内部构造了。
2187	米开朗基罗的走廊	需要检查。
2188	魔界	魔界的首都，像混沌的河川一样混乱。
2189	万圣节公园	在万圣节主题游乐园附近的风景。
2196	绿色地下城	心之夹缝中，有着绿色的光晕。
2197	红色地下城	心之夹缝中，有着红色的光晕。
2198	黑暗地下城	心之夹缝中，有着灰色的光晕。
2199	光之地下城	心之夹缝中，有着紫色的光晕。
2200	蓝色地下城	心之夹缝中，有着蓝色的光晕。
2201	Re:birth LAB	「恶魔原型的心火能量研究所：夜之世界魔王争夺战分部」的面貌。
2203	圣诞街	鲁道夫兼职的面包店。
2204	圣诞百货公司	沾染圣诞节气息的百货公司。
2205	圣诞公园	有圣诞游行的游乐园。
2222	律师事务所	试着敞开心扉，说出你的烦恼吧。
2224	夜晚的圣迈克尔	正值平安夜……某处却有邪恶的计划在等待时机。
2240	歌姬Live舞台♪	充满粉丝的应援声，歌姬的热情现场表演！
2241	白天的新商业街	白天的新商业街，建造中的大楼比人多。
2242	夜晚的新商业街	夜晚的新商业街，太黑了，以至于分不出是人类还是恶魔。
2264	第一个日出	一年过去，又是新一年的开始。伴着你迎接第一个日出……
2267	驱魔师协会	愿所有驱魔师安息。
2268	毁灭的驱魔师协会	隐藏在废墟中的秘密。
2269	驱魔师协会周边	空气中飘荡着让驱魔师狂暴的恶魔之力。
2289	夜晚的原野	夜幕带着微风在旷野来临。
2296	圣诞的烟火	为庆祝圣诞节而燃放的美丽烟火。
2297	洛基的空间	由洛基创造的空间，无法确定是否真实存在。
2300	咖啡厅屋顶	可以看到夕阳的屋顶。
2301	从外太空看见的地球	从外太空所看见的地球。从脚下可以看见月亮。
2302	新年烟火秀	庆祝全新开始的烟火。
2303	人偶工厂	实验很成功。\去带你同伴过来。
2304	天空之湖	映照青空的湖，\令人平静的景色。
2305	夜空之湖	映照星空的湖。
2306	奥喀斯的实验室	一座研究实验室，为剖析灵魂的科学家奥喀斯所有。
2307	大都会博物馆走廊	装有许多隐密的安防装置\借此防范盗贼行窃。
2308	毁坏的重生迷宫	你选错回答了。\谈判不是选项之一。
2309	大都会博物馆	座落于纽约市的博物馆。\有琳琅满目的艺术品、文化资产，以及历史文物存放并展示于此。
2310	怪盗基地	PHAN+IC的基地。\藏于无人能寻之地。
2311	阿罗汉的宇界	只能由屈指可数的驱魔师建立的虚拟空间。
2312	尘土中的圣迈克尔女子学校校园	在这所宗教学校能感受到恶魔的魔力。
2313	地下墓穴	失去自己原先用途的校内隐藏空间。
2314	特蕾莎的宇宙	在这里你可以获得你想要的一切。即使那是幻觉。
2315	纯洁之魂	存放于大都会博物馆的无价之宝。
2316	消失的宝物	“纯洁之魂”或怪盗身处何处？
2317	纽约市	即使是纽约市，也无法幸免于暗影降临
2318	夜晚的纽约市	夜晚的纽约市显得更加迷人。
2325	阿罗汉的房子	女神所指之处，有个女孩正在沉睡。
2326	试炼之间	为坐上女神之位所需承担的黑暗与恐惧时光。
2327	尼泊尔的街道	我跟随自己已到远处的好友的声音来到这里。
2328	尼泊尔的庆典	日落月升之时，崭新景色将会揭露。
2329	库玛丽神庙	国境内最神圣且最孤独的地方。
2330	废弃神庙	被遗弃的女神圣墓。如今只有无名的星辰会崇拜她了。
2331	冰冻的女士們	我的朋友离开我去了一个如此靠近但又遥远的地方。
2332	等候室	行星小队在这里为表演做好准备。\可以听到外面的粉丝对偶像们的尖叫声。
2335	阿摩司岛庄园密室	阿摩司岛上朱诺的私人空间
2336	朱诺与提瓦兹的庄园	朱诺与提瓦兹庄园里的卧室。\他们的庄园大得夸张。
2337	阿摩司岛庄园花园	奥德修斯每天都会照料这座美丽的花园。
2338	花园之夜	阿摩司岛上的夜晚很漫长。
2339	海滩会所	提供无限美味鸡尾酒的美丽海滩会所。
2340	度假胜地之夜	迷人度假胜地中能欣赏夕阳的地点。
2341	阿摩司岛上的夜晚	阿摩司岛的仲夏夜梦幻街景。
2342	提瓦兹客房里的卧室	提瓦兹和朱诺洗衣服的秘密空间。
2343	客房之夜	豪华的空间，但提瓦兹讨厌一个人待在这间客房里。
2344	提瓦兹的客房	展示提瓦兹品味的豪华客房。
2345	吉娃的病房	一间处处展示了自己善良主人本意的舒适病房。
2346	如意宝珠的世界	如意宝珠创造的奇异黑白世界。
2347	D1赛道	有着几乎无尽直线的赛道，让车手能尽情享受高速。
2348	D1看台	可容纳上千恶魔的看台。
2349	洛基的如意宝珠	洛基的特制如意宝珠。
2350	犹大的藏身处	犹大黑暗、潮湿的藏身处
2351	犹大的宇宙	在这里，强者生存就是一切。
2354	巴贝尔的实验室	先前用来种植受诅咒植物“恶魔之血”的秘密实验室。
2355	洛基的会客室	现世之王洛基的接见室。
2356	燃烧的如意宝珠空间	渗入密特拉心智的疯狂，正熊熊燃烧。
2357	疯狂宇宙	某个失去理智之人的内在。这里比地狱还炎热，而且充满了极度的痛苦。
2358	黑暗走廊	来自无人走廊的怪声。这是风声，还是某人的笑声呢？
2374	林中洞穴	深藏森林之中的洞穴。也许不如外表所见的空无一人。
2375	将熄之焰	火焰即将熄灭，但难以忍受的高温与极度的痛苦也会一同消失吗？
2376	米丽安的宇界	为那些注定灭亡之人准备的惩罚监狱。
2377	巴托里的宇宙	自愿选择的地狱，有着来自天堂的光芒……
2378	霓虹灯背景	霓虹灯开始闪亮的夜晚时分。
2379	夜晚的恶魔之家	难以置信沉默的那个恶魔的家。
2381	米丽安的家	隐藏在回忆之后的暖心回忆。不再被守护的逝去回忆。
2382	驱魔师协会欧洲分部	依历史悠久的永恒信仰为基础所建造的祭坛。但即使是光之祭坛，也会造成阴影。
2383	恶魔教徒的家	信仰是最没有意义的事物。在这里，信仰经受过考验的人，将面对自己悲惨的结局。
2384	使者之杖的空间	在某人内心的黑暗角落，使者之杖翻吐着自己的舌头。
2385	病房	在紧急情况下，恶魔也会去人界的医院。
2386	工作室	既是一个可以休闲放松的家，也是一个让人燃起热情的工作室。
2387	灯笼祭	迎接新年，在灯笼里装满新年愿望，让它升空吧。
2445	行星小队的演唱会	行星小队单独演唱会的场地。\一起享受行星小队的完美演出和美妙歌曲吧。
2454	圣诞滑冰场	让我们在圣诞节快乐地滑冰吧。
2455	除夕夜	旭日未升，但天已敞亮，并等候着旭日的到来。
3	紫色心情	黄色子空间就好像魔界的夜空。
3046	海岸线的风景	城市的灯光溶进了水面摇曳着，且深不见底的河。
3059	教堂	驱魔师工作的神圣之地。
4	金色心情	金色子空间就好像魔界的太阳之光照耀着。
5	绿色心情	黄色子空间就好像魔界的地衣。
6	红色心情	黄色子空间就好像魔界的火山岩。
7	没有名称	[无描述]
8	没有名称	[无描述]
9	没有名称	[无描述]
