// key	SCENARIO_SPEAKER_
CACA	カーカ
CACUS	カークス
CADUCEUS	カドケウス
CAFE_MANAGER	カフェのマネージャー
CAIN	カイン
CAIT SITH	ケットシー
CAIT SITH	ケットシー
CAROL'S FATHER	キャロルの父親
CAT	猫
CATERPILLAR	イモムシ
CELEBRANT	司式司祭
CELICA	セリカ
CHANCELLOR	大学総長
CHANDRAGHANTA	チャンドラ
CHEF	シェフ
CHESHIRE CAT	チェシャ猫
CHICK	ひよこ
CHIEF_NIS	公安庁 長官
CHIEF_SECRETARY	秘書室長
CHIEF_SONG	鴻池会長
CHILD	チャイルド
CHILD_OF_FUTURE	未来のチャイルド
CHILD_OF_PAST	過去のチャイルド
CHILD_OF_PRESENT	現在のチャイルド
CHILDA	チャイルドA
CHILDB	チャイルドB
CHUCHU	チュチュ
CINTAMANI	如意宝珠
CLARA	クララ
CLASSMATE	クラスメイト
CLASSMATE1	クラスメイト 1
CLASSMATE2	クラスメイト 2
CLASSOFCULTURE_GROUP	グループトーク
CLERK	店員
CLERK1	職員1
CLERK2	職員2
CLOSET	クローゼット
CLUB_GUARD	クラブガード
COACH	コーチ
COMMANDER	中隊長
COMMENT	コメント
COMMENTATOR	語り手
CONTRACTOR	契約者
CONVENIENCESTOREOWNER	コンビニ店長
COOKIEMONA	クッキーになったモナ
COOLGIRL	落ち着いた少女
CORONA MONA	光芒のモナ
CO-WORKER1	同僚1
CO-WORKER2	同僚2
CROCELL	クロセル
CU SITH	ラッシー
CURE CUBE	キュア キューブ
DAVI	ダビ
DEANOFSTUDENTS	学年主任
DEBORAH	デボラ
DEMETER	デメテル
DEMETER_CONTRACTOR	高梨 真理華
DEMON FOLLOWERA	悪魔信者A
DEMON FOLLOWERB	悪魔信者B
DEMON_FOLLOWER	悪魔信者
DEMON_FOLLOWER1	悪魔信者1
DEMON_FOLLOWER2	悪魔信者2
DEMONA	チンピラ悪魔Ａ
DEMONB	チンピラ悪魔Ｂ
DEMONC	チンピラ悪魔Ｃ
DETECTIVE_GIRL_CONTRACTOR	サラJ
DETECTIVE1	刑事1
DETECTIVE2	刑事2
DEUCALION	デウカリオーン
DEUCALION_SOUL	デウカリオーンの魂
DEVIL	悪魔
DEVIL1	悪魔A
DEVIL2	悪魔B
DEVIL3	悪魔C
DEVIL4	悪魔D
DOCTOR	医師
DOCTOR_HELLSING	ヘルシング博士
DOG	猛犬
DOGYEHWA	都桂花
DOKHAN	孤独な
DORMOUSE	眠りネズミ
DRIVER	ドライバー
DRUNKEN PERSON1	酔っぱらい1
DRUNKEN PERSON2	酔っぱらい2
DRYAD_CONTRACTOR	茅森楓
DUETSHA	デュエッサ
DURENDAL	デュランダル
ELISABET	花園小夜子
ELLE	鳥井美由
ELVE_CONTRACTOR	稲妻美穂
ELYSION	エリシオン
EMPEROR	皇帝
ENEMY SOLDIER	敵兵士
ENKIDU	エンキドゥ
ERISIKTON	エリシクトン
ESHU	エシュ
EURUS	エウロス
EURYDICE	エウリュディケー
EVE	イブ
EVE_FATHER	イブの父
EXORCIST	祓魔師
EXORCIST_A	祓魔師A
EXORCIST_B	祓魔師B
EXORCIST_C	祓魔師C
EXORCIST_INTERNATION	国際本部の祓魔師
EXORCIST_INTERNATIONAL	国際本部祓魔師
EXORCIST_NORTH AMERICA	北米支部退魔師
EXORCIST1	祓魔師1
EXORCIST2	祓魔師2
FABULOUS'S FAN A	ファンA
FABULOUS'S FANS	ファンたち
FANA	観客A
FANATIC BOSS	ならずもの信者のボス
FANATICA	ならずもの信者A
FANATICB	ならずもの信者B
FANATICC	ならずもの信者C
FANATICD	ならずもの信者D
FANATICS	ならずもの信者たち
FANB	観客B
FANC	観客C
FANS	観客
FATHER	父
FLINS	フリンス
FORMER_KEFRI	ケプリの師匠
FREYJA	フレイヤ
FREYR	フレイ
FRIENDS	友達
FRUITSHOP_SHOPKEEPER	青果店の店主
FURY_MEMBER_1	フューリーの会員1
FURY_MEMBER_2	フューリーの会員2
FURY_MEMBER_3	フューリーの会員3
FURY_MEMBER_4	フューリーの会員4
FURY_MEMBER_GROUP	フューリーの会員たち
GAIN	ソガイン
GAME_STREAMER	ゲーム配信者
GENTLEMAN	男性
GEST	お客さん
GEST1	客1
GEST2	客2
GESTA	客A
GESTB	客B
GESTC	客C
GILGAMESH	ギルガメシュ
GIRL	少女
GIRL A	少女A
GIRL_CONTRACTOR	少女契約
GIRL1	謎の少女
GIRLA	少女A
GIRLB	少女B
GOHYUNHUI	黒龍鋼太郎
GOLDAENGI	ポピー
GOLDAENGI OWNER	ポピーの飼い主
GOOD_MOA	優しいモア
GRANNY	おばあちゃん
GROUP_MEMBER	クラスメイト
GRYLA	グリラ
GUARD	管理人
HANA_MOM	鴻池羽菜の母
HANMARI	忍田一鷹
HATOR	トホル
HEENA	ひな
HEKET	ヘケト
HELLA	ヘル
HENCHMAN	部下
HENCHMAN_MIRIAM	ミリアムの部下
HENGE	コウガ
HEPHAISTOS	ヘパイストス
HERO	主人公
HIGHPRIEST	高僧
HILD	ヒルド
HILDR_CONTRACTOR	倉敷麗
HOMELESS	ホームレス
HONEY CUBE	ハニー キューブ
HONGRYEON_CONTRACTOR	鴻池羽菜
HORN	意地悪い怒りん坊
HOST	オーナー
HUMAN	人間
HYDRA	ヒドラ
HYENANG	ケイノウ
HYUNSOOHO	仙石誠二
INFECTED_REPORTER	感染したリポーター
IPHIS	イピス
ISHIMI	イシミ
ISOLDE	イゾルデ
ITEM1	正義棒
ITEM2	音声変調器
JACHUNGBI	自請妃
JENNY	ジェニー
JIVA	ジヴァ
JOANNA	ヨハンナ
JOHN	ジョン
JUDAH	ユダ
JUDGE	審判
JULIET	ジュリエット
JUNGNAM	ジョンナム
JUPITER_CONTRACTOR	星崎正十朗
KAALARATRI	カーララトリー
KALCHAS	カルカス
KALHOS	カールホース
KAMYU	カミュ
KANALOA	カナロア
KASUMI	かすみ
KID	子供
KID1	ちびっ子1
KID2	ちびっ子2
KKUNGI	クンイ
KLOTHO	クローソー
KUBABA	クババ
KUBERA	クベーラ
KUMARI	クマリ
KUMARI_PRIEST	クマリ司祭
KUMIHO	タマモ
LADY	女性
LAIMA	ライマ
LANCELOT	ランスロット
LANDLORD	大家
LAUFEY	ラウフェイ
LAURA	ローラ
LEAVEAMESAAGE	伝言メモ
LEDA	レダ
LEIFANG	レイファン
LEO	レオ
LETTER	手紙
LITTLE PATIENT	子どもの患者
LITTLE_MARI	幼少期の忍田一鷹
LOGAN	ローガン
LOKI	ロキ
LUCIFERO	ルシフェロ
LUIN_DURANDAL	ルイン＆デュランダル
LUNO	ジュノー
LYDIA	リディア
MAD HATTER	帽子屋
MAESTRO	マエストロ
MAFDET	マフデト
MAGNUS_MERLIN	偉大なる魔法使いマーリン
MAMA	ママ
MAN	男
MAN_CONTRACTOR	男性契約者
MAN_EXORCIST	男祓魔師
MAN1	男1
MAN2	男2
MANA	男A
MANAGER	マネージャー
MANB	男B
MARCH HARE	三月ウサギ
MARDUK	マルドゥック
MARDUK_CHILD	マルドゥックのチャイルド
MARI_GRANDPA	忍田一鷹の祖父
MARINLEGEND	忍田一鷹&レジェンド
MARS	マーズ
MAUPIN	モーパン
MAUPIN_CONTRACTOR	太刀花清美
MAUPIN_CONTRACTOR_MOM	太刀花清美の母
MAWANG	魔王
MAYAUEL	マヤウェル
MAYBE_CONTRACTOR	契約者（？）
MC	MC
MEDIA_INTERVIEW	インタビュー映像
MEI	温泉街のメイ
MEN_GEST	男性客
MERCURY	マーキュリー
MESSIER_CONTRACTOR	星河きらら
METHUSELAH	メトセラ
METIS	メティス
METIS_CONTRACTOR	天宮知恵
METIS_CONTRACTOR_DAD	天宮知恵の父
METIS_CONTRACTOR_MOM	天宮知恵の母
MINA	ミーナ
MIRCALLA	マーカラ
MIRIAM	ミリアム
MITRA	ミトラ
MOMMY	母
MONA	モナ
MONA1	管理人モナ
MONA2	後任ができたモナ
MONKEY	ウコン
MONSTER	モンスター
MORGAN	モーガン
NABI	チビ
NAGISA	なぎさ
NARBI437	ナルヴィ437号機
NARBI438	ナルヴィ438号機
NARBI439	ナルヴィ 439
NEAMHAIN	ネヴァン
NEIGHBORHOOD DOG	街の犬
NEIGHBORHOOD_GRANDAD	おじいちゃん
NEOUTUBE_COMMENT	コメント
NEPHTHYS	ネフティス
NEPHTHYS_CONTRACTOR	壺倉つみき
NEPTUNE	ネプチューン
NERVOUSGIRL	不安な少女
NEWSFLASH	〈速報〉
NEZHA	ナタ
NICKNAME	ユーザーのニックネーム
NICOLE	ニコル
NICOLE_FATHER	ニコルの父
NIRRTI	ニルティ
NONAME_MOA	名無しのモア
NOTUS	ノトス
NOTUS_CONTRACTOR	南岡早耶香
NUN	修道女
NUN1	修道女1
NUN2	修道女2
NURSE	看護師
NURSE_01	看護師
NURSE_NEAMHAIN	乳母
OD	オード
ODYSSEUS	オデュッセウス
OPHOIS	オフォイス
OPHOIS_CONTRACTOR	二階堂ふたば
ORCUS	オルクス
OWNER_OF_STRIGOY	ストリゴイの主人
PAKHET	パケト
PAL	友達
PALENOTE	フェイルノート
PANTHEON_CONTRACTOR	西山弘行
PAPA	パパ
PARK_MANAGER	公園の管理人
PART TIME RUDOLF	バイトするルドルフ
PARTICIPANTA	参加者A
PARTICIPANTB	参加者B
PARTNER	相棒
PART-TIMER	アルバイト
PASSERSBY1	通行人1
PASSERSBY2	通行人2
PASSERSBY3	通行人3
PASSERSBY4	通行人4
PEOPLE	住民
PEOPLE1	住民1
PEOPLE2	住民2
PEOPLE3	住民3
PEPITA	ぺピタ
PHILIP	フィリップ
PIE CUBE	パイ キューブ
PILATES	ピロテース
PLAYER_A	選手A
PLAYER_B	選手B
POI CUBE	ポイ キューブ
POLICE	警察
POLICE_ZOMBIE	ゾンビと化した機動隊員
POLICE1	警察1
POLICE2	警察2
PRIEST	司祭
PRINCIPAL SUHANA	校長スハナ
PROCEL	プロケル
PROFESSOR	教授
PTAH	プタハ
PUB_OWNER	パブのオーナー
PUNKA	チンピラA
PUNKB	チンピラB
PUNKC	チンピラC
PUPPY	村の犬
PUPPY1	子犬
RADIO	ラジオ
RAFFLES	ラッフルズ
RAGARAJA	ラーガ
RANI	ラーニー
RANI_CHILD	ラーニーのチャイルド
RANI_FATHER	ラーニーの父親
REDCROSS	レッドクロス
RENARD	ルナール
RENDAL	ランドール
REPORTER	リポーター
RISA	リザ
ROMEO	ロミオ
ROSSANNA	ロザンナ
ROSSANNA_CONTRACTOR	文野珠希
ROUSALKA	ルサルカ
ROYAL_FAMILYA	皇族A
ROYAL_FAMILYB	皇族B
ROYAL_FAMILYC	皇族C
SABINA	サビナ
SAINT MICHAEL SCHOOL GIRL	聖ミカエル女学院の生徒
SAINTMICHAELSCHOOLGIRL	生徒
SALADIN	サラディン
SALOONIST	バーテンダー
SALUS	サロス
SAMAEL	サマエル
SATURN	サターン♥
SCHOOLBOY	男子校生
SCHOOLBOY1	男子校生1
SCHOOLBOY2	男子校生2
SCHOOLGIRL	女子校生
SCHOOLGIRL1	女子校生1
SCHOOLGIRL2	女子校生2
SCHOOLGIRL3	女子校生3
SCHOOLMAFIA	トップ
SECRET_CONTRACTOR	秘密の契約者
SECURITY	警卫
SEMELE	セメレー
SEOCHEON_SENSE	1代目花守
SERKET	セルケト
SESHAT_CONTRACTOR	鍛冶原雅美
SETH	セト
SHAMAN_GHOST	鬼化した都桂花
SHINHJ	虹原ひかる
SHIVAN SOLDIER	シバンシュミッター兵士
SHOPASSISTANT	店員
SITRI	シトリー
SKQCLQJA	誘拐犯
SOLARSHADE_UNA	漆黒の影 ユーナ
SOLDIERA	部下A
SOLDIERB	部下B
SOLDIERC	部下C
SOOJIN	スジン
SOULBOW	高僧の弓
SPECTATOR1	観衆1
SPECTATOR2	観衆2
SPECTATORS	観衆
STAFF	スタッフ
STALKER	ストーカー
STOREANNOUNCE	店内放送
STORECLERK	ショップ店員
STOREOWNER	店のオーナー
STREET_VENDOR	露天商人
STRIGOY	ストリゴイ
STUDENT	生徒
STUDENTA	生徒A
STUDENTB	生徒B
STUDENTCOUNCIL	風紀委員
STUDENTS	生徒たち
SUCCUBUS	サキュバス
SUHANA	スハナ
SUHANA'S MOTHER	スハナの母
SULHEE	龍姫
SUNAH	センガ
TAEKI	テギ
TAMAKI	たまき
TEACHER	担任
TEACHER_DEBORAH	デボラの先生
TEACHER_MIRIAM	ミリアムの師匠
TERESA	朝霧テレサ
TERESA_SHORT	テレサ
THE DUCHESS	公爵夫人
THE KING OF HEARTS	王
THE QUEEN OF HEARTS	女王
THEOPHANO_CONTRACTOR	宅和拓郎
THISBE_CONTRACTOR	園田光
THUGA	チンピラA
THUGB	チンピラB
THUGC	チンピラC
THUGD	チンピラD
THUGE	チンピラE
THUGF	チンピラF
TITANIA	ティタニア
TIWAZ	テイワズ
TLSQN	花嫁
TRAINEE	訓練生
TURAN	トゥラン
TYBALT	ティボルト
UBOHEE	中川 美咲
UNA	ユーナ
UNIUSER1	ユニバースユーザー1
UNIUSER2	ユニバースユーザー2
UNIUSER3	ユニバースユーザー3
UNIUSER4	ユニバースユーザー4
UNIUSER5	ユニバースユーザー5
UNIVERS_ZOMBIE	ユニバースゾンビ
UNIVERSITY FOUNDER	SUDO大創立者
UNKNOWN_CONTRACTOR	謎の契約者
UNKNOWN1	???
VAMPIRE	ヴァンパイア
VENDOR	商人
VENUS	ヴィーナス
VENUS_UNA	希望の光 ユーナ
VILLAGE_HEAD	村の長
VILLAGE_PEOPLE	住民
VILLAGEHEAD	村長
VIRUPA	ヴィルーパー
VLAD_3	ヴラド3世
VOLUNTEER	ボランティア
VOVO	ボボ
VOVO_TEACHER	ボボの師匠
WARDEN	所長
WARDER	刑務官
WATSON	ワトソン
WHITE RABBIT	白ウサギ
WOLF	オオカミ
WOMAN	女
WOMAN_CONTRACTOR	女性契約者
WOMAN_EXORCIST	女祓魔師
WOMAN1	女1
WOMAN2	女2
WOMANA	女A
WOMANB	女B
WOMEN_GEST	女性客
WOOARI	海老名英花
WOTAN	ボタン
WYATT	ワイアット
WYATT_CONTRACTOR	奥野修道
WYVAN	オルガ
YAN	ヤン・ジシューカ
YEONYI	連喜
YMIR_CONTRACTOR	氷川涼
YOUNGMAN	青年
YOUNGPOLICE	若い刑事
YOUTUBE	ネット動画
YOUTUBER	インフルエンサー
ZEPHYROS	ゼピュロス
