// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	Invitation	From Death		
200016	Lv.16	Bloodbath of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200017	Lv.17	Brawl of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200018	Lv.18	Blitz of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200019	Lv.19	Carnage of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200020	Lv.20	Hard-fought battle of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200021	Lv.21	Shield of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200022	Lv.22	Stronghold of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200023	Lv.23	Embankment of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200024	Lv.24	Rumors of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200025	Lv.25	Boundary of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200026	Lv.26	Guard of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200027	Lv.27	High alert of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200028	Lv.28	Adamantine defense of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200029	Lv.29	Holy resistance	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200030	Lv.30	Offense and defense of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>
200031	Lv.31	Counterattack of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200032	Lv.32	Counteroffensive of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200033	Lv.33	Reversal of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200034	Lv.34	Retaliation of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200035	Lv.35	Reprisal of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200036	Lv.36	Retribution of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200037	Lv.37	Opposition of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200038	Lv.38	Antagonism of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200039	Lv.39	Hostility of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
200040	Lv.40	Resistance of the gods	BLANK	<color=ff0000>Enemy Team</color> has <color=ff7b02>Weak Point DEF</color> <color=ffc400>↓</color>,\<color=ff7b02>Weak Point ATK</color> <color=ffc400>↑</color>, and has <color=ff7b02>Skill Charge Acceleration</color>
20100001	Lv.1	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100002	Lv.2	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100003	Lv.3	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100004	Lv.4	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100005	Lv.5	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100006	Lv.6	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100007	Lv.7	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100008	Lv.8	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100009	Lv.9	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100010	Lv.10	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100011	Lv.11	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100012	Lv.12	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100013	Lv.13	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100014	Lv.14	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100015	Lv.15	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100016	Lv.16	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100017	Lv.17	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100018	Lv.18	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100019	Lv.19	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100020	Lv.20	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100021	Lv.21	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100022	Lv.22	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100023	Lv.23	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100024	Lv.24	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100025	Lv.25	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100026	Lv.26	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100027	Lv.27	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100028	Lv.28	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100029	Lv.29	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20100030	Lv.30	Aurora King	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200001	Lv.1	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200002	Lv.2	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200003	Lv.3	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200004	Lv.4	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200005	Lv.5	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200006	Lv.6	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200007	Lv.7	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200008	Lv.8	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200009	Lv.9	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200010	Lv.10	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200011	Lv.11	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200012	Lv.12	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200013	Lv.13	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200014	Lv.14	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200015	Lv.15	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200016	Lv.16	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200017	Lv.17	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200018	Lv.18	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200019	Lv.19	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200020	Lv.20	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200021	Lv.21	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200022	Lv.22	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200023	Lv.23	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200024	Lv.24	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200025	Lv.25	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200026	Lv.26	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200027	Lv.27	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200028	Lv.28	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200029	Lv.29	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20200030	Lv.30	Aurora King	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20300001	Lv.1	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20300002	Lv.2	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20300003	Lv.3	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20300004	Lv.4	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20300005	Lv.5	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
20300006	Lv.6	Golden Charinn	BLANK	<color=ff0000>Enemy Team</color> <color=ff7b02>Skill Gauge Charge Speed</color> <color=ffc400>↑</color>,\<color=ff7b02>Debuff EVA</color> <color=ffc400>↑</color>, <color=ff7b02>Debuff Duration</color><color=ffc400>↓</color>
