// key	SPECIAL_RAID_NAME_	SPECIAL_RAID_SECOND_NAME_	SPECIAL_RAID_LOCATION_DESC_	SPECIAL_RAID_BUFF_
10000	การเชื้อเชิญ	จากความตาย		
200039	เลเวล 39	ความเป็นศัตรูของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
200040	เลเวล 40	การต่อต้านของเหล่าเทพเจ้า	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>พลังป้องกันจุดอ่อน</color> <color=ffc400>↓</color>\<color=ff7b02>พลังโจมตีจุดอ่อน</color> <color=ffc400>↑</color> และมี<color=ff7b02>การเร่งชาร์จสกิล</color>
20100001	เลเวล 1	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100002	เลเวล 2	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100003	เลเวล 3	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100004	เลเวล 4	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100005	เลเวล 5	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100006	เลเวล 6	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100007	เลเวล 7	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100008	เลเวล 8	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100009	เลเวล 9	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100010	เลเวล 10	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100011	เลเวล 11	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100012	เลเวล 12	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100013	เลเวล 13	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100014	เลเวล 14	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100015	เลเวล 15	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100016	เลเวล 16	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100017	เลเวล 17	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100018	เลเวล 18	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100019	เลเวล 19	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100020	เลเวล 20	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100021	เลเวล 21	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100022	เลเวล 22	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100023	เลเวล 23	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100024	เลเวล 24	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100025	เลเวล 25	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100026	เลเวล 26	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100027	เลเวล 27	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100028	เลเวล 28	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100029	เลเวล 29	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20100030	เลเวล 30	ออโรร่าคิง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200001	เลเวล 1	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200002	เลเวล 2	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200003	เลเวล 3	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200004	เลเวล 4	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200005	เลเวล 5	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200006	เลเวล 6	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200007	เลเวล 7	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200008	เลเวล 8	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200009	เลเวล 9	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200010	เลเวล 10	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200011	เลเวล 11	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200012	เลเวล 12	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
20200013	เลเวล 13	ชาร์ลส์สีทอง	ว่าง	<color=ff0000>ทีมศัตรู</color>มี<color=ff7b02>ความเร็วในการชาร์จเกจสกิล</color> <color=ffc400>↑</color>,\<color=ff7b02>อัตราการหลบหลีกดีบัฟ</color> <color=ffc400>↑</color>, <color=ff7b02>เวลาดีบัฟ</color> <color=ffc400>↓</color>
