// key	SUMMON_SCROLL_NAME_	SUMMON_SCROLL_DESCRIPTION_
1510	5★Child召喚券	在高級召喚池中召喚一名<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1511	世界王最佳5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1512	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1513	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1514	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1515	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1516	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1517	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1518	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1519	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1520	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1521	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1522	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1523	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1524	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1525	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1526	廣告召喚獎勵召喚券	在廣告召喚池中召喚一名<size=1.1><color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1527	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1528	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1529	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1530	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1531	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1532	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1533	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1534	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1535	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1536	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1537	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1538	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1539	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1540	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1541	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1542	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1543	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1544	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1545	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1546	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1547	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1548	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1549	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1550	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1551	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1552	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1553	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1554	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1555	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1556	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1557	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1558	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1559	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1560	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1561	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1562	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1563	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1564	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1565	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1566	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1567	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1568	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1569	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1570	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1571	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1572	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1573	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1574	爆發者Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1575	爆發者Child召喚券 I	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1576	爆發者Child召喚券 II	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1577	5★Child召喚券	召喚一名5★ Child。\點選下方的按鈕來查看可獲得的Child。
1801	3-5★Child10x召喚券	在高級召喚池中召喚10名<size=1.1><color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。
1811	3-5★水屬性Child 10x 召喚券	召喚10名<size=1.1><color=ff0000>水屬性</color> <color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1812	3-5★火屬性Child 10x 召喚券	召喚10名<size=1.1><color=ff0000>火屬性</color> <color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1813	3-5★木屬性Child 10x 召喚券	召喚10名<size=1.1><color=ff0000>木屬性</color> <color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1814	3-5★光屬性Child 10x 召喚券	召喚10名<size=1.1><color=ff0000>光屬性</color> <color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1815	3-5★闇屬性Child 10x 召喚券	召喚10名<size=1.1><color=ff0000>闇屬性</color> <color=ffc400>3★</color></size>至<size=1.1><color=ffc400>5★</color></size><size=1.1><color=ffff33><b>Child</b></color></size>。\<color=ffff00>(每次維修期間後都會含有新的Child，更新召喚池。不包含合作Child。)</color>
1901	2018福袋與5★Child召喚券	此票券可以召喚一名<size=1.1><color=ffc400>5★Child</color></size>，與2018福袋陣容中提供的完全一樣。
1902	2018福袋與4-5★Child召喚券	此票券可以召喚一名<size=1.1><color=ffc400>4-5★Child</color></size>，與2018福袋陣容中提供的完全一樣。
1911	AF限量5★Child水屬性召喚券	召喚一名<size=1.1><color=2287d8>水屬性</color> <color=ffc400>5★Child</color></size>。
1912	5★Child火屬性召喚券	召喚一名<size=1.1><color=2287d8>火屬性</color> <color=ffc400>5★Child</color></size>。
1913	5★Child木屬性召喚券	召喚一名<size=1.1><color=2287d8>木屬性</color> <color=ffc400>5★Child</color></size>。
1914	WD限定5★Child光屬性召喚券	召喚一名<size=1.1><color=2287d8>光屬性</color> <color=ffc400>5★Child</color></size>。
1915	5★Child闇屬性召喚券	召喚一名<size=1.1><color=2287d8>闇屬性</color> <color=ffc400>5★Child</color></size>。
1916	5★Child水屬性召喚券	召喚一名<size=1.1><color=2287d8>水屬性</color> <color=ffc400>5★Child</color></size>。
1917	5★Child火屬性召喚券	召喚一名<size=1.1><color=2287d8>火屬性</color> <color=ffc400>5★Child</color></size>。
1918	5★Child木屬性召喚券	召喚一名<size=1.1><color=2287d8>木屬性</color> <color=ffc400>5★Child</color></size>。
1919	5★Child光屬性召喚券	召喚一名<size=1.1><color=2287d8>光屬性</color> <color=ffc400>5★Child</color></size>。
1920	5★Child闇屬性召喚券	召喚一名<size=1.1><color=2287d8>闇屬性</color> <color=ffc400>5★Child</color></size>。
1921	5★攻擊型Child召喚券	召喚一名<size=1.1><color=2287d8>攻擊型</color> <color=ffc400>5★Child</color></size>。
1922	5★防禦型Child召喚券	召喚一名<size=1.1><color=2287d8>防禦型</color> <color=ffc400>5★Child</color></size>。
1923	5★治癒型Child召喚券	召喚一名<size=1.1><color=2287d8>治癒型</color> <color=ffc400>5★Child</color></size>。
1924	5★干擾型Child召喚券	召喚一名<size=1.1><color=2287d8>干擾型</color> <color=ffc400>5★Child</color></size>。
1925	5★輔助型Child召喚券	召喚一名<size=1.1><color=2287d8>輔助型</color> <color=ffc400>5★Child</color></size>。
1926	5★攻擊型Child召喚券	召喚一名<size=1.1><color=2287d8>攻擊型</color> <color=ffc400>5★Child</color></size>。
1927	5★防禦型Child召喚券	召喚一名<size=1.1><color=2287d8>防禦型</color> <color=ffc400>5★Child</color></size>。
1928	5★治癒型Child召喚券	召喚一名<size=1.1><color=2287d8>治癒型</color> <color=ffc400>5★Child</color></size>。
1929	5★干擾型Child召喚券	召喚一名<size=1.1><color=2287d8>干擾型</color> <color=ffc400>5★Child</color></size>。
1930	5★輔助型Child召喚券	召喚一名<size=1.1><color=2287d8>輔助型</color> <color=ffc400>5★Child</color></size>。
2101	3-5★飾品券	獲得裝飾品。
2102	2-5★飾品券	獲得裝飾品。
2103	4-5★飾品券	獲得裝飾品。
2104	1-3★飾品券	獲得裝飾品。
2105	2-3★飾品券	獲得裝飾品。
2106	5★飾品券	獲得裝飾品。
2107	5★A級飾品券	獲得裝飾品。
2201	3-5★裝備券	獲得隨機裝備。
2202	2-5★裝備券	獲得隨機裝備。
2203	4-5★裝備券	獲得隨機裝備。
2204	1-3★裝備券	獲得隨機裝備。
2205	2-3★裝備券	獲得隨機裝備。
2206	5★裝備券	獲得隨機裝備。
2207	5★A級裝備券	獲得隨機裝備。
2301	5★武器券	獲得武器。
2302	5★A級武器券	獲得武器。
2303	5★A級武器券	獲得隨機一項5★A級武器。
2401	5★防具劵	獲得防具。
2402	5★A級防具券	獲得防具。
2403	5★A級防具券	獲得隨機一項5★A級防具。
2501	3-5★魂之歌牌召喚券	召喚1張魂之歌牌。
2502	4-5★魂之歌牌召喚券	召喚1張魂之歌牌。
2503	5★魂之歌牌召喚券	召喚1張魂之歌牌。
2504	3-4★魂之歌牌召喚券	召喚1張魂之歌牌。
2505	5★稜鏡魂之歌牌召喚券	召喚1張魂之歌牌。
2600	DOA 3-5★魂之歌牌券	召喚3-5★DOA跨界合作魂之歌牌。
2601	DOA 4-5★魂之歌牌券	召喚4-5★DOA跨界合作魂之歌牌。
